=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:29: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareANAg7rOBGAOgFYBfLcABg0szgmniUhdfHIWvzqowCYe1AMyCMAFlHFRANlEB2UQA5RATlH5aFLty0Z8ArAzxI06CrnhEyu-CIC6GAFBhwFgoTnWE+GnSNNEVjYOcB8db34eHxEKHwlYjCkE2QSFBOUEtQSNKL1w-wREOWKSnjc+Qj4vUL0BB2cCk1NkMrwKqpC+X0MoY0Cg6E69Hi6DBC6Y8fERxJmUqbSpjKms+l6A5pbzPCJPIfx8AB0AOxOT6k01xkKS0v2+M9Pji791ws32Ci7bR-PutYAHnhKJViBRrswBp8pgdfs9hj0IShmq14BU9l9anCuOB6i43EQOhQhDQ4V1LhACaCQiSjk8TuTXlSiQgSQ96cdGYi+gNoNs0dTiRghGT-o1kaZUe4WeASWJRRS3pCglL0dUSdIFa8kR8aRgVHCfJdZXpKIaxUqircFHrYRyjTxaezHg6hT97b48RAAJ7A0HgvoffnS9WkjnfJk7QWsvSi-KuKMytlxyOWaMmkXhhFXHlQ4PtUPyrPxnUo4OE0PEFPcgK8qVWPWa4vawNlnCJ0MGj3x5mhu0u7OUju251PMKpkO2zMD7he8C++Agqrl9Mks1ZsZDtNJ2MbicVvWjhmRGuFOvB6Sr8SiupOFwLuBLsEIUuSleh9ePCb7ki20WTcVz3beA5D1Isv2FXE7CAA
13:37:30: [INFO] Add SW5 footprint
13:37:30: [INFO] Add D5 footprint
13:37:30: [INFO] Add SW6 footprint
13:37:30: [INFO] Add D6 footprint
13:37:30: [INFO] Add SW7 footprint
13:37:30: [INFO] Add D7 footprint
13:37:30: [INFO] Add SW8 footprint
13:37:30: [INFO] Add D8 footprint
13:37:30: [INFO] Add SW9 footprint
13:37:30: [INFO] Add D9 footprint
13:37:30: [INFO] Add SW10 footprint
13:37:30: [INFO] Add D10 footprint
13:37:30: [INFO] Add SW11 footprint
13:37:30: [INFO] Add D11 footprint
13:37:30: [INFO] Add SW12 footprint
13:37:30: [INFO] Add D12 footprint
13:37:30: [INFO] Add SW13 footprint
13:37:31: [INFO] Add D13 footprint
13:37:31: [INFO] Add SW14 footprint
13:37:31: [INFO] Add D14 footprint
13:37:31: [INFO] Add SW15 footprint
13:37:31: [INFO] Add D15 footprint
13:37:31: [INFO] Add SW16 footprint
13:37:31: [INFO] Add D16 footprint
13:37:31: [INFO] Add SW17 footprint
13:37:31: [INFO] Add D17 footprint
13:37:31: [INFO] Add SW18 footprint
13:37:31: [INFO] Add D18 footprint
13:37:31: [INFO] Add SW19 footprint
13:37:31: [INFO] Add D19 footprint
13:37:31: [INFO] Add SW20 footprint
13:37:31: [INFO] Add D20 footprint
13:37:31: [INFO] Add SW21 footprint
13:37:31: [INFO] Add D21 footprint
13:37:31: [INFO] Add SW22 footprint
13:37:31: [INFO] Add D22 footprint
