=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:39:05: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0SA0dwGcC2ssAnAewBcB9AUwGMEFwBfTcABnWQB0A7b3n-vt0otwAXXQAoMOACeBALQsUAdgxZqBcAGJluveGZ5NjZmxGYIG+Nuq27JrG3qn0AJgOP0AZg+t0AFl82JCD0ADZQ5VCADlCATlCEc086RPcLcCssLQBDPPzfAHcCVyYU-0EuMw8IaHhXZiybO1sHPwQvSqdEioEq9jFJaSbc-LyiggQ0MvAEdGTLTS0W1pm55yw59M3vXznA5jmQw-C99CiT2JOEk6Sz1NvtiGL4KaQ19k6+uYWoAiV3rdjnBapMUK41Jklnp9MwXohwZCABYlOHuV5oZhI9GIZiQHGKREzBodSrrQZSRbWUZjCYY1TE+Y1KHUlYaRkbcANbZc3bMBoHLANYG8iL886+BpXIXoG4yu7ih4glnZGG6OlwVxExVfPg-Zl1OAAxpLNltEnA0HwJQQjmuMkDcSUlXaMbjOElbVYLzzSoNX4jM0zH08n0+Zg+wXgH0in1i70SiPoaXR2W+H0KhNKqnZN05DVTBlJhBPP4YyGBlZtDMhJ3SQ0IfyI5hyeCE1Qm6lqqLB9iBOsQVtwQkQzu5t0Fr3gfxMjLwqa25gzjbPMGLrAz0uVloasJTmfxnOuice8szZe-efTJfsegDsuILzNrBD9sV6FqtrL8Mbvu+Ze1kMg7-Ji6hLHmk7rqmLB+gMGTbvYvYILBd6iEAA
13:39:06: [INFO] Add SW10 footprint
13:39:06: [INFO] Add D10 footprint
13:39:06: [INFO] Add SW11 footprint
13:39:06: [INFO] Add D11 footprint
13:39:07: [INFO] Add SW12 footprint
13:39:07: [INFO] Add D12 footprint
13:39:07: [INFO] Add SW13 footprint
13:39:07: [INFO] Add D13 footprint
13:39:07: [INFO] Add SW14 footprint
13:39:07: [INFO] Add D14 footprint
13:39:07: [INFO] Add SW15 footprint
13:39:07: [INFO] Add D15 footprint
13:39:07: [INFO] Add ST15 footprint
13:39:07: [INFO] Add SW15a footprint
13:39:07: [INFO] Add SW16 footprint
13:39:07: [INFO] Add D16 footprint
13:39:07: [INFO] Add SW17 footprint
13:39:07: [INFO] Add D17 footprint
13:39:07: [INFO] Add SW18 footprint
13:39:07: [INFO] Add D18 footprint
13:39:07: [INFO] Add SW19 footprint
13:39:07: [INFO] Add D19 footprint
13:39:07: [INFO] Add SW20 footprint
13:39:07: [INFO] Add D20 footprint
13:39:07: [INFO] Add SW21 footprint
13:39:07: [INFO] Add D21 footprint
13:39:07: [INFO] Add SW22 footprint
13:39:07: [INFO] Add D22 footprint
13:39:07: [INFO] Add SW23 footprint
13:39:07: [INFO] Add D23 footprint
13:39:07: [INFO] Add SW24 footprint
13:39:07: [INFO] Add D24 footprint
13:39:07: [INFO] Add SW25 footprint
13:39:07: [INFO] Add D25 footprint
13:39:07: [INFO] Add SW26 footprint
13:39:07: [INFO] Add D26 footprint
13:39:07: [INFO] Add SW27 footprint
