=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:40: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreAvgGgQBi7uDhNPEgIaVWY7j4CMReWATE3VgMxMmwKKRBQmswAs7fAFYJWAGwzkMgBwyAnDPqFaDRtqz02e+t2JQ+FKpREd64o9IC6WAFBgzZAUMHX6Bdr90EX0M4Xg9LK2wgrh53fi9vKPBfO2jpWl95DKxFbJVs9WzNf31A5P0Q8uNY0n4I8h99VKrHFzdapAToJJY-Wl6y3pCwuoj2AHc+egA6FkkemNMOzy9rXube9IRerO2c9l78vcK94v7Sg4rL6qXzFDRUCanp5Hnz+lbXEc6E604+hD-Mr-YZxCyWJ7wGavJL-EyhMErYSwrBbcD-Xbo-a0f5HLEnLFnQEXHFXUk3Ym2Gp3eqQuAzOYoj7gJxfRFdayiAHgLllLmg5a02iTKGzN4ILnwiAi+lipJctFczFc3II5Yc4V8FjyrBHaVauW0XlaNU0sY6gzsXnwnlNWIyhni23MhwOIA
13:40:40: [INFO] Add Net-(D17-A) net
13:40:40: [INFO] Add Net-(D18-A) net
13:40:40: [INFO] Add Net-(D19-A) net
13:40:40: [INFO] Add Net-(D2-A) net
13:40:40: [INFO] Add Net-(D20-A) net
13:40:40: [INFO] Add Net-(D21-A) net
13:40:40: [INFO] Add Net-(D22-A) net
13:40:40: [INFO] Add Net-(D23-A) net
13:40:40: [INFO] Add Net-(D24-A) net
13:40:40: [INFO] Add Net-(D25-A) net
13:40:40: [INFO] Add Net-(D26-A) net
13:40:40: [INFO] Add Net-(D27-A) net
13:40:40: [INFO] Add Net-(D28-A) net
13:40:40: [INFO] Add Net-(D29-A) net
13:40:40: [INFO] Add Net-(D3-A) net
13:40:40: [INFO] Add Net-(D30-A) net
13:40:40: [INFO] Add Net-(D31-A) net
13:40:40: [INFO] Add Net-(D32-A) net
13:40:40: [INFO] Add Net-(D33-A) net
13:40:40: [INFO] Add Net-(D34-A) net
13:40:40: [INFO] Add Net-(D35-A) net
13:40:40: [INFO] Add Net-(D36-A) net
13:40:40: [INFO] Add Net-(D37-A) net
13:40:40: [INFO] Add Net-(D38-A) net
13:40:40: [INFO] Add Net-(D39-A) net
13:40:40: [INFO] Add Net-(D4-A) net
13:40:40: [INFO] Add Net-(D40-A) net
13:40:40: [INFO] Add Net-(D41-A) net
13:40:40: [INFO] Add Net-(D42-A) net
13:40:40: [INFO] Add Net-(D43-A) net
13:40:40: [INFO] Add Net-(D44-A) net
13:40:40: [INFO] Add Net-(D45-A) net
13:40:40: [INFO] Add Net-(D46-A) net
13:40:40: [INFO] Add Net-(D47-A) net
13:40:40: [INFO] Add Net-(D48-A) net
13:40:40: [INFO] Add Net-(D49-A) net
13:40:40: [INFO] Add Net-(D5-A) net
13:40:40: [INFO] Add Net-(D50-A) net
13:40:40: [INFO] Add Net-(D51-A) net
13:40:40: [INFO] Add Net-(D52-A) net
13:40:40: [INFO] Add Net-(D53-A) net
13:40:40: [INFO] Add Net-(D54-A) net
13:40:40: [INFO] Add Net-(D55-A) net
13:40:40: [INFO] Add Net-(D56-A) net
13:40:40: [INFO] Add Net-(D57-A) net
13:40:40: [INFO] Add Net-(D58-A) net
13:40:40: [INFO] Add Net-(D59-A) net
13:40:40: [INFO] Add Net-(D6-A) net
13:40:40: [INFO] Add Net-(D60-A) net
13:40:40: [INFO] Add Net-(D61-A) net
13:40:40: [INFO] Add Net-(D62-A) net
13:40:40: [INFO] Add Net-(D63-A) net
13:40:40: [INFO] Add Net-(D64-A) net
13:40:40: [INFO] Add Net-(D65-A) net
13:40:40: [INFO] Add Net-(D66-A) net
13:40:40: [INFO] Add Net-(D67-A) net
13:40:40: [INFO] Add Net-(D68-A) net
13:40:40: [INFO] Add Net-(D69-A) net
13:40:40: [INFO] Add Net-(D7-A) net
13:40:40: [INFO] Add Net-(D70-A) net
13:40:40: [INFO] Add Net-(D71-A) net
13:40:40: [INFO] Add Net-(D72-A) net
13:40:40: [INFO] Add Net-(D73-A) net
13:40:40: [INFO] Add Net-(D74-A) net
13:40:40: [INFO] Add Net-(D75-A) net
13:40:40: [INFO] Add Net-(D8-A) net
13:40:40: [INFO] Add Net-(D9-A) net
13:40:40: [INFO] Add ROW0 net
13:40:40: [INFO] Add ROW1 net
13:40:40: [INFO] Add ROW2 net
13:40:40: [INFO] Add ROW3 net
13:40:40: [INFO] Add ROW4 net
13:40:40: [INFO] Add SW1 footprint
13:40:40: [INFO] Add D1 footprint
13:40:41: [INFO] Add SW2 footprint
13:40:41: [INFO] Add D2 footprint
13:40:41: [INFO] Add SW3 footprint
13:40:41: [INFO] Add D3 footprint
13:40:41: [INFO] Add SW4 footprint
13:40:41: [INFO] Add D4 footprint
13:40:41: [INFO] Add SW5 footprint
13:40:41: [INFO] Add D5 footprint
13:40:41: [INFO] Add SW6 footprint
13:40:41: [INFO] Add D6 footprint
13:40:41: [INFO] Add SW7 footprint
