=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
14:19:10: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwBYB0BWANHcB3WcAmAXy3AAYNkAdAO1tooXAF0MAoMKfBA9UgM24CAhvmABmZiWyMmrDhGjwyfbAE98AWhUB2TNgDG+cAGId5i+GnkMZcFghH4pg67dXSje3EXcEKMmtGAm8IflF4CSwKOBjJIMpxejoaCjtPSiRkhltQrmUUAn1wQXhxawRMlnZOJUQdawIq+Vr8FSLSDXhtFABOYqdsE2ER0e8SoWxwsUlSPHh-NArch3BBlzdXD2xKplW6hBUl0l29ncoQ1dK4cTnudGWEcWqFfPqUSvUtFTJi68+ShE4BIpKRbsgXq0Cghil04D1+qR1sNRiNxvNECg9I0Vj41sYTJstjizr54L0sST0tgmghSfjnGYLOZ0fheEUSSEWo4Cai0Xd4OzjthbtSeYyiUZrOC8gcftLKGKGUM+aIBZjsWDKHIamTEAA2Qqw77oAYE5kshVPSEQOE9JBmxmq1kLI3WJC5blvGFGzomtCOoYWnTbcAenjjcPPUjhpA28AAJzqt2wCbhqA62DqPWN3XEASRBMloYoXN1ie4MTe7Vz8P8gQy0ZkGDjGTQ4wo+vj2Zry0u5yb4EqrfO7Za4Ca-YnGEHTRH07H5bqRwVU9ug9u89ui9ey9UytMzvVi3dGH74qGxYE+BTuDZp5HF8PfNDHp3nATWkOpCT3F4xWzfM9D9PMC0MIsiXGf4RBmUFmxDDIAA4OwwXoUMObstAzYUhwwLsTgwBDzmQgi0IIjCvWzVAGxpPDxiaIjpxI2i0MorD92ucoYzw7IaEqJVoKmIEQQVfCRUI8ZbmY8BblYpd2KrDFeE1bAPSIp8UVRF1MRwj05N3djaxrQsJUgmDIhTGI4lYbAABN8AAFwTABXABTU99V43YWGYIA
14:19:11: [INFO] Add SW3 footprint
14:19:11: [INFO] Add D3 footprint
14:19:11: [INFO] Add SW4 footprint
14:19:11: [INFO] Add D4 footprint
14:19:11: [INFO] Add SW5 footprint
14:19:11: [INFO] Add D5 footprint
14:19:11: [INFO] Add SW6 footprint
14:19:11: [INFO] Add D6 footprint
14:19:11: [INFO] Add SW7 footprint
14:19:11: [INFO] Add D7 footprint
14:19:11: [INFO] Add SW8 footprint
14:19:11: [INFO] Add D8 footprint
14:19:11: [INFO] Add SW9 footprint
14:19:11: [INFO] Add D9 footprint
14:19:11: [INFO] Add SW10 footprint
14:19:11: [INFO] Add D10 footprint
14:19:11: [INFO] Add SW11 footprint
14:19:11: [INFO] Add D11 footprint
14:19:11: [INFO] Add SW12 footprint
14:19:11: [INFO] Add D12 footprint
14:19:11: [INFO] Add SW13 footprint
14:19:11: [INFO] Add D13 footprint
14:19:11: [INFO] Add SW14 footprint
14:19:12: [INFO] Add D14 footprint
14:19:12: [INFO] Add SW15 footprint
14:19:12: [INFO] Add D15 footprint
14:19:12: [INFO] Add SW15a footprint
14:19:12: [INFO] Add ST15a footprint
14:19:12: [INFO] Add SW16 footprint
14:19:12: [INFO] Add D16 footprint
14:19:12: [INFO] Add SW17 footprint
14:19:12: [INFO] Add D17 footprint
14:19:12: [INFO] Add SW18 footprint
14:19:12: [INFO] Add D18 footprint
14:19:12: [INFO] Add SW19 footprint
14:19:12: [INFO] Add D19 footprint
14:19:12: [INFO] Add SW20 footprint
14:19:12: [INFO] Add D20 footprint
14:19:12: [INFO] Add SW21 footprint
14:19:12: [INFO] Add D21 footprint
14:19:12: [INFO] Add SW22 footprint
14:19:12: [INFO] Add D22 footprint
14:19:12: [INFO] Add SW23 footprint
14:19:12: [INFO] Add D23 footprint
14:19:12: [INFO] Add SW24 footprint
14:19:12: [INFO] Add D24 footprint
14:19:12: [INFO] Add SW25 footprint
14:19:12: [INFO] Add D25 footprint
14:19:12: [INFO] Add SW26 footprint
14:19:12: [INFO] Add D26 footprint
14:19:12: [INFO] Add SW27 footprint
14:19:12: [INFO] Add D27 footprint
14:19:12: [INFO] Add SW28 footprint
14:19:12: [INFO] Add D28 footprint
14:19:12: [INFO] Add SW29 footprint
14:19:12: [INFO] Add D29 footprint
14:19:12: [INFO] Add SW30 footprint
14:19:12: [INFO] Add D30 footprint
14:19:12: [INFO] Add SW31 footprint
14:19:12: [INFO] Add D31 footprint
14:19:12: [INFO] Add SW32 footprint
14:19:12: [INFO] Add D32 footprint
14:19:12: [INFO] Add SW33 footprint
14:19:12: [INFO] Add D33 footprint
14:19:12: [INFO] Add SW34 footprint
14:19:12: [INFO] Add D34 footprint
14:19:12: [INFO] Add SW35 footprint
14:19:12: [INFO] Add D35 footprint
14:19:12: [INFO] Add SW36 footprint
14:19:12: [INFO] Add D36 footprint
14:19:12: [INFO] Add SW37 footprint
14:19:12: [INFO] Add D37 footprint
14:19:12: [INFO] Add SW38 footprint
14:19:12: [INFO] Add D38 footprint
14:19:13: [INFO] Add SW39 footprint
14:19:13: [INFO] Add D39 footprint
14:19:13: [INFO] Add SW40 footprint
14:19:13: [INFO] Add D40 footprint
14:19:13: [INFO] Add SW41 footprint
14:19:13: [INFO] Add D41 footprint
14:19:13: [INFO] Add SW42 footprint
14:19:13: [INFO] Add D42 footprint
14:19:13: [INFO] Add SW43 footprint
14:19:13: [INFO] Add D43 footprint
14:19:13: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
14:19:13: [INFO] Add ST43 footprint
14:19:13: [INFO] Add SW44 footprint
14:19:13: [INFO] Add D44 footprint
14:19:13: [INFO] Add SW45 footprint
14:19:13: [INFO] Add D45 footprint
14:19:13: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
14:19:13: [INFO] Add ST45 footprint
14:19:13: [INFO] Add SW46 footprint
14:19:13: [INFO] Add D46 footprint
14:19:13: [INFO] Add SW47 footprint
14:19:13: [INFO] Add D47 footprint
14:19:13: [INFO] Add SW48 footprint
14:19:13: [INFO] Add D48 footprint
14:19:13: [INFO] Add SW49 footprint
14:19:13: [INFO] Add D49 footprint
14:19:13: [INFO] Add SW50 footprint
14:19:13: [INFO] Add D50 footprint
14:19:13: [INFO] Add SW51 footprint
14:19:13: [INFO] Add D51 footprint
14:19:13: [INFO] Add SW52 footprint
14:19:13: [INFO] Add D52 footprint
14:19:13: [INFO] Add SW53 footprint
14:19:13: [INFO] Add D53 footprint
14:19:13: [INFO] Add SW54 footprint
14:19:13: [INFO] Add D54 footprint
14:19:13: [INFO] Add SW55 footprint
14:19:13: [INFO] Add D55 footprint
14:19:13: [INFO] Add SW56 footprint
14:19:13: [INFO] Add D56 footprint
14:19:13: [INFO] Add SW57 footprint
14:19:13: [INFO] Add D57 footprint
14:19:13: [INFO] Add SW58 footprint
14:19:13: [INFO] Add D58 footprint
14:19:13: [INFO] Add SW59 footprint
14:19:13: [INFO] Add D59 footprint
14:19:13: [INFO] Add SW60 footprint
14:19:13: [INFO] Add D60 footprint
14:19:13: [INFO] Add SW61 footprint
14:19:13: [INFO] Add D61 footprint
14:19:13: [INFO] Add ST61 footprint
14:19:13: [INFO] Add SW62 footprint
14:19:13: [INFO] Add D62 footprint
14:19:13: [INFO] Add SW63 footprint
14:19:13: [INFO] Add D63 footprint
14:19:14: [INFO] Add SW64 footprint
14:19:14: [INFO] Add D64 footprint
14:19:14: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
14:19:14: [INFO] Add ST64 footprint
14:19:14: [INFO] Add SW65 footprint
14:19:14: [INFO] Add D65 footprint
14:19:14: [INFO] Add SW66 footprint
14:19:14: [INFO] Add D66 footprint
14:19:14: [INFO] Add SW67 footprint
14:19:14: [INFO] Add D67 footprint
14:19:14: [INFO] Add SW68 footprint
14:19:14: [INFO] Add D68 footprint
14:19:14: [INFO] Detected layout convertible to matrix annotated keyboard
14:19:14: [INFO] Using key 1U distance: (19.05, 19.05) mm
14:19:14: [INFO] Layout offset: (38100000, 28575000)
14:19:14: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
14:19:14: [INFO] Placing additional elements for SW68
14:19:14: [INFO] Placing additional elements for SW67
14:19:14: [INFO] Placing additional elements for SW66
14:19:14: [INFO] Placing additional elements for SW65
14:19:14: [INFO] Placing additional elements for SW64
14:19:14: [INFO] Placing additional elements for SW63
14:19:14: [INFO] Placing additional elements for SW62
14:19:14: [INFO] Placing additional elements for SW61
14:19:14: [INFO] Placing additional elements for SW60
14:19:14: [INFO] Placing additional elements for SW59
14:19:14: [INFO] Placing additional elements for SW58
14:19:14: [INFO] Placing additional elements for SW57
14:19:14: [INFO] Placing additional elements for SW56
14:19:14: [INFO] Placing additional elements for SW55
14:19:14: [INFO] Placing additional elements for SW54
14:19:14: [INFO] Placing additional elements for SW53
14:19:14: [INFO] Placing additional elements for SW52
14:19:14: [INFO] Placing additional elements for SW51
14:19:14: [INFO] Placing additional elements for SW50
14:19:14: [INFO] Placing additional elements for SW49
14:19:14: [INFO] Placing additional elements for SW48
14:19:14: [INFO] Placing additional elements for SW47
14:19:14: [INFO] Placing additional elements for SW46
14:19:14: [INFO] Placing additional elements for SW45
14:19:14: [INFO] Placing additional elements for SW44
14:19:14: [INFO] Placing additional elements for SW43
14:19:14: [INFO] Placing additional elements for SW42
14:19:14: [INFO] Placing additional elements for SW41
14:19:14: [INFO] Placing additional elements for SW40
14:19:14: [INFO] Placing additional elements for SW39
14:19:14: [INFO] Placing additional elements for SW38
14:19:14: [INFO] Placing additional elements for SW37
14:19:14: [INFO] Placing additional elements for SW36
14:19:14: [INFO] Placing additional elements for SW35
14:19:14: [INFO] Placing additional elements for SW34
14:19:14: [INFO] Placing additional elements for SW33
14:19:14: [INFO] Placing additional elements for SW32
14:19:14: [INFO] Placing additional elements for SW31
14:19:14: [INFO] Placing additional elements for SW30
14:19:14: [INFO] Placing additional elements for SW29
