=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:29: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBpwHQO3vK5SQASgIzUQuzUMpNclpCtIS8yV0JIAmU-c+7Zm1uoyAZhYF2-QW14AWUT0qSuQjH0izc8hgFYphAN6gAHqABcacADpGagL7CNcsQwBsm4Y9soAupABQwHQHdDaJgmlvSMOK4UirARoVROCnExGGGcKnaKqXiqYQJJoIq5adJhyll2akrxfgFBIcmQNkXaegGm5lYJjWXFkC5N9Ip93aAe3tVGQQDsdaDi4f0YFdELs4krFdQrc5m0FBU73BRzhcP0FSe79HOllxiTlUk6+hPBHaAVXberQ18VP4ejHwtCbYDAATwCAFpTNM3nNPgCvECIUZoWYKhh-C92vR7PNTnd8bdxmhGOi3njNgSSUEcRg8Qd5CSybDcSJHqAsYFyfR7hdDugngE+K82f9VPdxeRAUKJlBwVCYTM8TcBfSGvFQPcEQRAQxlmVMBRsAayEb6MRROaMNgqWaKFBGVRjUwrQ72WlrZR+cR3arfcJ-c6Bg9Pe6dcG0LLjDybRrbF6oFKvdhkyMkTTRfVTawvVE3bE7bnImtDRQUgWEk6vTlK-kPWXYkGvRVm80ubU3mEI9bo20Zooe+XenXBm6ZZyaiZWRg5jmA4sicWrqX7WdV8vZ66E3tt2GVz7I+8G2ut23eaHG1HgdyZh863M0+u0xPnoFQaAUWg0TPVkOJ1+aLmPQHaxqAeLzke9yQb2k5GPYYEMpWmZ0lqJ6btGIrKiOO4Xi+GY3pg8qfoq07Yee6pDhe-5IpQUqMO69EuhGDGCje-ZvFALElkGrFxrxfqiHx3pCe6h7CRwokWnuZQSRujrukWCnCJBwnIKJepjrYwlhExIbcWxb79iBU4zN2UmLgJTYWfW4nDnZIZOjpMlkMJihKUww4eW5S7KdeoFmb5nl6n8NmPjZ97ac0b6dheVlnhF6F+asDmLk5RwuawwkbGF8meeuqntlOv5zhpBFviKwEKqiSpwvGaQMQBpGoZKNl4np14VcEJnYjMfIWcyZEUkl+X+VOqFIVFbFcmSE15cJ0EDXB3JzYVr4BLNGIkTVQ3UW19WyRQKpld4dGiHwjHncxV2Ga0YFcTdCRBhdgaPQwz0uoeL28F9LpOt9DD-S6HkA5atgAyab3qeD6anVpaQA7pb2Do9fboj1t5dgdZAA62b0lMjI2I0TJZA7EZMJCDXmE5B32ZoFtOw2AoUwyuUq49jrB04RWZoR9K784uv0Hm9+xvdsot5QDcxUwVqPLVMMylTD61GJVW2AbVK4RhdTU7S1OEI0dhtlNzXVbaBBvC2N8GIZlUAA4trM2yt2GM6rpLo9V35a4SOvG-7bIfW4bhAA
13:29:30: [INFO] Add SW1a footprint
13:29:30: [INFO] Add SW2 footprint
13:29:30: [INFO] Add D2 footprint
13:29:30: [INFO] Add SW2a footprint
13:29:30: [INFO] Add SW3 footprint
13:29:30: [INFO] Add D3 footprint
13:29:30: [INFO] Add SW3a footprint
13:29:30: [INFO] Add SW4 footprint
13:29:30: [INFO] Add D4 footprint
13:29:30: [INFO] Add SW4a footprint
13:29:30: [INFO] Add SW5 footprint
13:29:31: [INFO] Add D5 footprint
13:29:31: [INFO] Add SW5a footprint
13:29:31: [INFO] Add SW6 footprint
13:29:31: [INFO] Add D6 footprint
13:29:31: [INFO] Add SW6a footprint
13:29:31: [INFO] Add SW7 footprint
13:29:31: [INFO] Add D7 footprint
13:29:31: [INFO] Add SW7a footprint
13:29:31: [INFO] Add SW8 footprint
13:29:31: [INFO] Add D8 footprint
13:29:31: [INFO] Add SW8a footprint
13:29:31: [INFO] Add SW9 footprint
13:29:31: [INFO] Add D9 footprint
13:29:31: [INFO] Add SW9a footprint
13:29:31: [INFO] Add SW10 footprint
13:29:31: [INFO] Add D10 footprint
13:29:31: [INFO] Add SW10a footprint
13:29:31: [INFO] Add SW11 footprint
13:29:31: [INFO] Add D11 footprint
13:29:31: [INFO] Add SW11a footprint
13:29:31: [INFO] Add SW12 footprint
13:29:31: [INFO] Add D12 footprint
13:29:31: [INFO] Add SW12a footprint
13:29:31: [INFO] Add SW13 footprint
13:29:31: [INFO] Add D13 footprint
13:29:31: [INFO] Add SW13a footprint
13:29:31: [INFO] Add SW14 footprint
13:29:31: [INFO] Add D14 footprint
13:29:31: [INFO] Add SW14a footprint
13:29:31: [INFO] Add SW15 footprint
13:29:31: [INFO] Add D15 footprint
13:29:31: [INFO] Add SW15a footprint
13:29:31: [INFO] Add SW16 footprint
13:29:31: [INFO] Add D16 footprint
13:29:31: [INFO] Add SW16a footprint
13:29:31: [INFO] Add SW17 footprint
13:29:31: [INFO] Add D17 footprint
13:29:31: [INFO] Add SW17a footprint
13:29:32: [INFO] Add SW18 footprint
13:29:32: [INFO] Add D18 footprint
13:29:32: [INFO] Add SW18a footprint
13:29:32: [INFO] Add SW19 footprint
13:29:32: [INFO] Add D19 footprint
13:29:32: [INFO] Add SW19a footprint
13:29:32: [INFO] Add SW20 footprint
13:29:32: [INFO] Add D20 footprint
13:29:32: [INFO] Add SW20a footprint
13:29:32: [INFO] Add SW21 footprint
13:29:32: [INFO] Add D21 footprint
13:29:32: [INFO] Add SW21a footprint
13:29:32: [INFO] Add SW22 footprint
13:29:32: [INFO] Add D22 footprint
13:29:32: [INFO] Add SW22a footprint
13:29:32: [INFO] Add SW23 footprint
13:29:32: [INFO] Add D23 footprint
13:29:32: [INFO] Add SW23a footprint
13:29:32: [INFO] Add SW24 footprint
13:29:32: [INFO] Add D24 footprint
13:29:32: [INFO] Add SW24a footprint
13:29:32: [INFO] Add SW25 footprint
13:29:32: [INFO] Add D25 footprint
13:29:32: [INFO] Add SW25a footprint
13:29:32: [INFO] Add SW26 footprint
13:29:32: [INFO] Add D26 footprint
13:29:32: [INFO] Add SW26a footprint
13:29:32: [INFO] Add SW27 footprint
13:29:32: [INFO] Add D27 footprint
13:29:32: [INFO] Add SW27a footprint
13:29:32: [INFO] Add SW28 footprint
13:29:32: [INFO] Add D28 footprint
13:29:32: [INFO] Add SW28a footprint
13:29:32: [INFO] Add SW29 footprint
13:29:32: [INFO] Add D29 footprint
13:29:32: [INFO] Add SW29a footprint
13:29:32: [INFO] Add SW30 footprint
13:29:32: [INFO] Add D30 footprint
13:29:32: [INFO] Add SW30a footprint
13:29:33: [INFO] Add SW31 footprint
13:29:33: [INFO] Add D31 footprint
13:29:33: [INFO] Add SW31a footprint
13:29:33: [INFO] Add SW32 footprint
13:29:33: [INFO] Add D32 footprint
13:29:33: [INFO] Add SW32a footprint
13:29:33: [INFO] Add SW33 footprint
13:29:33: [INFO] Add D33 footprint
13:29:33: [INFO] Add SW33a footprint
13:29:33: [INFO] Add SW34 footprint
13:29:33: [INFO] Add D34 footprint
13:29:33: [INFO] Add SW34a footprint
13:29:33: [INFO] Add SW35 footprint
13:29:33: [INFO] Add D35 footprint
13:29:33: [INFO] Add SW35a footprint
13:29:33: [INFO] Add SW36 footprint
13:29:33: [INFO] Add D36 footprint
13:29:33: [INFO] Add SW36a footprint
13:29:33: [INFO] Add SW37 footprint
13:29:33: [INFO] Add D37 footprint
13:29:33: [INFO] Add SW37a footprint
13:29:33: [INFO] Add SW38 footprint
13:29:33: [INFO] Add D38 footprint
13:29:33: [INFO] Add SW38a footprint
13:29:33: [INFO] Add SW39 footprint
13:29:33: [INFO] Add D39 footprint
13:29:33: [INFO] Add SW39a footprint
13:29:33: [INFO] Add SW40 footprint
13:29:33: [INFO] Add D40 footprint
13:29:33: [INFO] Add SW40a footprint
13:29:33: [INFO] Add SW41 footprint
13:29:33: [INFO] Add D41 footprint
13:29:33: [INFO] Add SW41a footprint
13:29:33: [INFO] Add SW42 footprint
13:29:33: [INFO] Add D42 footprint
13:29:33: [INFO] Add SW42a footprint
13:29:33: [INFO] Add SW43 footprint
13:29:33: [INFO] Add D43 footprint
13:29:33: [INFO] Add SW43a footprint
13:29:34: [INFO] Add SW44 footprint
13:29:34: [INFO] Add D44 footprint
13:29:34: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:34: [INFO] Add ST44 footprint
13:29:34: [INFO] Add SW44a footprint
13:29:34: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:34: [INFO] Add ST44a footprint
13:29:34: [INFO] Add SW45 footprint
13:29:34: [INFO] Add D45 footprint
13:29:34: [INFO] Add SW45a footprint
13:29:34: [INFO] Add ST45a footprint
13:29:34: [INFO] Add SW45b footprint
13:29:34: [INFO] Add SW45c footprint
13:29:34: [INFO] Add ST45c footprint
13:29:34: [INFO] Add SW46 footprint
13:29:34: [INFO] Add D46 footprint
13:29:34: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:29:34: [INFO] Add ST46 footprint
13:29:34: [INFO] Add SW46a footprint
13:29:34: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:29:34: [INFO] Add ST46a footprint
13:29:34: [INFO] Add SW47 footprint
13:29:34: [INFO] Add D47 footprint
13:29:34: [INFO] Add SW47a footprint
13:29:34: [INFO] Add SW48 footprint
13:29:34: [INFO] Add D48 footprint
13:29:34: [INFO] Add SW48a footprint
13:29:34: [INFO] Add SW49 footprint
13:29:34: [INFO] Add D49 footprint
13:29:34: [INFO] Add SW49a footprint
13:29:34: [INFO] Add SW50 footprint
13:29:34: [INFO] Add D50 footprint
13:29:34: [INFO] Add SW50a footprint
13:29:34: [INFO] Add SW51 footprint
13:29:34: [INFO] Add D51 footprint
13:29:34: [INFO] Add SW51a footprint
13:29:34: [INFO] Add SW52 footprint
13:29:34: [INFO] Add D52 footprint
13:29:34: [INFO] Add SW52a footprint
13:29:34: [INFO] Add SW53 footprint
13:29:34: [INFO] Add D53 footprint
13:29:34: [INFO] Add SW53a footprint
13:29:34: [INFO] Add SW54 footprint
13:29:34: [INFO] Add D54 footprint
13:29:34: [INFO] Add SW54a footprint
13:29:34: [INFO] Detected layout convertible to matrix annotated keyboard
13:29:34: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:29:34: [INFO] Layout offset: (28575000, 28575000)
13:29:34: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:29:34: [INFO] Placing additional elements for SW54a
13:29:34: [INFO] Placing additional elements for SW54
13:29:34: [INFO] Placing additional elements for SW53a
13:29:34: [INFO] Placing additional elements for SW53
13:29:34: [INFO] Placing additional elements for SW52a
13:29:34: [INFO] Placing additional elements for SW52
13:29:34: [INFO] Placing additional elements for SW51a
13:29:34: [INFO] Placing additional elements for SW51
13:29:34: [INFO] Placing additional elements for SW50a
13:29:34: [INFO] Placing additional elements for SW50
13:29:34: [INFO] Placing additional elements for SW49a
13:29:34: [INFO] Placing additional elements for SW49
13:29:34: [INFO] Placing additional elements for SW48a
13:29:34: [INFO] Placing additional elements for SW48
13:29:34: [INFO] Placing additional elements for SW47a
13:29:34: [INFO] Placing additional elements for SW47
13:29:34: [INFO] Placing additional elements for SW46a
13:29:34: [INFO] Placing additional elements for SW46
13:29:34: [INFO] Placing additional elements for SW45c
13:29:34: [INFO] Placing additional elements for SW45b
13:29:34: [INFO] Placing additional elements for SW45a
13:29:34: [INFO] Placing additional elements for SW45
13:29:34: [INFO] Placing additional elements for SW44a
13:29:34: [INFO] Placing additional elements for SW44
13:29:34: [INFO] Placing additional elements for SW43a
13:29:34: [INFO] Placing additional elements for SW43
13:29:34: [INFO] Placing additional elements for SW42a
13:29:34: [INFO] Placing additional elements for SW42
13:29:34: [INFO] Placing additional elements for SW41a
13:29:34: [INFO] Placing additional elements for SW41
13:29:34: [INFO] Placing additional elements for SW40a
13:29:34: [INFO] Placing additional elements for SW40
13:29:34: [INFO] Placing additional elements for SW39a
13:29:34: [INFO] Placing additional elements for SW39
13:29:34: [INFO] Placing additional elements for SW38a
13:29:34: [INFO] Placing additional elements for SW38
13:29:34: [INFO] Placing additional elements for SW37a
13:29:34: [INFO] Placing additional elements for SW37
13:29:34: [INFO] Placing additional elements for SW36a
13:29:34: [INFO] Placing additional elements for SW36
13:29:34: [INFO] Placing additional elements for SW35a
13:29:34: [INFO] Placing additional elements for SW35
13:29:34: [INFO] Placing additional elements for SW34a
13:29:34: [INFO] Placing additional elements for SW34
13:29:34: [INFO] Placing additional elements for SW33a
13:29:34: [INFO] Placing additional elements for SW33
13:29:34: [INFO] Placing additional elements for SW32a
13:29:34: [INFO] Placing additional elements for SW32
13:29:34: [INFO] Placing additional elements for SW31a
13:29:34: [INFO] Placing additional elements for SW31
13:29:34: [INFO] Placing additional elements for SW30a
13:29:34: [INFO] Placing additional elements for SW30
13:29:34: [INFO] Placing additional elements for SW29a
13:29:34: [INFO] Placing additional elements for SW29
13:29:34: [INFO] Placing additional elements for SW28a
13:29:34: [INFO] Placing additional elements for SW28
13:29:34: [INFO] Placing additional elements for SW27a
13:29:34: [INFO] Placing additional elements for SW27
13:29:34: [INFO] Placing additional elements for SW26a
13:29:34: [INFO] Placing additional elements for SW26
13:29:34: [INFO] Placing additional elements for SW25a
13:29:34: [INFO] Placing additional elements for SW25
13:29:34: [INFO] Placing additional elements for SW24a
13:29:34: [INFO] Placing additional elements for SW24
13:29:34: [INFO] Placing additional elements for SW23a
13:29:34: [INFO] Placing additional elements for SW23
13:29:34: [INFO] Placing additional elements for SW22a
13:29:34: [INFO] Placing additional elements for SW22
13:29:34: [INFO] Placing additional elements for SW21a
13:29:34: [INFO] Placing additional elements for SW21
13:29:34: [INFO] Placing additional elements for SW20a
13:29:34: [INFO] Placing additional elements for SW20
13:29:34: [INFO] Placing additional elements for SW19a
13:29:34: [INFO] Placing additional elements for SW19
13:29:34: [INFO] Placing additional elements for SW18a
13:29:34: [INFO] Placing additional elements for SW18
13:29:34: [INFO] Placing additional elements for SW17a
13:29:34: [INFO] Placing additional elements for SW17
13:29:34: [INFO] Placing additional elements for SW16a
13:29:34: [INFO] Placing additional elements for SW16
13:29:34: [INFO] Placing additional elements for SW15a
13:29:34: [INFO] Placing additional elements for SW15
13:29:34: [INFO] Placing additional elements for SW14a
13:29:34: [INFO] Placing additional elements for SW14
13:29:34: [INFO] Placing additional elements for SW13a
13:29:34: [INFO] Placing additional elements for SW13
13:29:34: [INFO] Placing additional elements for SW12a
13:29:34: [INFO] Placing additional elements for SW12
13:29:34: [INFO] Placing additional elements for SW11a
13:29:34: [INFO] Placing additional elements for SW11
13:29:34: [INFO] Placing additional elements for SW10a
13:29:34: [INFO] Placing additional elements for SW10
13:29:34: [INFO] Placing additional elements for SW9a
13:29:34: [INFO] Placing additional elements for SW9
13:29:34: [INFO] Placing additional elements for SW8a
13:29:34: [INFO] Placing additional elements for SW8
13:29:34: [INFO] Placing additional elements for SW7a
13:29:34: [INFO] Placing additional elements for SW7
13:29:34: [INFO] Placing additional elements for SW6a
13:29:34: [INFO] Placing additional elements for SW6
13:29:34: [INFO] Placing additional elements for SW5a
13:29:34: [INFO] Placing additional elements for SW5
13:29:34: [INFO] Placing additional elements for SW4a
13:29:34: [INFO] Placing additional elements for SW4
13:29:34: [INFO] Placing additional elements for SW3a
13:29:34: [INFO] Placing additional elements for SW3
13:29:34: [INFO] Placing additional elements for SW2a
13:29:34: [INFO] Placing additional elements for SW2
13:29:34: [INFO] Placing additional elements for SW1a
13:29:34: [INFO] Placing additional elements for SW1
13:29:34: [INFO] Routing SW54a with D54
13:29:34: [INFO] Using internal autorouter method
13:29:34: [INFO] Routing pad 'SW54a:2' at (40640000, 90170000) with pad 'D54:2' at (314642500, 97850000) using coordinate system rotated by 0 degree(s)
13:29:34: [INFO] Routing SW54 with D54
13:29:34: [INFO] Using internal autorouter method
13:29:34: [INFO] Routing pad 'SW54:2' at (312102500, 90170000) with pad 'D54:2' at (314642500, 97850000) using coordinate system rotated by 0 degree(s)
13:29:34: [INFO] Routing SW53a with D53
13:29:34: [INFO] Using internal autorouter method
13:29:34: [INFO] Routing pad 'SW53a:2' at (83502500, 94932500) with pad 'D53:2' at (271780000, 102612500) using coordinate system rotated by 0 degree(s)
13:29:34: [INFO] Routing SW53 with D53
13:29:34: [INFO] Using internal autorouter method
13:29:34: [INFO] Routing pad 'SW53:2' at (269240000, 94932500) with pad 'D53:2' at (271780000, 102612500) using coordinate system rotated by 0 degree(s)
13:29:34: [INFO] Adding track segment (B.Cu): [(269240000, 94932500), (269240000, 100072500)]
13:29:34: [INFO] Adding track segment (B.Cu): [(269240000, 100072500), (271780000, 102612500)]
13:29:34: [INFO] Routing SW52a with D52
13:29:34: [INFO] Using internal autorouter method
13:29:34: [INFO] Routing pad 'SW52a:2' at (126365000, 71120000) with pad 'D52:2' at (228917500, 78800000) using coordinate system rotated by 0 degree(s)
13:29:34: [INFO] Routing SW52 with D52
13:29:34: [INFO] Using internal autorouter method
13:29:34: [INFO] Routing pad 'SW52:2' at (226377500, 71120000) with pad 'D52:2' at (228917500, 78800000) using coordinate system rotated by 0 degree(s)
13:29:34: [INFO] Adding track segment (B.Cu): [(226377500, 71120000), (226377500, 76260000)]
13:29:34: [INFO] Adding track segment (B.Cu): [(226377500, 76260000), (228917500, 78800000)]
13:29:34: [INFO] Routing SW51a with D51
13:29:34: [INFO] Using internal autorouter method
13:29:34: [INFO] Routing pad 'SW51a:2' at (147796250, 90170000) with pad 'D51:2' at (207486250, 97850000) using coordinate system rotated by 0 degree(s)
13:29:34: [INFO] Routing SW51 with D51
13:29:34: [INFO] Using internal autorouter method
13:29:34: [INFO] Routing pad 'SW51:2' at (204946250, 90170000) with pad 'D51:2' at (207486250, 97850000) using coordinate system rotated by 0 degree(s)
13:29:34: [INFO] Adding track segment (B.Cu): [(204946250, 90170000), (204946250, 95310000)]
13:29:35: [INFO] Adding track segment (B.Cu): [(204946250, 95310000), (207486250, 97850000)]
13:29:35: [INFO] Routing SW50a with D50
13:29:35: [INFO] Using internal autorouter method
13:29:35: [INFO] Routing pad 'SW50a:2' at (288290000, 90170000) with pad 'D50:2' at (66992500, 97850000) using coordinate system rotated by 0 degree(s)
13:29:35: [INFO] Routing SW50 with D50
13:29:35: [INFO] Using internal autorouter method
13:29:35: [INFO] Routing pad 'SW50:2' at (64452500, 90170000) with pad 'D50:2' at (66992500, 97850000) using coordinate system rotated by 0 degree(s)
13:29:35: [INFO] Adding track segment (B.Cu): [(64452500, 90170000), (64452500, 95310000)]
13:29:35: [INFO] Adding track segment (B.Cu): [(64452500, 95310000), (66992500, 97850000)]
13:29:35: [INFO] Routing SW49a with D49
13:29:35: [INFO] Using internal autorouter method
13:29:35: [INFO] Routing pad 'SW49a:2' at (59690000, 90170000) with pad 'D49:2' at (295592500, 97850000) using coordinate system rotated by 0 degree(s)
13:29:35: [INFO] Routing SW49 with D49
13:29:35: [INFO] Using internal autorouter method
13:29:35: [INFO] Routing pad 'SW49:2' at (293052500, 90170000) with pad 'D49:2' at (295592500, 97850000) using coordinate system rotated by 0 degree(s)
13:29:35: [INFO] Adding track segment (B.Cu): [(293052500, 90170000), (293052500, 95310000)]
13:29:35: [INFO] Adding track segment (B.Cu): [(293052500, 95310000), (295592500, 97850000)]
13:29:35: [INFO] Routing SW48a with D48
13:29:35: [INFO] Using internal autorouter method
13:29:35: [INFO] Routing pad 'SW48a:2' at (102552500, 94932500) with pad 'D48:2' at (252730000, 102612500) using coordinate system rotated by 0 degree(s)
13:29:35: [INFO] Routing SW48 with D48
13:29:35: [INFO] Using internal autorouter method
13:29:35: [INFO] Routing pad 'SW48:2' at (250190000, 94932500) with pad 'D48:2' at (252730000, 102612500) using coordinate system rotated by 0 degree(s)
13:29:35: [INFO] Routing SW47a with D47
13:29:35: [INFO] Using internal autorouter method
13:29:35: [INFO] Routing pad 'SW47a:2' at (121602500, 94932500) with pad 'D47:2' at (233680000, 102612500) using coordinate system rotated by 0 degree(s)
13:29:35: [INFO] Routing SW47 with D47
13:29:35: [INFO] Using internal autorouter method
13:29:35: [INFO] Routing pad 'SW47:2' at (231140000, 94932500) with pad 'D47:2' at (233680000, 102612500) using coordinate system rotated by 0 degree(s)
13:29:35: [INFO] Adding track segment (B.Cu): [(231140000, 94932500), (231140000, 100072500)]
