=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:16: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoCsBfANHcAGDDwsJp4B2VTbANgwCZwBdDAKDCljltS3AE8OAtDiQAOUuh556RdvACMSHJVwYALITjEOKCjxpyNW+YuU0CTVkbg6UPfvCGjxyvCkOzEu6hhyMWbezhHMVtsAHcOBQlsPF9JDAMZEjg5KNM1dwjjaPAaNws2ZORQvkFhBGceOXx3ZPIc0jo-Sw8uEsDgyuxq6U0PBSUqjKTtL3BGxL7kgeVG838rGzsypxzqtxH4YtmfZoCVkJ4slLHquO6E2si0nkb1GWOb7Eb8hY9i5YdyrvBaGs24PVlCImgUrG1PkFhCFlH9elYZjw-vcpqMciDJgiTDwQfMWskltgOtCfn8NqitmMQb4waUvqsjpExn9zr9LgDUlThn1HlzXviOB8iSsKjkEP8KYCxgBOUFvZIQ4X0mE8cXw-rY7DilGLGXsyWI7CyvGFNGQzpijDkqzbHiymlvYkM8JMy2s8WY-pPcCynXgXk5WX802U9oin6qCVWIFVKR7cHcJVQ1bKSPq5LS054E0QABOgrw2FzBJ4ucCqjGkZR4Fs5JrNVp02UtmrtnotPzDgQhfAxeuiY8AmQg26PQ04FSu1jl0bgmHyknBCq1QMDAYQA
13:40:18: [INFO] Add SW16 footprint
13:40:18: [INFO] Add D16 footprint
13:40:18: [INFO] Add SW17 footprint
13:40:18: [INFO] Add D17 footprint
13:40:18: [INFO] Add SW18 footprint
13:40:18: [INFO] Add D18 footprint
13:40:18: [INFO] Add SW19 footprint
13:40:18: [INFO] Add D19 footprint
13:40:18: [INFO] Add SW20 footprint
13:40:18: [INFO] Add D20 footprint
13:40:18: [INFO] Add SW21 footprint
13:40:18: [INFO] Add D21 footprint
13:40:18: [INFO] Add SW22 footprint
13:40:18: [INFO] Add D22 footprint
13:40:18: [INFO] Add SW23 footprint
13:40:18: [INFO] Add D23 footprint
13:40:18: [INFO] Add SW24 footprint
13:40:18: [INFO] Add D24 footprint
13:40:18: [INFO] Add SW25 footprint
13:40:18: [INFO] Add D25 footprint
13:40:18: [INFO] Add SW26 footprint
13:40:18: [INFO] Add D26 footprint
13:40:18: [INFO] Add SW27 footprint
13:40:18: [INFO] Add D27 footprint
13:40:18: [INFO] Add SW28 footprint
13:40:18: [INFO] Add D28 footprint
13:40:18: [INFO] Add SW29 footprint
13:40:18: [INFO] Add D29 footprint
13:40:18: [INFO] Add SW30 footprint
13:40:18: [INFO] Add D30 footprint
13:40:18: [INFO] Add SW31 footprint
13:40:19: [INFO] Add D31 footprint
13:40:19: [INFO] Add SW32 footprint
13:40:19: [INFO] Add D32 footprint
13:40:19: [INFO] Add SW33 footprint
13:40:19: [INFO] Add D33 footprint
13:40:19: [INFO] Add SW34 footprint
13:40:19: [INFO] Add D34 footprint
13:40:19: [INFO] Add SW35 footprint
13:40:19: [INFO] Add D35 footprint
13:40:19: [INFO] Add SW36 footprint
13:40:19: [INFO] Add D36 footprint
13:40:19: [INFO] Add SW37 footprint
13:40:19: [INFO] Add D37 footprint
13:40:19: [INFO] Add SW38 footprint
13:40:19: [INFO] Add D38 footprint
13:40:19: [INFO] Add SW39 footprint
13:40:19: [INFO] Add D39 footprint
13:40:19: [INFO] Add SW40 footprint
13:40:19: [INFO] Add D40 footprint
13:40:19: [INFO] Add SW41 footprint
13:40:19: [INFO] Add D41 footprint
13:40:19: [INFO] Add SW42 footprint
13:40:19: [INFO] Add D42 footprint
13:40:19: [INFO] Add SW43 footprint
13:40:19: [INFO] Add D43 footprint
13:40:19: [INFO] Add SW44 footprint
13:40:19: [INFO] Add D44 footprint
13:40:19: [INFO] Add SW45 footprint
13:40:19: [INFO] Add D45 footprint
13:40:19: [INFO] Add SW46 footprint
13:40:20: [INFO] Add D46 footprint
13:40:20: [INFO] Add SW47 footprint
13:40:20: [INFO] Add D47 footprint
13:40:20: [INFO] Add SW48 footprint
13:40:20: [INFO] Add D48 footprint
13:40:20: [INFO] Add SW49 footprint
13:40:20: [INFO] Add D49 footprint
13:40:20: [INFO] Add SW50 footprint
13:40:20: [INFO] Add D50 footprint
13:40:20: [INFO] Add SW51 footprint
13:40:20: [INFO] Add D51 footprint
13:40:20: [INFO] Add SW52 footprint
13:40:20: [INFO] Add D52 footprint
13:40:20: [INFO] Add SW53 footprint
13:40:20: [INFO] Add D53 footprint
13:40:20: [INFO] Add SW54 footprint
13:40:20: [INFO] Add D54 footprint
13:40:20: [INFO] Add SW55 footprint
13:40:20: [INFO] Add D55 footprint
13:40:20: [INFO] Add SW56 footprint
13:40:20: [INFO] Add D56 footprint
13:40:20: [INFO] Add SW57 footprint
13:40:20: [INFO] Add D57 footprint
13:40:20: [INFO] Add SW58 footprint
13:40:20: [INFO] Add D58 footprint
13:40:20: [INFO] Add SW59 footprint
13:40:20: [INFO] Add D59 footprint
13:40:20: [INFO] Add SW60 footprint
13:40:20: [INFO] Add D60 footprint
13:40:20: [INFO] Add SW61 footprint
13:40:21: [INFO] Add D61 footprint
13:40:21: [INFO] Add SW62 footprint
13:40:21: [INFO] Add D62 footprint
13:40:21: [INFO] Detected layout convertible to matrix annotated keyboard
13:40:21: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:40:21: [INFO] Layout offset: (38100000, 28575000)
13:40:21: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:40:21: [INFO] Placing additional elements for SW62
13:40:21: [INFO] Placing additional elements for SW61
13:40:21: [INFO] Placing additional elements for SW60
13:40:21: [INFO] Placing additional elements for SW59
13:40:21: [INFO] Placing additional elements for SW58
13:40:21: [INFO] Placing additional elements for SW57
13:40:21: [INFO] Placing additional elements for SW56
13:40:21: [INFO] Placing additional elements for SW55
13:40:21: [INFO] Placing additional elements for SW54
13:40:21: [INFO] Placing additional elements for SW53
13:40:21: [INFO] Placing additional elements for SW52
13:40:21: [INFO] Placing additional elements for SW51
13:40:21: [INFO] Placing additional elements for SW50
13:40:21: [INFO] Placing additional elements for SW49
13:40:21: [INFO] Placing additional elements for SW48
13:40:21: [INFO] Placing additional elements for SW47
13:40:21: [INFO] Placing additional elements for SW46
13:40:21: [INFO] Placing additional elements for SW45
13:40:21: [INFO] Placing additional elements for SW44
13:40:21: [INFO] Placing additional elements for SW43
13:40:21: [INFO] Placing additional elements for SW42
13:40:21: [INFO] Placing additional elements for SW41
13:40:21: [INFO] Placing additional elements for SW40
13:40:21: [INFO] Placing additional elements for SW39
13:40:21: [INFO] Placing additional elements for SW38
13:40:21: [INFO] Placing additional elements for SW37
