=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:39:40: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIE9wLgAgIwDoAMBWANHcBjW2BiAdhNPC3AHd8AmAXwpQwQB0A7d9gZmfLggAe+ZDXqMMKThzY8UfCHnjgCOVWvANsTVtO4T54IfARdUPbIsIBDG7b5Vam8ADZmU9gn1ZB+FEiKYFvjKaupOrjpSnggGlsq2duES7mzR4AC6GABQYIa0SACcRBTUxkhoTp5y3rjBKqF4lbw1Rog05VxOxTE1cQQJNvaliOVd+pk5PvDtABzF2MPIAU40Xvy1SvWhGhSrPeutCO00nRQzzet9pGQlwv4VZ+PZuX0DVkN3NA-YsinasXUGo0KDxItJ-i1fEgACzzDbWAYfaZIL5OX66NhMaqXQENHY-DA0AyHZBoU7YAqEgGba4kfHgSlg9irbEKOpvJEjVEUSmSDEs4lQr63ZHcinJfm8Ca5VrtIpOaFrcCK-bKqmQ4yk8zw5S0oj0hBMIkUQ0XcCmuTSiDQeAAWj8BUC4AAzgBbYIAJwA9gAXAD6AFMcAgYk5MDQUiqUikA6y8vACkgEE63cF6eHI2splzvubPBGMZg460ZkgZin3Upvf6gyGDfmUpgmRj2LGMs9s4mZqsgpsORRU0p01n4yMCghKlV25NwB7hExsB7ZfcKB6bXBTAEKMvhdh17bTLudVswuJjVoMFx7ExodeMGh7JgH1bR+1lib1dhPFeP7ePw+KEwW8X1aUwUBWT9wFWH9sFWP9YPvR9L2nGV8FMXMeBg8AeHg7DEMAqUO1HTcnVeRERRzBVkJfOd4C3RdDj8J013wNAV2wQ5UAofc2KPPogU5UlKhvFDs2QBcHDKXNTWfIjaLgW16NnVoJJY+AnRUpNuPwIhygooSKEVYCiM0zwFjuXNFVkmd5NtU0GOEHtZ3XaEUQ0iztLtY5pM8ADsFcPyXAwXDXCw1wiRA4RJ2C+xikC4pcOKLDigikyoXfL9v3sc5AvOXDziw85UpnTixTzM1KUCylcMpK9IvgEiKDIhJBLc4TqPSIA
13:39:41: [INFO] Add ROW7 net
13:39:41: [INFO] Add ROW8 net
13:39:41: [INFO] Add ROW9 net
13:39:41: [INFO] Add SW1 footprint
13:39:41: [INFO] Add D1 footprint
13:39:41: [INFO] Add SW2 footprint
13:39:41: [INFO] Add D2 footprint
13:39:41: [INFO] Add SW2a footprint
13:39:41: [INFO] Add ST2a footprint
13:39:41: [INFO] Add SW3 footprint
13:39:41: [INFO] Add D3 footprint
13:39:41: [INFO] Add SW4 footprint
13:39:41: [INFO] Add D4 footprint
13:39:41: [INFO] Add SW5 footprint
13:39:41: [INFO] Add D5 footprint
13:39:41: [INFO] Add SW6 footprint
13:39:41: [INFO] Add D6 footprint
13:39:41: [INFO] Add SW7 footprint
13:39:41: [INFO] Add D7 footprint
13:39:41: [INFO] Add SW8 footprint
13:39:41: [INFO] Add D8 footprint
13:39:41: [INFO] Add SW9 footprint
13:39:41: [INFO] Add D9 footprint
13:39:41: [INFO] Add SW10 footprint
13:39:41: [INFO] Add D10 footprint
13:39:42: [INFO] Add SW11 footprint
13:39:42: [INFO] Add D11 footprint
13:39:42: [INFO] Add SW12 footprint
13:39:42: [INFO] Add D12 footprint
13:39:42: [INFO] Add SW13 footprint
13:39:42: [INFO] Add D13 footprint
13:39:42: [INFO] Add SW14 footprint
13:39:42: [INFO] Add D14 footprint
13:39:42: [INFO] Add SW15 footprint
13:39:42: [INFO] Add D15 footprint
13:39:42: [INFO] Add SW16 footprint
13:39:42: [INFO] Add D16 footprint
13:39:42: [INFO] Add SW17 footprint
13:39:42: [INFO] Add D17 footprint
13:39:42: [INFO] Add SW18 footprint
13:39:42: [INFO] Add D18 footprint
13:39:42: [INFO] Add SW19 footprint
13:39:42: [INFO] Add D19 footprint
13:39:42: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:39:42: [INFO] Add ST19 footprint
13:39:42: [INFO] Add SW19a footprint
13:39:42: [INFO] Add SW20 footprint
13:39:42: [INFO] Add D20 footprint
13:39:42: [INFO] Add SW21 footprint
13:39:42: [INFO] Add D21 footprint
13:39:42: [INFO] Add SW22 footprint
13:39:42: [INFO] Add D22 footprint
13:39:42: [INFO] Add SW23 footprint
13:39:42: [INFO] Add D23 footprint
13:39:42: [INFO] Add SW24 footprint
13:39:42: [INFO] Add D24 footprint
13:39:42: [INFO] Add SW25 footprint
13:39:42: [INFO] Add D25 footprint
13:39:42: [INFO] Add SW26 footprint
13:39:42: [INFO] Add D26 footprint
13:39:42: [INFO] Add SW27 footprint
13:39:43: [INFO] Add D27 footprint
13:39:43: [INFO] Add SW28 footprint
13:39:43: [INFO] Add D28 footprint
13:39:43: [INFO] Add SW29 footprint
13:39:43: [INFO] Add D29 footprint
13:39:43: [INFO] Add SW30 footprint
13:39:43: [INFO] Add D30 footprint
13:39:43: [INFO] Add SW31 footprint
13:39:43: [INFO] Add D31 footprint
13:39:43: [INFO] Add SW32 footprint
13:39:43: [INFO] Add D32 footprint
13:39:43: [INFO] Add SW33 footprint
13:39:43: [INFO] Add D33 footprint
13:39:43: [INFO] Add SW33a footprint
13:39:43: [INFO] Add SW34 footprint
13:39:43: [INFO] Add D34 footprint
13:39:43: [INFO] Add SW35 footprint
13:39:43: [INFO] Add D35 footprint
13:39:43: [INFO] Add SW36 footprint
13:39:43: [INFO] Add D36 footprint
13:39:43: [INFO] Add SW37 footprint
13:39:43: [INFO] Add D37 footprint
13:39:43: [INFO] Add SW38 footprint
13:39:43: [INFO] Add D38 footprint
13:39:43: [INFO] Add ST38 footprint
13:39:43: [INFO] Add SW38a footprint
13:39:43: [INFO] Add SW39 footprint
13:39:43: [INFO] Add D39 footprint
13:39:43: [INFO] Add SW40 footprint
13:39:43: [INFO] Add D40 footprint
13:39:43: [INFO] Add SW41 footprint
13:39:43: [INFO] Add D41 footprint
13:39:43: [INFO] Add SW42 footprint
13:39:43: [INFO] Add D42 footprint
13:39:43: [INFO] Add SW43 footprint
13:39:43: [INFO] Add D43 footprint
13:39:44: [INFO] Add SW44 footprint
13:39:44: [INFO] Add D44 footprint
13:39:44: [INFO] Add SW45 footprint
13:39:44: [INFO] Add D45 footprint
13:39:44: [INFO] Add SW46 footprint
13:39:44: [INFO] Add D46 footprint
13:39:44: [INFO] Add SW47 footprint
13:39:44: [INFO] Add D47 footprint
13:39:44: [INFO] Add SW48 footprint
13:39:44: [INFO] Add D48 footprint
13:39:44: [INFO] Add SW49 footprint
13:39:44: [INFO] Add D49 footprint
13:39:44: [INFO] Add SW50 footprint
13:39:44: [INFO] Add D50 footprint
13:39:44: [INFO] Add SW51 footprint
13:39:44: [INFO] Add D51 footprint
13:39:44: [INFO] Add SW52 footprint
13:39:44: [INFO] Add D52 footprint
13:39:44: [INFO] Add SW53 footprint
13:39:44: [INFO] Add D53 footprint
13:39:44: [INFO] Add SW54 footprint
13:39:44: [INFO] Add D54 footprint
13:39:44: [INFO] Add SW55 footprint
13:39:44: [INFO] Add D55 footprint
13:39:44: [INFO] Add SW55a footprint
13:39:44: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:39:44: [INFO] Add ST55a footprint
