=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:46: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwBo7gJ6zgBgHQCYVwAHTcAYQAkBJMgaQBkBRAFXEIDNMAODgQ02ABGALoBfQliQI2cCNHgB2cagCsU8MKQAoMFEyDJqDPAC0uAJwrl4NQBYN23fLgEjmMznPXJeGXP3eSPYo-orWar6aOhDGcB5caqgAxqQAxLwZmTLgnPDmfAIigVh+4Cnw4KlJ1TXZuXA8qOz88EJiEkiCpc4IgSrdmL2Eav0hevBDqp2l5ajpmRl1mABsBa1Fw0glUU6DhLEeyMlpNbUc3GtwbdaC6mPOSoSr0juhcAb77hZWT0EO0eMXJ9TBYbkhfPcAoRbsFZIDHqhVpFHDEvjgEoRZpUFoswSUxliqqcUmCupCJmDRnCetZVlS3pNwKsyXDCTj+Od4Ksmi0rhtEVt-rsJsC4rgjmUTsSlvBGjleddCARpOS4AjwAp1K9Aa50GiEtYCBDqfpCAA7TAAFwATgBXACmhr+qsS4At8BtDusmthb0E3vBQtRIPRrrZOJlcG58sK7VQBHxrKlp0jcuasadLIZTvpgMZmtzNMImqzkoq8wWkej6fWcY1gu1PVFh0xybOTQuPIzhGQKpNYUIPBeKMBy3wroO30IAGcALaka0Ae0tAH17UlBCyY+sUIY97uD9hD4Z+eBbEgVAAdM3X283+936-2xNvXA-VD5K8P7+P+-2rqNpguqTp4M7zhUdQKqeyDGn61jIL6gLvuAPCIc4-qDoG2ogRixzluykaujWfJ1sgL5lnMxIpJyDSXIqqDIKWRYMReAwUphhaDNYPCluGlY0URUF1jw2wjs4eA4AoE5ooIRGYPkXa1tY55buesFITgyH5MiALoZJ0khgahDnqJALWs4uB4K66GCDghh6vAtg4AgWnTNq5mYG+hA2fpopOa5pm6Na+iuh58ChbE-mtuWCixXF4DKVqI7BRM9lhVG47eZ5OC3G4IZWdFcwEYQAAW+iaYl9jue4CBpc4XC+agzgmLZuUOWKmUdrKdEiKV5WuVVyXuLJhDpR8TXDYVlRxfFNEKduJHWPkLzCEAA
13:35:47: [INFO] Add D8 footprint
13:35:47: [INFO] Add SW9 footprint
13:35:47: [INFO] Add D9 footprint
13:35:47: [INFO] Add SW10 footprint
13:35:47: [INFO] Add D10 footprint
13:35:47: [INFO] Add SW11 footprint
13:35:47: [INFO] Add D11 footprint
13:35:47: [INFO] Add SW12 footprint
13:35:47: [INFO] Add D12 footprint
13:35:47: [INFO] Add SW13 footprint
13:35:47: [INFO] Add D13 footprint
13:35:47: [INFO] Add SW14 footprint
13:35:47: [INFO] Add D14 footprint
13:35:47: [INFO] Add SW15 footprint
13:35:47: [INFO] Add D15 footprint
13:35:47: [INFO] Add SW16 footprint
13:35:47: [INFO] Add D16 footprint
13:35:47: [INFO] Add SW17 footprint
13:35:47: [INFO] Add D17 footprint
13:35:47: [INFO] Add SW18 footprint
13:35:47: [INFO] Add D18 footprint
13:35:47: [INFO] Add SW19 footprint
13:35:47: [INFO] Add D19 footprint
13:35:47: [INFO] Add SW20 footprint
13:35:47: [INFO] Add D20 footprint
13:35:47: [INFO] Add SW21 footprint
13:35:47: [INFO] Add D21 footprint
13:35:47: [INFO] Add SW22 footprint
13:35:47: [INFO] Add D22 footprint
13:35:47: [INFO] Add SW23 footprint
13:35:47: [INFO] Add D23 footprint
13:35:48: [INFO] Add SW24 footprint
13:35:48: [INFO] Add D24 footprint
13:35:48: [INFO] Add SW25 footprint
13:35:48: [INFO] Add D25 footprint
13:35:48: [INFO] Add SW26 footprint
13:35:48: [INFO] Add D26 footprint
13:35:48: [INFO] Add SW27 footprint
13:35:48: [INFO] Add D27 footprint
13:35:48: [INFO] Add SW28 footprint
13:35:48: [INFO] Add D28 footprint
13:35:48: [INFO] Add SW29 footprint
13:35:48: [INFO] Add D29 footprint
13:35:48: [INFO] Add SW30 footprint
13:35:48: [INFO] Add D30 footprint
13:35:48: [INFO] Add SW31 footprint
13:35:48: [INFO] Add D31 footprint
13:35:48: [INFO] Add SW32 footprint
13:35:48: [INFO] Add D32 footprint
13:35:48: [INFO] Add SW33 footprint
13:35:48: [INFO] Add D33 footprint
