=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:27:52: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwHYB0CCsAaO4DGscBiAQ1LPAF9twAGTBAZgB0A7V1uhcagJnubaDO4ALqYAUGCgEMaLDgCeBGij4588cIVw7dlapy5jJEaPBVJ54JfAC0KgJxWNRJG-f6cdGtzinlKEjULlq6elRe9L60mDy+-vAICIERMQhx2BAhJGSk0QDuBDypnALsLN6iElJmiFY2cPYoNM4EoWH4qQj0RtUJcCr1BE1OXZg+mdLmga2aObkFMijoY1yT2R2d1N0ZflOIyTwr2-S74N2M8Xht8+TUhYnLqQAs9D7GNQFHwTebnuB8CZ7WoqAAcPzmuTy9yWllSfDWew2HX+fF2-QQKgAbPCetEEejrnN3B4YfAeKpjjhXkkqiYiUQ-qkGOMriCUOD1DcocRFuTKcyoutfijBYTapjmlTwCzadRZYTsjy+XAKUdBYxyqwWUCMXIyYgBfL+FqWLKrsiwv8aTxTeaPnrOQytMqDclpTS2TJnlK3U9qDSGHSpAAnGR0HC1H1Ohq2LHNCGM0UGTBBlPPaJ0dCZzBY6KvPMO-boFAMaXdNM4boZk7Zk6FvrFlA43ip-GYGs4Ph1ru54P9eMtQWVmUd6Isnujhv02rx7pcyFQlXul6xC0iq0Ghir56m7rvRu1VBYg3FAMdvdCpHcper9CX3r0sN2THUCUqZ5DOwUk8LpNWkpMCQHNQRzBwc0xft9klIcTmAk5QJOcCTkgot31UXF4N7RDe2Q3tUMPAgHBmQUsNHHDRzw0cCJnIjKS3VdQVNQF10XBY-Q9TBwLQuj1XPJBmKvLINz0U9GMEowRCAA
13:27:53: [INFO] Add SW5 footprint
13:27:53: [INFO] Add D5 footprint
13:27:53: [INFO] Add SW6 footprint
13:27:53: [INFO] Add D6 footprint
13:27:53: [INFO] Add SW7 footprint
13:27:53: [INFO] Add D7 footprint
13:27:53: [INFO] Add SW8 footprint
13:27:53: [INFO] Add D8 footprint
13:27:53: [INFO] Add SW9 footprint
13:27:53: [INFO] Add D9 footprint
13:27:53: [INFO] Add SW10 footprint
13:27:53: [INFO] Add D10 footprint
13:27:53: [INFO] Add SW11 footprint
13:27:53: [INFO] Add D11 footprint
13:27:53: [INFO] Add SW12 footprint
13:27:53: [INFO] Add D12 footprint
13:27:53: [INFO] Add SW13 footprint
13:27:53: [INFO] Add D13 footprint
13:27:53: [INFO] Add SW14 footprint
13:27:53: [INFO] Add D14 footprint
13:27:53: [INFO] Add ST14 footprint
13:27:53: [INFO] Add SW14a footprint
13:27:53: [INFO] Add SW15 footprint
13:27:53: [INFO] Add D15 footprint
13:27:53: [INFO] Add SW16 footprint
13:27:54: [INFO] Add D16 footprint
13:27:54: [INFO] Add SW17 footprint
13:27:54: [INFO] Add D17 footprint
13:27:54: [INFO] Add SW18 footprint
13:27:54: [INFO] Add D18 footprint
13:27:54: [INFO] Add SW19 footprint
13:27:54: [INFO] Add D19 footprint
13:27:54: [INFO] Add SW20 footprint
13:27:54: [INFO] Add D20 footprint
13:27:54: [INFO] Add SW21 footprint
13:27:54: [INFO] Add D21 footprint
13:27:54: [INFO] Add SW22 footprint
13:27:54: [INFO] Add D22 footprint
13:27:54: [INFO] Add SW23 footprint
13:27:54: [INFO] Add D23 footprint
13:27:54: [INFO] Add SW24 footprint
