=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:30:02: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreANAgLrBAGcAXy3Hw3wB0A7AUQGUBhTOCADzwEZTp4lIBg4qXIAmFmQwBmCeQAssjAFYW7PPgB0SkgQwA2RckUAORQE5V4DvE3aRGToXudOizuOcysam1tIBnAFs8cAAnAHtsAH0AU0gXYV1OJRpU6jSM9OoYwgBdDAAoMHAAT3UNfCUA4L5E8G4nBG5XUm4PJukJbgVW5S79fqNe016LXsd+hPH2iF4ERABDJeWJAHc8UQ1ROw7OL1YrcuQd+ocFfKKIMt9K0nX4Tg1jnXBRCks5-kEBOreWhDe7VenVIbx6AL6oIGUKGEJGELGEImUKmSJm4HucEeJz++x8cE0xx4IUWyyWvzO4AuxWuBIqVQQmNELyk728UBJ3x+LIcElZQNZ+3ArPBwshCFZBlIrNhYvhYsRYuREoc-1mJLQ6DuGy2J1Ze0s1jpRIQn1JZLq+vOhRp5VujJ1JzkbIOZq50BezqBzqFztFzpUpGdUoQztlzvlzsVzuV4Bjao5fHNK21DyeToc6KNtmJSc1qDqMbxh1821z8zJ5M9lOpVztDIxXC0LyqjQgmMe2xbvPZHd13fRbq5azwem7IfVScrCzqVUVVWV7abXdIC4T2d15aQ+aM3fchvKK4QC+LG6P4AX51yQA
13:30:03: [INFO] Add ROW2 net
13:30:03: [INFO] Add ROW3 net
13:30:03: [INFO] Add ROW4 net
13:30:03: [INFO] Add ROW5 net
13:30:03: [INFO] Add SW1 footprint
13:30:03: [INFO] Add D1 footprint
13:30:03: [INFO] Add SW2 footprint
13:30:03: [INFO] Add D2 footprint
13:30:03: [INFO] Add SW3 footprint
13:30:03: [INFO] Add D3 footprint
13:30:03: [INFO] Add SW4 footprint
13:30:03: [INFO] Add D4 footprint
13:30:03: [INFO] Add SW5 footprint
13:30:03: [INFO] Add D5 footprint
13:30:03: [INFO] Add SW6 footprint
13:30:03: [INFO] Add D6 footprint
13:30:03: [INFO] Add SW7 footprint
13:30:03: [INFO] Add D7 footprint
13:30:03: [INFO] Add SW8 footprint
13:30:04: [INFO] Add D8 footprint
13:30:04: [INFO] Add SW9 footprint
13:30:04: [INFO] Add D9 footprint
13:30:04: [INFO] Add SW10 footprint
13:30:04: [INFO] Add D10 footprint
13:30:04: [INFO] Add SW11 footprint
13:30:04: [INFO] Add D11 footprint
13:30:04: [INFO] Add SW12 footprint
13:30:04: [INFO] Add D12 footprint
13:30:04: [INFO] Add SW13 footprint
13:30:04: [INFO] Add D13 footprint
13:30:04: [INFO] Add SW14 footprint
13:30:04: [INFO] Add D14 footprint
13:30:04: [INFO] Add SW15 footprint
13:30:04: [INFO] Add D15 footprint
13:30:04: [INFO] Add SW16 footprint
13:30:04: [INFO] Add D16 footprint
13:30:04: [INFO] Add SW17 footprint
13:30:04: [INFO] Add D17 footprint
13:30:04: [INFO] Add SW18 footprint
13:30:04: [INFO] Add D18 footprint
13:30:04: [INFO] Add SW19 footprint
13:30:04: [INFO] Add D19 footprint
13:30:04: [INFO] Add SW20 footprint
13:30:04: [INFO] Add D20 footprint
13:30:04: [INFO] Add SW21 footprint
13:30:04: [INFO] Add D21 footprint
13:30:04: [INFO] Add SW22 footprint
13:30:04: [INFO] Add D22 footprint
13:30:04: [INFO] Add SW23 footprint
13:30:04: [INFO] Add D23 footprint
13:30:04: [INFO] Add SW24 footprint
13:30:04: [INFO] Add D24 footprint
13:30:04: [INFO] Add SW25 footprint
13:30:04: [INFO] Add D25 footprint
13:30:04: [INFO] Add SW26 footprint
13:30:04: [INFO] Add D26 footprint
13:30:04: [INFO] Add SW27 footprint
13:30:05: [INFO] Add D27 footprint
13:30:05: [INFO] Add SW28 footprint
13:30:05: [INFO] Add D28 footprint
13:30:05: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:30:05: [INFO] Add ST28 footprint
13:30:05: [INFO] Add SW29 footprint
13:30:05: [INFO] Add D29 footprint
13:30:05: [INFO] Add SW30 footprint
13:30:05: [INFO] Add D30 footprint
13:30:05: [INFO] Add SW31 footprint
13:30:05: [INFO] Add D31 footprint
13:30:05: [INFO] Add SW32 footprint
13:30:05: [INFO] Add D32 footprint
13:30:05: [INFO] Add SW33 footprint
13:30:05: [INFO] Add D33 footprint
13:30:05: [INFO] Add SW34 footprint
13:30:05: [INFO] Add D34 footprint
13:30:05: [INFO] Add SW35 footprint
13:30:05: [INFO] Add D35 footprint
13:30:05: [INFO] Add SW36 footprint
13:30:05: [INFO] Add D36 footprint
13:30:05: [INFO] Add SW37 footprint
13:30:05: [INFO] Add D37 footprint
13:30:05: [INFO] Add SW38 footprint
13:30:05: [INFO] Add D38 footprint
13:30:05: [INFO] Add SW39 footprint
13:30:05: [INFO] Add D39 footprint
13:30:05: [INFO] Add SW40 footprint
13:30:05: [INFO] Add D40 footprint
13:30:05: [INFO] Add SW41 footprint
13:30:05: [INFO] Add D41 footprint
