=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:55: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDYB0SCsAaO4DGscBiAQ1LPAF9twsEAmAHQDtnmAGTBca2gZlZZMOXALqYAUGCgFeKAOzUAngTYo61fPHCFcuvZWoc63OBGjwAnCgvoqOWm3BjJZggnlKCAWlU274DkdDThNXeAR3Px5OLmwITSIycmoAdwI6f1pGQXZMINM8Am09fX8ADk4AFicJKXNESpQsHGV4HxQ2W2okTkdnOrcmzzbfZsKtEiTiE3A08Kb-BDzQ8aIS3QMcJdiC+oiF7piZnvoVhO0p6dTBrpwT3jOinXXN8BPq-rCG638FBHzwH8dvEnpcZnM4HQ1LdAZxjHFVsUXr8qit6l4EGUUGUxudJklwYM5DD1PkQRN1vh-OpRLUvu5OhpQVNCfAoXQYbxlgi8ZTXlzgdJwqpeOVejMKhFHhMwdd5sSxaceU85Kq1a9JQ9lRTkdQLKjPkLEB1ccyCXLjTDKtycNbBXt3OgxhDHf59f80Sp5KaJmr1W6jnq4TN3Q9DQAnAiNa04eqNNjqFredwIfU4PGynAug62zDGCNuDixgjoE3DOBeUvoHrpp58-wcLU4DjVYLoGbW9uGuNoRZ5mZLJvgJatraYLt0o2NHHU-vUdRD9Sj8DqCcuI2l0XULnwnBcodc5dctcDeCoJa131+uSsyHe-zWyoCZhLPqT+rni3uBXUa38HJMNs0prLquZPgBQEFm0-zUPUVg2OWXhQhYmSYEgMxYDe0RlBhmAWDU65wU0MI9OhhxYXcmA4Yc+HdgQVhyCiZE4AoFGwtRLF4QRp5wFYHJisx4AVGxFQcUJXF0ZYTJXn6t7sjC+pyM+TCksBFwsl+ObgPqOGSbx0kgSUrz6kgyk0mphDXmx2b8UGSkAeZUEVlCYx7LIFRJm0sgKJeiQsgGtEiEAA
13:32:56: [INFO] Add ROW0 net
13:32:56: [INFO] Add ROW1 net
13:32:56: [INFO] Add ROW2 net
13:32:56: [INFO] Add ROW3 net
13:32:56: [INFO] Add ROW4 net
13:32:56: [INFO] Add ROW5 net
13:32:56: [INFO] Add ROW6 net
13:32:56: [INFO] Add ROW7 net
13:32:56: [INFO] Add ROW8 net
13:32:56: [INFO] Add ROW9 net
13:32:56: [INFO] Add SW1 footprint
13:32:56: [INFO] Add D1 footprint
13:32:56: [INFO] Add SW2 footprint
13:32:56: [INFO] Add D2 footprint
13:32:56: [INFO] Add SW3 footprint
13:32:56: [INFO] Add D3 footprint
13:32:56: [INFO] Add SW4 footprint
13:32:56: [INFO] Add D4 footprint
13:32:56: [INFO] Add SW5 footprint
13:32:56: [INFO] Add D5 footprint
13:32:56: [INFO] Add SW6 footprint
13:32:56: [INFO] Add D6 footprint
13:32:56: [INFO] Add SW7 footprint
13:32:56: [INFO] Add D7 footprint
13:32:56: [INFO] Add SW8 footprint
13:32:56: [INFO] Add D8 footprint
13:32:56: [INFO] Add SW9 footprint
13:32:56: [INFO] Add D9 footprint
13:32:56: [INFO] Add SW10 footprint
13:32:56: [INFO] Add D10 footprint
13:32:56: [INFO] Add SW11 footprint
13:32:57: [INFO] Add D11 footprint
13:32:57: [INFO] Add SW12 footprint
13:32:57: [INFO] Add D12 footprint
13:32:57: [INFO] Add SW13 footprint
13:32:57: [INFO] Add D13 footprint
13:32:57: [INFO] Add SW14 footprint
13:32:57: [INFO] Add D14 footprint
13:32:57: [INFO] Add SW15 footprint
13:32:57: [INFO] Add D15 footprint
13:32:57: [INFO] Add SW16 footprint
13:32:57: [INFO] Add D16 footprint
13:32:57: [INFO] Add SW17 footprint
13:32:57: [INFO] Add D17 footprint
13:32:57: [INFO] Add SW18 footprint
13:32:57: [INFO] Add D18 footprint
