=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:40: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwAYC+AaO4loIwGYAdAO2OOx3Ay1wBZSSjzwBdNAKDCljgHYqBPbkgB0AVioBjbuADEPeQvDpM2JJTgQp8WRN16lVJobQJ11PGew1LaUTYBsNnjYAcNgJw2ca4zgq-TDE1pGQBDcIizAHduBGVqfHoyNB8VXDtWDghoeD5MGPgcMXicFPVg7Rk9fRKTM1KLKlLrJtt6tEdW51a3Vs9W73a-IcDMUvxy8C1MMIjw6O4i0VqcOgZiUtTwcbsgrkKxSRCFRSoCuCKEcUwAC1iz0wPr8BvHi6pIN4BaESv4hFoSSI4xY7E4OV4R0qc3mZ0Wwh4yyoANSFRm1V0BkwANG4ABjWxaBahN2hM6hO6hN6hP6hMGyNw-jpozRshO8gW8AQwj+DNWQM2k2mshhoSxePSkwhImewqqGPF4zW9BBmXB3BoUJmos5Fx5SMweBSQIBTNZ8uq4qNOBNuClQgRspCOrhXP18SNSFtqKmIQxUg9dSoRoJ4CNxLDbWDHTMRspkepkdpkfphsZQudMN1RURgYm0dWsclauy3Dy4HOlwN4E1XvWRE9Gcq-uz7qompt9cbezlLvy8N5mE1hC7ZR7foVrrg9jbQ46QO7Gl90KzU6W8Q7dfoi4gleK7dwCAXY7n+dPEY7GTBpdyAgdVzX+7nW4Y1sme+rHePZuX6Mn-dyDd51HH9e1XAC9U-XAX2IN89g-ICcCPEDQSyfZIUwQR4F+Z490HGtjVHFlfx0f8KwHKDO23IMlzAuZW3w4dj2IuUWynGdGOA6iWMzejH047xmPfCjEKo186hLdDyywuAcMfKCYIbNACXNFtEOPFSSNmPiIPXA8R2ozTWLI84eCA+wNKbbVwPIp5RMsySIWk+9cPhBTj2JG89WwXSnwI5DqM8rS2IgsyDws0cgroyJ5PsyLUPVXJDkwlytVIy0gMUo1SXNPtbMg9TRxy4KTLLczj2K6LYV8yisqjU8xNgtpmGYIA
13:33:41: [INFO] Add ROW1 net
13:33:41: [INFO] Add ROW2 net
13:33:41: [INFO] Add ROW3 net
13:33:41: [INFO] Add ROW4 net
13:33:41: [INFO] Add SW1 footprint
13:33:41: [INFO] Add D1 footprint
13:33:41: [INFO] Add SW2 footprint
13:33:41: [INFO] Add D2 footprint
13:33:41: [INFO] Add SW3 footprint
13:33:41: [INFO] Add D3 footprint
13:33:41: [INFO] Add SW4 footprint
13:33:42: [INFO] Add D4 footprint
13:33:42: [INFO] Add SW5 footprint
13:33:42: [INFO] Add D5 footprint
13:33:42: [INFO] Add SW6 footprint
13:33:42: [INFO] Add D6 footprint
13:33:42: [INFO] Add SW7 footprint
13:33:42: [INFO] Add D7 footprint
13:33:42: [INFO] Add SW8 footprint
13:33:42: [INFO] Add D8 footprint
13:33:42: [INFO] Add SW9 footprint
13:33:42: [INFO] Add D9 footprint
13:33:42: [INFO] Add SW10 footprint
13:33:42: [INFO] Add D10 footprint
13:33:42: [INFO] Add SW11 footprint
13:33:42: [INFO] Add D11 footprint
13:33:42: [INFO] Add SW12 footprint
13:33:42: [INFO] Add D12 footprint
13:33:42: [INFO] Add SW13 footprint
13:33:42: [INFO] Add D13 footprint
13:33:42: [INFO] Add SW14 footprint
13:33:42: [INFO] Add D14 footprint
13:33:42: [INFO] Add ST14 footprint
13:33:42: [INFO] Add SW14a footprint
13:33:42: [INFO] Add SW15 footprint
13:33:42: [INFO] Add D15 footprint
13:33:42: [INFO] Add SW16 footprint
13:33:42: [INFO] Add D16 footprint
13:33:42: [INFO] Add SW17 footprint
13:33:42: [INFO] Add D17 footprint
13:33:42: [INFO] Add SW18 footprint
13:33:42: [INFO] Add D18 footprint
13:33:42: [INFO] Add SW19 footprint
13:33:43: [INFO] Add D19 footprint
13:33:43: [INFO] Add SW20 footprint
13:33:43: [INFO] Add D20 footprint
13:33:43: [INFO] Add SW21 footprint
13:33:43: [INFO] Add D21 footprint
13:33:43: [INFO] Add SW22 footprint
