=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
14:24:12: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoAsBWANHcBPWikBGTbAY33AGIB2Wu8AXy3AQwXCwmnkIDYkATCXDl4VAIaSpjZq2LgAuhgBQYKPkJJqwvPAC0yABzDR2SqQuWO2AGYam2OdZYYB1rvgCcSXmgcvCN1kMQgBmdxEKSilpZgB3fAF-ORRFFTVuAlDmXTgDImE7eFD-QjYIzL4kND9mMvklVQ8eapz8fONmIrgy7ASW2ux6iNMqSytS1wqvAsnCQmd6oKGQ8M5IsWiY8Wdu7L6NarnUxoz8ZGI2-QvB8AFy9cr+Y397hvTmntQrvKNCjXih20rxCIyi4wsMmw92Wn28KBB82cb1hGzMdHogPgAkEtze4VOn00QmYoy2MWc-TgOKE-myC3WZIh5DpU0e+EMWlu9IZ2HpqLJ2x2WK+wOY9LWcAgZIxtCh4HpJw+6haJLIUSFlMOtOYKAeUvAVOJtz1vKJmlYtnw+0N2pNIQFUVl1F29l1q2cptS7veTXAACcvMx-ZkUK1sP7cjjPMxMnoLT89DjeKTwRD5axJS5vY4MGhnKxeAWMC7CSrfj5JlmyjnwGV83UMEWy3HkDroRgs-da-cGx3m8rMm3uZ3nNla9k+wqm2k-UPw2iJNstQN-HrHZtmSvqbi16Oy4H9DGI5VhJHrQu42hcYnQqhbqxDMXPMXCOxgkiW+1r75Ji7G0+jYvo2b6zmc+jXugIL-h2gEdsBHagV+EFIC84olmOGBwdOCHTkhg7fqhwhUjiYrYKa74GoKy4ipo9qfgoQA
14:24:13: [INFO] Add D2 footprint
14:24:13: [INFO] Add SW3 footprint
14:24:13: [INFO] Add D3 footprint
14:24:13: [INFO] Add SW4 footprint
14:24:13: [INFO] Add D4 footprint
14:24:13: [INFO] Add SW5 footprint
14:24:13: [INFO] Add D5 footprint
14:24:13: [INFO] Add SW6 footprint
14:24:13: [INFO] Add D6 footprint
14:24:13: [INFO] Add SW7 footprint
14:24:13: [INFO] Add D7 footprint
14:24:13: [INFO] Add SW8 footprint
14:24:13: [INFO] Add D8 footprint
14:24:13: [INFO] Add SW9 footprint
14:24:13: [INFO] Add D9 footprint
14:24:13: [INFO] Add SW10 footprint
14:24:13: [INFO] Add D10 footprint
14:24:13: [INFO] Add SW11 footprint
14:24:13: [INFO] Add D11 footprint
14:24:13: [INFO] Add SW12 footprint
14:24:13: [INFO] Add D12 footprint
14:24:13: [INFO] Add SW13 footprint
14:24:13: [INFO] Add D13 footprint
14:24:13: [INFO] Add SW14 footprint
14:24:13: [INFO] Add D14 footprint
14:24:13: [INFO] Add SW15 footprint
14:24:13: [INFO] Add D15 footprint
14:24:13: [INFO] Add ST15 footprint
14:24:13: [INFO] Add SW16 footprint
14:24:13: [INFO] Add D16 footprint
14:24:14: [INFO] Add SW17 footprint
14:24:14: [INFO] Add D17 footprint
14:24:14: [INFO] Add SW18 footprint
14:24:14: [INFO] Add D18 footprint
14:24:14: [INFO] Add SW19 footprint
14:24:14: [INFO] Add D19 footprint
14:24:14: [INFO] Add SW20 footprint
14:24:14: [INFO] Add D20 footprint
14:24:14: [INFO] Add SW21 footprint
14:24:14: [INFO] Add D21 footprint
14:24:14: [INFO] Add SW22 footprint
14:24:14: [INFO] Add D22 footprint
14:24:14: [INFO] Add SW23 footprint
14:24:14: [INFO] Add D23 footprint
14:24:14: [INFO] Add SW24 footprint
14:24:14: [INFO] Add D24 footprint
14:24:14: [INFO] Add SW25 footprint
14:24:14: [INFO] Add D25 footprint
14:24:14: [INFO] Add SW26 footprint
14:24:14: [INFO] Add D26 footprint
14:24:14: [INFO] Add SW27 footprint
14:24:14: [INFO] Add D27 footprint
14:24:14: [INFO] Add SW28 footprint
14:24:14: [INFO] Add D28 footprint
14:24:14: [INFO] Add SW29 footprint
14:24:14: [INFO] Add D29 footprint
14:24:14: [INFO] Add SW30 footprint
14:24:14: [INFO] Add D30 footprint
14:24:14: [INFO] Add SW31 footprint
14:24:14: [INFO] Add D31 footprint
14:24:14: [INFO] Add SW32 footprint
14:24:14: [INFO] Add D32 footprint
14:24:14: [INFO] Add SW33 footprint
14:24:14: [INFO] Add D33 footprint
14:24:14: [INFO] Add SW34 footprint
14:24:14: [INFO] Add D34 footprint
14:24:14: [INFO] Add SW35 footprint
14:24:14: [INFO] Add D35 footprint
14:24:14: [INFO] Add SW36 footprint
14:24:14: [INFO] Add D36 footprint
14:24:15: [INFO] Add SW37 footprint
14:24:15: [INFO] Add D37 footprint
14:24:15: [INFO] Add SW38 footprint
14:24:15: [INFO] Add D38 footprint
14:24:15: [INFO] Add SW39 footprint
14:24:15: [INFO] Add D39 footprint
14:24:15: [INFO] Add SW40 footprint
14:24:15: [INFO] Add D40 footprint
14:24:15: [INFO] Add SW41 footprint
14:24:15: [INFO] Add D41 footprint
14:24:15: [INFO] Add SW42 footprint
14:24:15: [INFO] Add D42 footprint
14:24:15: [INFO] Add SW43 footprint
14:24:15: [INFO] Add D43 footprint
14:24:15: [INFO] Add SW44 footprint
14:24:15: [INFO] Add D44 footprint
14:24:15: [INFO] Add SW45 footprint
14:24:15: [INFO] Add D45 footprint
14:24:15: [INFO] Add SW46 footprint
14:24:15: [INFO] Add D46 footprint
14:24:15: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
14:24:15: [INFO] Add ST46 footprint
14:24:15: [INFO] Add SW47 footprint
14:24:15: [INFO] Add D47 footprint
14:24:15: [INFO] Add SW48 footprint
14:24:15: [INFO] Add D48 footprint
14:24:15: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
14:24:15: [INFO] Add ST48 footprint
14:24:15: [INFO] Add SW49 footprint
14:24:15: [INFO] Add D49 footprint
14:24:15: [INFO] Add SW50 footprint
14:24:15: [INFO] Add D50 footprint
14:24:15: [INFO] Add SW51 footprint
14:24:15: [INFO] Add D51 footprint
14:24:15: [INFO] Add SW52 footprint
14:24:15: [INFO] Add D52 footprint
14:24:15: [INFO] Add SW53 footprint
14:24:15: [INFO] Add D53 footprint
14:24:15: [INFO] Add SW54 footprint
14:24:15: [INFO] Add D54 footprint
14:24:15: [INFO] Add SW55 footprint
14:24:15: [INFO] Add D55 footprint
14:24:16: [INFO] Add SW56 footprint
14:24:16: [INFO] Add D56 footprint
14:24:16: [INFO] Add SW57 footprint
14:24:16: [INFO] Add D57 footprint
14:24:16: [INFO] Add SW58 footprint
14:24:16: [INFO] Add D58 footprint
14:24:16: [INFO] Add SW59 footprint
14:24:16: [INFO] Add D59 footprint
14:24:16: [INFO] Add SW60 footprint
14:24:16: [INFO] Add D60 footprint
14:24:16: [INFO] Add SW61 footprint
14:24:16: [INFO] Add D61 footprint
14:24:16: [INFO] Add SW62 footprint
14:24:16: [INFO] Add D62 footprint
14:24:16: [INFO] Add SW63 footprint
14:24:16: [INFO] Add D63 footprint
14:24:16: [INFO] Add SW64 footprint
14:24:16: [INFO] Add D64 footprint
14:24:16: [INFO] Add SW65 footprint
14:24:16: [INFO] Add D65 footprint
14:24:16: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
14:24:16: [INFO] Add ST65 footprint
14:24:16: [INFO] Add SW66 footprint
14:24:16: [INFO] Add D66 footprint
14:24:16: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
14:24:16: [INFO] Add ST66 footprint
14:24:16: [INFO] Add SW67 footprint
14:24:16: [INFO] Add D67 footprint
14:24:16: [INFO] Add SW68 footprint
14:24:16: [INFO] Add D68 footprint
14:24:16: [INFO] Add SW69 footprint
14:24:16: [INFO] Add D69 footprint
14:24:16: [INFO] Add SW70 footprint
14:24:16: [INFO] Add D70 footprint
14:24:16: [INFO] Add SW71 footprint
14:24:16: [INFO] Add D71 footprint
14:24:16: [INFO] Detected layout convertible to matrix annotated keyboard
14:24:16: [INFO] Using key 1U distance: (19.05, 19.05) mm
14:24:16: [INFO] Layout offset: (20002500, 25717500)
14:24:16: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
14:24:16: [INFO] Placing additional elements for SW71
14:24:16: [INFO] Placing additional elements for SW70
14:24:16: [INFO] Placing additional elements for SW69
14:24:16: [INFO] Placing additional elements for SW68
14:24:16: [INFO] Placing additional elements for SW67
14:24:16: [INFO] Placing additional elements for SW66
14:24:16: [INFO] Placing additional elements for SW65
14:24:16: [INFO] Placing additional elements for SW64
14:24:16: [INFO] Placing additional elements for SW63
14:24:16: [INFO] Placing additional elements for SW62
14:24:16: [INFO] Placing additional elements for SW61
14:24:16: [INFO] Placing additional elements for SW60
14:24:16: [INFO] Placing additional elements for SW59
14:24:16: [INFO] Placing additional elements for SW58
14:24:16: [INFO] Placing additional elements for SW57
14:24:16: [INFO] Placing additional elements for SW56
14:24:16: [INFO] Placing additional elements for SW55
14:24:16: [INFO] Placing additional elements for SW54
14:24:16: [INFO] Placing additional elements for SW53
14:24:16: [INFO] Placing additional elements for SW52
14:24:16: [INFO] Placing additional elements for SW51
14:24:16: [INFO] Placing additional elements for SW50
14:24:16: [INFO] Placing additional elements for SW49
14:24:16: [INFO] Placing additional elements for SW48
14:24:16: [INFO] Placing additional elements for SW47
14:24:16: [INFO] Placing additional elements for SW46
14:24:16: [INFO] Placing additional elements for SW45
14:24:16: [INFO] Placing additional elements for SW44
14:24:16: [INFO] Placing additional elements for SW43
14:24:16: [INFO] Placing additional elements for SW42
14:24:16: [INFO] Placing additional elements for SW41
14:24:16: [INFO] Placing additional elements for SW40
14:24:16: [INFO] Placing additional elements for SW39
14:24:16: [INFO] Placing additional elements for SW38
14:24:16: [INFO] Placing additional elements for SW37
14:24:16: [INFO] Placing additional elements for SW36
14:24:16: [INFO] Placing additional elements for SW35
14:24:16: [INFO] Placing additional elements for SW34
14:24:16: [INFO] Placing additional elements for SW33
14:24:16: [INFO] Placing additional elements for SW32
14:24:16: [INFO] Placing additional elements for SW31
14:24:16: [INFO] Placing additional elements for SW30
14:24:16: [INFO] Placing additional elements for SW29
14:24:16: [INFO] Placing additional elements for SW28
14:24:16: [INFO] Placing additional elements for SW27
14:24:16: [INFO] Placing additional elements for SW26
14:24:16: [INFO] Placing additional elements for SW25
14:24:16: [INFO] Placing additional elements for SW24
14:24:16: [INFO] Placing additional elements for SW23
14:24:16: [INFO] Placing additional elements for SW22
14:24:16: [INFO] Placing additional elements for SW21
14:24:16: [INFO] Placing additional elements for SW20
14:24:16: [INFO] Placing additional elements for SW19
14:24:16: [INFO] Placing additional elements for SW18
14:24:16: [INFO] Placing additional elements for SW17
14:24:16: [INFO] Placing additional elements for SW16
14:24:16: [INFO] Placing additional elements for SW15
14:24:16: [INFO] Placing additional elements for SW14
14:24:16: [INFO] Placing additional elements for SW13
14:24:16: [INFO] Placing additional elements for SW12
14:24:16: [INFO] Placing additional elements for SW11
14:24:16: [INFO] Placing additional elements for SW10
14:24:16: [INFO] Placing additional elements for SW9
14:24:16: [INFO] Placing additional elements for SW8
14:24:16: [INFO] Placing additional elements for SW7
14:24:16: [INFO] Placing additional elements for SW6
14:24:16: [INFO] Placing additional elements for SW5
14:24:16: [INFO] Placing additional elements for SW4
14:24:16: [INFO] Placing additional elements for SW3
14:24:16: [INFO] Placing additional elements for SW2
14:24:16: [INFO] Placing additional elements for SW1
14:24:16: [INFO] Routing SW71 with D71
14:24:16: [INFO] Using internal autorouter method
14:24:16: [INFO] Routing pad 'SW71:2' at (374967500, 112077500) with pad 'D71:2' at (377507500, 119757500) using coordinate system rotated by 0 degree(s)
14:24:16: [INFO] Adding track segment (B.Cu): [(374967500, 112077500), (374967500, 117217500)]
14:24:16: [INFO] Adding track segment (B.Cu): [(374967500, 117217500), (377507500, 119757500)]
14:24:16: [INFO] Routing SW70 with D70
14:24:16: [INFO] Using internal autorouter method
14:24:16: [INFO] Routing pad 'SW70:2' at (355917500, 112077500) with pad 'D70:2' at (358457500, 119757500) using coordinate system rotated by 0 degree(s)
14:24:16: [INFO] Adding track segment (B.Cu): [(355917500, 112077500), (355917500, 117217500)]
14:24:16: [INFO] Adding track segment (B.Cu): [(355917500, 117217500), (358457500, 119757500)]
14:24:16: [INFO] Routing SW69 with D69
14:24:16: [INFO] Using internal autorouter method
14:24:16: [INFO] Routing pad 'SW69:2' at (336867500, 112077500) with pad 'D69:2' at (339407500, 119757500) using coordinate system rotated by 0 degree(s)
14:24:16: [INFO] Adding track segment (B.Cu): [(336867500, 112077500), (336867500, 117217500)]
14:24:16: [INFO] Adding track segment (B.Cu): [(336867500, 117217500), (339407500, 119757500)]
14:24:16: [INFO] Routing SW68 with D68
14:24:16: [INFO] Using internal autorouter method
14:24:16: [INFO] Routing pad 'SW68:2' at (315436250, 112077500) with pad 'D68:2' at (317976250, 119757500) using coordinate system rotated by 0 degree(s)
14:24:16: [INFO] Adding track segment (B.Cu): [(315436250, 112077500), (315436250, 117217500)]
14:24:16: [INFO] Adding track segment (B.Cu): [(315436250, 117217500), (317976250, 119757500)]
14:24:16: [INFO] Routing SW67 with D67
14:24:16: [INFO] Using internal autorouter method
14:24:16: [INFO] Routing pad 'SW67:2' at (266379284, 113737116) with pad 'D67:2' at (270089429, 120925218) using coordinate system rotated by 351.0 degree(s)
14:24:16: [INFO] Adding track segment (B.Cu): [(266379284, 113737116), (267183356, 118813832)]
14:24:16: [INFO] Adding track segment (B.Cu): [(267183356, 118813832), (270089429, 120925218)]
14:24:16: [INFO] Routing SW66 with D66
14:24:16: [INFO] Using internal autorouter method
14:24:16: [INFO] Routing pad 'SW66:2' at (226396425, 120069779) with pad 'D66:2' at (230106570, 127257881) using coordinate system rotated by 351.0 degree(s)
14:24:17: [INFO] Adding track segment (B.Cu): [(226396425, 120069779), (227200497, 125146495)]
14:24:17: [INFO] Adding track segment (B.Cu): [(227200497, 125146495), (230106570, 127257881)]
14:24:17: [INFO] Routing SW65 with D65
14:24:17: [INFO] Using internal autorouter method
14:24:17: [INFO] Routing pad 'SW65:2' at (162167091, 121404506) with pad 'D65:2' at (163474402, 129387295) using coordinate system rotated by 9.0 degree(s)
14:24:17: [INFO] Adding track segment (B.Cu): [(162167091, 121404506), (161363017, 126481222)]
14:24:17: [INFO] Adding track segment (B.Cu): [(161363017, 126481222), (163474402, 129387295)]
14:24:17: [INFO] Routing SW64 with D64
14:24:17: [INFO] Using internal autorouter method
14:24:17: [INFO] Routing pad 'SW64:2' at (126888098, 115816862) with pad 'D64:2' at (128195409, 123799651) using coordinate system rotated by 9.0 degree(s)
14:24:17: [INFO] Adding track segment (B.Cu): [(126888098, 115816862), (126084024, 120893579)]
14:24:17: [INFO] Adding track segment (B.Cu): [(126084024, 120893579), (128195409, 123799651)]
14:24:17: [INFO] Routing SW63 with D63
14:24:17: [INFO] Using internal autorouter method
14:24:17: [INFO] Routing pad 'SW63:2' at (82073750, 112077500) with pad 'D63:2' at (84613750, 119757500) using coordinate system rotated by 0 degree(s)
14:24:17: [INFO] Adding track segment (B.Cu): [(82073750, 112077500), (82073750, 117217500)]
14:24:17: [INFO] Adding track segment (B.Cu): [(82073750, 117217500), (84613750, 119757500)]
14:24:17: [INFO] Routing SW62 with D62
14:24:17: [INFO] Using internal autorouter method
14:24:17: [INFO] Routing pad 'SW62:2' at (58261250, 112077500) with pad 'D62:2' at (60801250, 119757500) using coordinate system rotated by 0 degree(s)
14:24:17: [INFO] Adding track segment (B.Cu): [(58261250, 112077500), (58261250, 117217500)]
14:24:17: [INFO] Adding track segment (B.Cu): [(58261250, 117217500), (60801250, 119757500)]
14:24:17: [INFO] Routing SW61 with D61
14:24:17: [INFO] Using internal autorouter method
14:24:17: [INFO] Routing pad 'SW61:2' at (355917500, 93027500) with pad 'D61:2' at (358457500, 100707500) using coordinate system rotated by 0 degree(s)
14:24:17: [INFO] Adding track segment (B.Cu): [(355917500, 93027500), (355917500, 98167500)]
14:24:17: [INFO] Adding track segment (B.Cu): [(355917500, 98167500), (358457500, 100707500)]
14:24:17: [INFO] Routing SW60 with D60
14:24:17: [INFO] Using internal autorouter method
14:24:17: [INFO] Routing pad 'SW60:2' at (329723750, 93027500) with pad 'D60:2' at (332263750, 100707500) using coordinate system rotated by 0 degree(s)
14:24:17: [INFO] Adding track segment (B.Cu): [(329723750, 93027500), (329723750, 98167500)]
14:24:17: [INFO] Adding track segment (B.Cu): [(329723750, 98167500), (332263750, 100707500)]
14:24:17: [INFO] Routing SW59 with D59
14:24:17: [INFO] Using internal autorouter method
14:24:17: [INFO] Routing pad 'SW59:2' at (303530000, 93027500) with pad 'D59:2' at (306070000, 100707500) using coordinate system rotated by 0 degree(s)
14:24:17: [INFO] Adding track segment (B.Cu): [(303530000, 93027500), (303530000, 98167500)]
14:24:17: [INFO] Adding track segment (B.Cu): [(303530000, 98167500), (306070000, 100707500)]
14:24:17: [INFO] Routing SW58 with D58
14:24:17: [INFO] Using internal autorouter method
14:24:17: [INFO] Routing pad 'SW58:2' at (284480000, 93027500) with pad 'D58:2' at (287020000, 100707500) using coordinate system rotated by 0 degree(s)
14:24:17: [INFO] Adding track segment (B.Cu): [(284480000, 93027500), (284480000, 98167500)]
