=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:39: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoDMA2ANHcBPWjUAOLcAY33AGIB2Wu8AXxIQwXCwnPitN78eYYAjOAC6GAFBgo+IUKQAWEnngBaZAE4NTbCyFsOZCpQCGZ8wN3CRgoQCYxk6dHjI7dkgHdZSOwFYdcCFWdjhOYz5+QOCRcSkIFzg5JGoNZXx1JC1o4QMwo24aOlpQ8G94eWoAkhiHOOd8ZARqEi5sU3MzUvKklOrsDzzwwsjeS3APWKcE2XkFFHS1TW0SSbyJ61Dh9s6urx9-QMm66ZlXJCEW7B75Q5IFobKD-vAFqfizpLskBDQ07BUcEyWn2FV8LzeNnyN3BgTeJw+ACd8MRsIlvn5FkCFIoPNg2jxRuMWA5BChSiwFBSMH5HB90X0cqTsMFyTUMFT2bT6jN4ChYasMMyNmyBhzSh5uadEkp8cZdiZus84RgUAAdAB2ms1LEeBMoo3IoLgdhVfm1Wo1urpDXgstwjXBxtN91VFp1wi2BR2uyVYLu2AW5stHve0mRalRn2oFyxqn5KAWcpGRMCLDQ1Oo1MI1I0Nt5cBjKBewQz7Kz7Jz7LzPM+aCQhBeHjLYorYqrYpr0vw9cbzoFgYwaHdGuCevlvuNtwhGEII7H+brDcxAMd-inA9eQ-nnsM+sNfpNm4Wc5Do89olEQA
13:28:41: [INFO] Add SW23 footprint
13:28:41: [INFO] Add D23 footprint
13:28:41: [INFO] Add SW24 footprint
13:28:41: [INFO] Add D24 footprint
13:28:41: [INFO] Add SW25 footprint
13:28:41: [INFO] Add D25 footprint
13:28:41: [INFO] Add SW26 footprint
13:28:41: [INFO] Add D26 footprint
13:28:41: [INFO] Add SW27 footprint
13:28:41: [INFO] Add D27 footprint
13:28:41: [INFO] Add SW28 footprint
13:28:41: [INFO] Add D28 footprint
13:28:41: [INFO] Add SW29 footprint
13:28:41: [INFO] Add D29 footprint
13:28:41: [INFO] Add SW30 footprint
13:28:41: [INFO] Add D30 footprint
13:28:41: [INFO] Add SW31 footprint
13:28:42: [INFO] Add D31 footprint
13:28:42: [INFO] Add SW32 footprint
13:28:42: [INFO] Add D32 footprint
13:28:42: [INFO] Add SW33 footprint
13:28:42: [INFO] Add D33 footprint
13:28:42: [INFO] Add SW34 footprint
13:28:42: [INFO] Add D34 footprint
13:28:42: [INFO] Add SW35 footprint
13:28:42: [INFO] Add D35 footprint
13:28:42: [INFO] Add SW36 footprint
13:28:42: [INFO] Add D36 footprint
13:28:42: [INFO] Add SW37 footprint
13:28:42: [INFO] Add D37 footprint
13:28:42: [INFO] Add SW38 footprint
13:28:42: [INFO] Add D38 footprint
13:28:42: [INFO] Add SW39 footprint
13:28:42: [INFO] Add D39 footprint
13:28:42: [INFO] Add SW40 footprint
13:28:42: [INFO] Add D40 footprint
13:28:42: [INFO] Add SW41 footprint
13:28:42: [INFO] Add D41 footprint
13:28:42: [INFO] Add SW41a footprint
13:28:42: [INFO] Add ST41a footprint
13:28:42: [INFO] Add SW42 footprint
13:28:42: [INFO] Add D42 footprint
13:28:42: [INFO] Add ST42 footprint
13:28:42: [INFO] Add SW42a footprint
13:28:42: [INFO] Add SW43 footprint
13:28:42: [INFO] Add D43 footprint
13:28:42: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:28:42: [INFO] Add ST43 footprint
13:28:42: [INFO] Add SW43a footprint
13:28:42: [INFO] Add SW44 footprint
13:28:42: [INFO] Add D44 footprint
13:28:42: [INFO] Add SW44a footprint
13:28:42: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:28:42: [INFO] Add ST44a footprint
13:28:42: [INFO] Add SW45 footprint
13:28:42: [INFO] Add D45 footprint
13:28:42: [INFO] Add SW46 footprint
13:28:42: [INFO] Add D46 footprint
13:28:43: [INFO] Detected layout convertible to matrix annotated keyboard
13:28:43: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:28:43: [INFO] Layout offset: (21717000, 21336000)
13:28:43: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:28:43: [INFO] Placing additional elements for SW46
13:28:43: [INFO] Placing additional elements for SW45
13:28:43: [INFO] Placing additional elements for SW44a
13:28:43: [INFO] Placing additional elements for SW44
13:28:43: [INFO] Placing additional elements for SW43a
13:28:43: [INFO] Placing additional elements for SW43
13:28:43: [INFO] Placing additional elements for SW42a
13:28:43: [INFO] Placing additional elements for SW42
13:28:43: [INFO] Placing additional elements for SW41a
13:28:43: [INFO] Placing additional elements for SW41
13:28:43: [INFO] Placing additional elements for SW40
13:28:43: [INFO] Placing additional elements for SW39
13:28:43: [INFO] Placing additional elements for SW38
13:28:43: [INFO] Placing additional elements for SW37
13:28:43: [INFO] Placing additional elements for SW36
13:28:43: [INFO] Placing additional elements for SW35
13:28:43: [INFO] Placing additional elements for SW34
13:28:43: [INFO] Placing additional elements for SW33
13:28:43: [INFO] Placing additional elements for SW32
13:28:43: [INFO] Placing additional elements for SW31
13:28:43: [INFO] Placing additional elements for SW30
13:28:43: [INFO] Placing additional elements for SW29
13:28:43: [INFO] Placing additional elements for SW28
13:28:43: [INFO] Placing additional elements for SW27
13:28:43: [INFO] Placing additional elements for SW26
13:28:43: [INFO] Placing additional elements for SW25
13:28:43: [INFO] Placing additional elements for SW24
13:28:43: [INFO] Placing additional elements for SW23
13:28:43: [INFO] Placing additional elements for SW22
13:28:43: [INFO] Placing additional elements for SW21
13:28:43: [INFO] Placing additional elements for SW20
13:28:43: [INFO] Placing additional elements for SW19
13:28:43: [INFO] Placing additional elements for SW18
13:28:43: [INFO] Placing additional elements for SW17
13:28:43: [INFO] Placing additional elements for SW16
13:28:43: [INFO] Placing additional elements for SW15
13:28:43: [INFO] Placing additional elements for SW14
13:28:43: [INFO] Placing additional elements for SW13
13:28:43: [INFO] Placing additional elements for SW12
13:28:43: [INFO] Placing additional elements for SW11
13:28:43: [INFO] Placing additional elements for SW10
13:28:43: [INFO] Placing additional elements for SW9
13:28:43: [INFO] Placing additional elements for SW8
13:28:43: [INFO] Placing additional elements for SW7
13:28:43: [INFO] Placing additional elements for SW6
13:28:43: [INFO] Placing additional elements for SW5
13:28:43: [INFO] Placing additional elements for SW4
13:28:43: [INFO] Placing additional elements for SW3
13:28:43: [INFO] Placing additional elements for SW2
13:28:43: [INFO] Placing additional elements for SW1
13:28:43: [INFO] Routing SW46 with D46
13:28:43: [INFO] Using internal autorouter method
13:28:43: [INFO] Routing pad 'SW46:2' at (289890200, 90932000) with pad 'D46:2' at (292430200, 98612000) using coordinate system rotated by 0 degree(s)
13:28:43: [INFO] Adding track segment (B.Cu): [(289890200, 90932000), (289890200, 96072000)]
13:28:43: [INFO] Adding track segment (B.Cu): [(289890200, 96072000), (292430200, 98612000)]
13:28:43: [INFO] Routing SW45 with D45
13:28:43: [INFO] Using internal autorouter method
13:28:43: [INFO] Routing pad 'SW45:2' at (266077700, 90932000) with pad 'D45:2' at (268617700, 98612000) using coordinate system rotated by 0 degree(s)
13:28:43: [INFO] Adding track segment (B.Cu): [(266077700, 90932000), (266077700, 96072000)]
13:28:43: [INFO] Adding track segment (B.Cu): [(266077700, 96072000), (268617700, 98612000)]
13:28:43: [INFO] Routing SW44a with D44
13:28:43: [INFO] Using internal autorouter method
13:28:43: [INFO] Routing pad 'SW44a:2' at (211921041, 93740349) with pad 'D44:2' at (224937474, 99666483) using coordinate system rotated by 352.0 degree(s)
13:28:43: [INFO] Routing SW44 with D44
13:28:43: [INFO] Using internal autorouter method
13:28:43: [INFO] Routing pad 'SW44:2' at (221353344, 92414725) with pad 'D44:2' at (224937474, 99666483) using coordinate system rotated by 352.0 degree(s)
13:28:43: [INFO] Adding track segment (B.Cu): [(221353344, 92414725), (222068692, 97504701)]
13:28:43: [INFO] Adding track segment (B.Cu): [(222068692, 97504701), (224937474, 99666483)]
13:28:43: [INFO] Routing SW43a with D43
13:28:43: [INFO] Using internal autorouter method
