=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:16: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBp1SAIDeoAeoBcdwDoDsBWAX3gkgCZY4SBGCkgZlqgBZHI9WA2VnVgDlYCcrKjGJQqNMZCrkpVBvCQB3dHFJFK4lnPYBdSACgwVaBSSoM2fMRUYqWQsROzKJya8gKP2j+yeQufx5-fn8hfxFaN3dQNxdY6S9lVXtHDyofBKo9QzBSU0UUVSs8GxTcNNB8mPz4-K8qyEz8v0p8wLbIYM7QzvDOyOJqmukXZIxSLFJK6ubpHKNQOgLEIssKsompyuWY5YblzOXWpYDaZe7T3tP+08HKXb3Rs1BbOHt8DTuD6SP50H0iyYK3MxQ2lDeqS+wPcoPW1gh5UqwKSoAAxqpQABiACGePxtDeOGhXQAOgA7CkUqCiVYYjDYtFM5mEpEkiQvCyYCrshowzIwhbAOFwPAOYj0yhYgAmdGlACN5Zk3nQSXgqZTyeJaMCcBrqdIXiqSQJ9VrDbpdEA
13:33:16: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:33:16: [INFO] Matrix size: 4x15
13:33:17: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:33:17: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:33:17: [INFO] Add COL0 net
13:33:17: [INFO] Add COL1 net
13:33:17: [INFO] Add COL10 net
13:33:17: [INFO] Add COL11 net
13:33:17: [INFO] Add COL12 net
13:33:17: [INFO] Add COL13 net
13:33:17: [INFO] Add COL14 net
13:33:17: [INFO] Add COL15 net
13:33:17: [INFO] Add COL2 net
13:33:17: [INFO] Add COL3 net
13:33:17: [INFO] Add COL4 net
13:33:17: [INFO] Add COL5 net
13:33:17: [INFO] Add COL6 net
13:33:17: [INFO] Add COL7 net
13:33:17: [INFO] Add COL8 net
13:33:17: [INFO] Add COL9 net
13:33:17: [INFO] Add Net-(D1-A) net
13:33:17: [INFO] Add Net-(D10-A) net
13:33:17: [INFO] Add Net-(D11-A) net
13:33:17: [INFO] Add Net-(D12-A) net
13:33:17: [INFO] Add Net-(D13-A) net
13:33:17: [INFO] Add Net-(D14-A) net
13:33:17: [INFO] Add Net-(D15-A) net
13:33:17: [INFO] Add Net-(D16-A) net
13:33:17: [INFO] Add Net-(D17-A) net
13:33:17: [INFO] Add Net-(D18-A) net
13:33:17: [INFO] Add Net-(D19-A) net
13:33:17: [INFO] Add Net-(D2-A) net
13:33:17: [INFO] Add Net-(D20-A) net
13:33:17: [INFO] Add Net-(D21-A) net
13:33:17: [INFO] Add Net-(D22-A) net
13:33:17: [INFO] Add Net-(D23-A) net
