=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:07: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsKA0dwE9aKQJybgDGe4AxAOw23gC+xC6C4AuugFBhR4DMSKsVzwAtMgIYsZeJRLyFDYgEZ0y8JgjR4ADiQAWFIyyqAbOy49tcZYOF5xhIypYaszdZt7xlyQ8fBmKjcIGSwKAEMo6LdwAHc8ACYA1SoAHQA7TMzmVi9rWz5nE3R0rPKPWIwy7IzKjm4tPGQi+zFkZQDE1warPGU+NrhHSWIwuQV5JSxu816mn1QhkalSckjoqNiExeLwQby4UPXJqa61EO8bZAQAwfNibuCvcY3N7f7UO9KLRquO1YiYYdAL6HqWBY2JCDLBAkbEHZQqh7DCHY6yCinMigi75PAEaF7MEPLAYEno8K0OgIpJIRJEn7zK62BCrV6bLY0+CJOl7IRotYYrHTcCmXFHK56HQBMUk8BCcmC8IciIfRbImWlWqZVSHeVa8o61x4+DIVaInka4himrlVTqJkFJCsrlQvY6Y0SgoCNCu2zuxkQ8AAJ363Sw1hQzsBDlMzrGJ1OIuYiViqlTTHQfDTWd+fXg+iQpnOGawg1L4G62eIg2zjrwhZ0DIrGArYOrpNz9fgUb4morQgrYo7+rrQescbFWAtAQ9iW1GW6AvZHLVUPps6zC6XechUZdsIcEnNnwDDvHeEnQxabMTkzXPI3xDn2-FFMoKpFHr4r-Pf1DYjKOGkoGDGYg8h60h3ooKToPosTMCgOZIZmcwXro0bnPBNZwbE3QoWW6BId2cB6MkxBgthnZUeAYIEeAGDEehcBUIIexijRQg0WK9FCExfzWKxyKupaAbwSRvioGBwJOAmGKfn6XzPkR7BsEAA
13:33:08: [INFO] Add SW5 footprint
13:33:08: [INFO] Add D5 footprint
13:33:08: [INFO] Add SW6 footprint
13:33:08: [INFO] Add D6 footprint
13:33:08: [INFO] Add SW7 footprint
13:33:08: [INFO] Add D7 footprint
13:33:08: [INFO] Add SW8 footprint
13:33:08: [INFO] Add D8 footprint
13:33:08: [INFO] Add SW9 footprint
13:33:08: [INFO] Add D9 footprint
13:33:08: [INFO] Add SW10 footprint
13:33:08: [INFO] Add D10 footprint
13:33:08: [INFO] Add SW11 footprint
13:33:08: [INFO] Add D11 footprint
13:33:08: [INFO] Add SW12 footprint
13:33:08: [INFO] Add D12 footprint
13:33:08: [INFO] Add SW13 footprint
13:33:08: [INFO] Add D13 footprint
13:33:08: [INFO] Add SW14 footprint
13:33:08: [INFO] Add D14 footprint
13:33:08: [INFO] Add SW15 footprint
13:33:08: [INFO] Add D15 footprint
13:33:08: [INFO] Add ST15 footprint
13:33:08: [INFO] Add SW15a footprint
13:33:08: [INFO] Add SW16 footprint
13:33:08: [INFO] Add D16 footprint
13:33:08: [INFO] Add SW17 footprint
13:33:08: [INFO] Add D17 footprint
13:33:08: [INFO] Add SW18 footprint
13:33:08: [INFO] Add D18 footprint
13:33:08: [INFO] Add SW19 footprint
13:33:08: [INFO] Add D19 footprint
13:33:08: [INFO] Add SW20 footprint
13:33:09: [INFO] Add D20 footprint
13:33:09: [INFO] Add SW21 footprint
13:33:09: [INFO] Add D21 footprint
13:33:09: [INFO] Add SW22 footprint
13:33:09: [INFO] Add D22 footprint
13:33:09: [INFO] Add SW23 footprint
13:33:09: [INFO] Add D23 footprint
13:33:09: [INFO] Add SW24 footprint
13:33:09: [INFO] Add D24 footprint
13:33:09: [INFO] Add SW25 footprint
13:33:09: [INFO] Add D25 footprint
13:33:09: [INFO] Add SW26 footprint
13:33:09: [INFO] Add D26 footprint
13:33:09: [INFO] Add SW27 footprint
13:33:09: [INFO] Add D27 footprint
13:33:09: [INFO] Add SW28 footprint
13:33:09: [INFO] Add D28 footprint
13:33:09: [INFO] Add SW29 footprint
13:33:09: [INFO] Add D29 footprint
13:33:09: [INFO] Add SW30 footprint
13:33:09: [INFO] Add D30 footprint
13:33:09: [INFO] Add SW31 footprint
13:33:09: [INFO] Add D31 footprint
13:33:09: [INFO] Add SW32 footprint
13:33:09: [INFO] Add D32 footprint
13:33:09: [INFO] Add SW33 footprint
13:33:09: [INFO] Add D33 footprint
13:33:09: [INFO] Add SW34 footprint
13:33:09: [INFO] Add D34 footprint
13:33:09: [INFO] Add SW35 footprint
13:33:09: [INFO] Add D35 footprint
13:33:09: [INFO] Add SW36 footprint
13:33:09: [INFO] Add D36 footprint
13:33:10: [INFO] Add SW37 footprint
13:33:10: [INFO] Add D37 footprint
13:33:10: [INFO] Add SW38 footprint
13:33:10: [INFO] Add D38 footprint
13:33:10: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:33:10: [INFO] Add ST38 footprint
13:33:10: [INFO] Add SW39 footprint
13:33:10: [INFO] Add D39 footprint
13:33:10: [INFO] Add SW40 footprint
13:33:10: [INFO] Add D40 footprint
13:33:10: [INFO] Add SW41 footprint
13:33:10: [INFO] Add D41 footprint
13:33:10: [INFO] Add SW42 footprint
13:33:10: [INFO] Add D42 footprint
13:33:10: [INFO] Add SW43 footprint
