=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:00: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwIHQHYCsAaO4Ces4AGZdAX23EMyXAF1MAoMKA4hLHfeAWmIA4yFKoXBDqouBGjwExAGwUA7gCYCKQTioJV9JlNbJl5HAkwiKphBP0zihY+EtWL1HY2bSihjuEVrvDspmEuBBzpIs8ACcyADMGqHU4RAq-soJYW56kV7oPn4yaAmx4tg2iMT5qoXpDiXadO4QAE6eqCQUzVxwsR04ngAscRTdbMVJjdnNaj6tBEE4XawUnpUjBgMOVKpisSFUA-uY6Edykx4GAg6mOyaYe2XgAHYEAC7NAK4ApteYhy4nFxnXQXQqbChBW6JB44IL-WHHc7lFADJRpcZQkowlLoup-EIlE4gloEbjsTqeBC9HyebhyZCmTgGQgJKioI58I5RI6yJE5bjoZBXFzsx4veDvb6-TkubkuXnE-n0jKYUUImUIuUIhVNfntFl4tU4mrjDXgEpa83UES0WhAA
13:32:01: [INFO] Add D2 footprint
13:32:01: [INFO] Add SW3 footprint
13:32:01: [INFO] Add D3 footprint
13:32:01: [INFO] Add SW4 footprint
13:32:01: [INFO] Add D4 footprint
13:32:01: [INFO] Add SW5 footprint
13:32:01: [INFO] Add D5 footprint
13:32:01: [INFO] Add SW6 footprint
13:32:01: [INFO] Add D6 footprint
13:32:01: [INFO] Add SW7 footprint
13:32:01: [INFO] Add D7 footprint
13:32:01: [INFO] Add SW8 footprint
13:32:01: [INFO] Add D8 footprint
13:32:01: [INFO] Add SW9 footprint
13:32:01: [INFO] Add D9 footprint
13:32:01: [INFO] Add SW10 footprint
13:32:01: [INFO] Add D10 footprint
13:32:01: [INFO] Add SW11 footprint
13:32:01: [INFO] Add D11 footprint
13:32:02: [INFO] Add SW12 footprint
13:32:02: [INFO] Add D12 footprint
13:32:02: [INFO] Add SW13 footprint
13:32:02: [INFO] Add D13 footprint
13:32:02: [INFO] Add SW14 footprint
13:32:02: [INFO] Add D14 footprint
13:32:02: [INFO] Add SW15 footprint
13:32:02: [INFO] Add D15 footprint
13:32:02: [INFO] Add SW16 footprint
13:32:02: [INFO] Add D16 footprint
13:32:02: [INFO] Add SW17 footprint
13:32:02: [INFO] Add D17 footprint
13:32:02: [INFO] Add SW18 footprint
13:32:02: [INFO] Add D18 footprint
