=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
14:38:37: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwHYB0BmANHcBPWcAGFATi3AGN9wBiAQ3ofAF8yAmDJcAXQwCgwo+NCiRk88ALRFiAVjKV4NcspXMyBDAnBYI0eAA4UAFhktsCDDO58BexCLH4pJOdgXZqSL97XYNBbTgIdyUVZV9wCwCdQXgEIhMzcA0ANkDIjDT1Dmt+XXxkFBTHSSILNyo6BnoIoxyePNjETGxxOGdZeUqw8KT2KwbbApRXXCdpUZCq6vSAd2HTNgxooIpunojMFfy4ogIkzCslrNWp6pqyebiRg8zcobjUUlbxlAQk4s5BnfsWsdKSJdhkhFtg6ts1opqD1KEk5BC7MR0KDwHUjtg5OjgpVvD4gfBWChWCi6mlvk0ECgCJNKudaHN8ITiR9loFsVCYRFRAj8IZ9ElREZ0sUsZCPHSGdcQQLLPcfsgSu0iNKyKIyTZ5VTRm1nMT8fYUfpWeS7Ahii8ASrsEaTuBSLajV8NeAAE4FdjYOwyLWKiQpIk0jkbJIWLTZVjpCwR7JoOVNIxFPqadKYMPYdjR7CYCMm-AJ-Qk5NkORp1EYTPgOQ551e9As0uiUvFCuiauNOz+83gK5wVhJI2Z9ni86S+zMsikNsPODe6m+ib6ymG5Pkt2SBAepqGEy+yk7ipBsIRCyx7JCsgWc9+WW5gxapOnrMYR-gdhX8CYIW3uCGPtkOovnIL51O+chfjWvIiCixQvqIL7FOB7b4KgIL6oSVp2s+camkQMjaq8nQHsOMyLjcE4YF+XBAA
14:38:38: [INFO] Add ROW2 net
14:38:38: [INFO] Add ROW3 net
14:38:38: [INFO] Add ROW4 net
14:38:38: [INFO] Add ROW5 net
14:38:38: [INFO] Add ROW6 net
14:38:38: [INFO] Add ROW7 net
14:38:38: [INFO] Add ROW8 net
14:38:38: [INFO] Add ROW9 net
14:38:38: [INFO] Add SW1 footprint
14:38:38: [INFO] Add D1 footprint
14:38:38: [INFO] Add SW2 footprint
14:38:38: [INFO] Add D2 footprint
14:38:38: [INFO] Add SW3 footprint
14:38:38: [INFO] Add D3 footprint
14:38:38: [INFO] Add SW4 footprint
14:38:38: [INFO] Add D4 footprint
14:38:38: [INFO] Add SW5 footprint
14:38:38: [INFO] Add D5 footprint
14:38:38: [INFO] Add SW6 footprint
14:38:38: [INFO] Add D6 footprint
14:38:38: [INFO] Add SW7 footprint
14:38:38: [INFO] Add D7 footprint
14:38:38: [INFO] Add SW8 footprint
14:38:38: [INFO] Add D8 footprint
14:38:38: [INFO] Add SW9 footprint
14:38:38: [INFO] Add D9 footprint
14:38:39: [INFO] Add SW10 footprint
14:38:39: [INFO] Add D10 footprint
14:38:39: [INFO] Add SW11 footprint
14:38:39: [INFO] Add D11 footprint
14:38:39: [INFO] Add SW12 footprint
14:38:39: [INFO] Add D12 footprint
14:38:39: [INFO] Add SW13 footprint
14:38:39: [INFO] Add D13 footprint
14:38:39: [INFO] Add SW14 footprint
14:38:39: [INFO] Add D14 footprint
14:38:39: [INFO] Add SW15 footprint
14:38:39: [INFO] Add D15 footprint
14:38:39: [INFO] Add SW16 footprint
14:38:39: [INFO] Add D16 footprint
14:38:39: [INFO] Add SW17 footprint
14:38:39: [INFO] Add D17 footprint
14:38:39: [INFO] Add SW18 footprint
14:38:39: [INFO] Add D18 footprint
14:38:39: [INFO] Add SW19 footprint
14:38:39: [INFO] Add D19 footprint
14:38:39: [INFO] Add SW20 footprint
14:38:39: [INFO] Add D20 footprint
14:38:39: [INFO] Add SW21 footprint
14:38:39: [INFO] Add D21 footprint
14:38:39: [INFO] Add SW22 footprint
14:38:39: [INFO] Add D22 footprint
14:38:39: [INFO] Add SW23 footprint
14:38:39: [INFO] Add D23 footprint
14:38:39: [INFO] Add SW24 footprint
14:38:39: [INFO] Add D24 footprint
14:38:39: [INFO] Add SW25 footprint
14:38:39: [INFO] Add D25 footprint
14:38:39: [INFO] Add SW26 footprint
14:38:39: [INFO] Add D26 footprint
14:38:39: [INFO] Add SW27 footprint
14:38:40: [INFO] Add D27 footprint
14:38:40: [INFO] Add SW28 footprint
14:38:40: [INFO] Add D28 footprint
14:38:40: [INFO] Add SW29 footprint
14:38:40: [INFO] Add D29 footprint
14:38:40: [INFO] Add SW30 footprint
14:38:40: [INFO] Add D30 footprint
14:38:40: [INFO] Add SW31 footprint
14:38:40: [INFO] Add D31 footprint
14:38:40: [INFO] Add SW32 footprint
14:38:40: [INFO] Add D32 footprint
14:38:40: [INFO] Add SW33 footprint
14:38:40: [INFO] Add D33 footprint
14:38:40: [INFO] Add SW34 footprint
14:38:40: [INFO] Add D34 footprint
14:38:40: [INFO] Add SW35 footprint
14:38:40: [INFO] Add D35 footprint
14:38:40: [INFO] Add SW36 footprint
14:38:40: [INFO] Add D36 footprint
14:38:40: [INFO] Add SW37 footprint
14:38:40: [INFO] Add D37 footprint
14:38:40: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
14:38:40: [INFO] Add ST37 footprint
14:38:40: [INFO] Add SW38 footprint
14:38:40: [INFO] Add D38 footprint
14:38:40: [INFO] Add SW39 footprint
14:38:40: [INFO] Add D39 footprint
14:38:40: [INFO] Add SW40 footprint
14:38:40: [INFO] Add D40 footprint
14:38:40: [INFO] Add SW41 footprint
14:38:40: [INFO] Add D41 footprint
14:38:40: [INFO] Add SW42 footprint
14:38:40: [INFO] Add D42 footprint
14:38:40: [INFO] Add SW43 footprint
14:38:40: [INFO] Add D43 footprint
14:38:40: [INFO] Add SW44 footprint
14:38:40: [INFO] Add D44 footprint
14:38:40: [INFO] Add SW45 footprint
14:38:40: [INFO] Add D45 footprint
14:38:40: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
14:38:40: [INFO] Add ST45 footprint
14:38:40: [INFO] Add SW46 footprint
14:38:40: [INFO] Add D46 footprint
14:38:40: [INFO] Add SW47 footprint
14:38:40: [INFO] Add D47 footprint
14:38:40: [INFO] Add SW48 footprint
14:38:41: [INFO] Add D48 footprint
14:38:41: [INFO] Add SW49 footprint
14:38:41: [INFO] Add D49 footprint
14:38:41: [INFO] Add SW50 footprint
14:38:41: [INFO] Add D50 footprint
14:38:41: [INFO] Add SW51 footprint
14:38:41: [INFO] Add D51 footprint
14:38:41: [INFO] Add SW52 footprint
14:38:41: [INFO] Add D52 footprint
14:38:41: [INFO] Add SW53 footprint
14:38:41: [INFO] Add D53 footprint
14:38:41: [INFO] Add SW54 footprint
14:38:41: [INFO] Add D54 footprint
14:38:41: [INFO] Add SW55 footprint
14:38:41: [INFO] Add D55 footprint
14:38:41: [INFO] Add SW56 footprint
14:38:41: [INFO] Add D56 footprint
14:38:41: [INFO] Add SW57 footprint
14:38:41: [INFO] Add D57 footprint
14:38:41: [INFO] Add SW58 footprint
14:38:41: [INFO] Add D58 footprint
14:38:41: [INFO] Add SW59 footprint
14:38:41: [INFO] Add D59 footprint
14:38:41: [INFO] Add SW60 footprint
14:38:41: [INFO] Add D60 footprint
14:38:41: [INFO] Add SW61 footprint
14:38:41: [INFO] Add D61 footprint
14:38:41: [INFO] Add ST61 footprint
14:38:41: [INFO] Add SW62 footprint
14:38:41: [INFO] Add D62 footprint
14:38:41: [INFO] Add SW63 footprint
14:38:41: [INFO] Add D63 footprint
14:38:41: [INFO] Add SW64 footprint
14:38:42: [INFO] Add D64 footprint
14:38:42: [INFO] Add SW65 footprint
14:38:42: [INFO] Add D65 footprint
14:38:42: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
14:38:42: [INFO] Add ST65 footprint
14:38:42: [INFO] Add SW66 footprint
14:38:42: [INFO] Add D66 footprint
14:38:42: [INFO] Add SW67 footprint
14:38:42: [INFO] Add D67 footprint
14:38:42: [INFO] Detected layout convertible to matrix annotated keyboard
14:38:42: [INFO] Using key 1U distance: (19.05, 19.05) mm
14:38:42: [INFO] Layout offset: (22860000, 30480000)
14:38:42: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
14:38:42: [INFO] Placing additional elements for SW67
14:38:42: [INFO] Placing additional elements for SW66
14:38:42: [INFO] Placing additional elements for SW65
14:38:42: [INFO] Placing additional elements for SW64
14:38:42: [INFO] Placing additional elements for SW63
14:38:42: [INFO] Placing additional elements for SW62
14:38:42: [INFO] Placing additional elements for SW61
14:38:42: [INFO] Placing additional elements for SW60
14:38:42: [INFO] Placing additional elements for SW59
14:38:42: [INFO] Placing additional elements for SW58
14:38:42: [INFO] Placing additional elements for SW57
14:38:42: [INFO] Placing additional elements for SW56
14:38:42: [INFO] Placing additional elements for SW55
14:38:42: [INFO] Placing additional elements for SW54
14:38:42: [INFO] Placing additional elements for SW53
14:38:42: [INFO] Placing additional elements for SW52
14:38:42: [INFO] Placing additional elements for SW51
14:38:42: [INFO] Placing additional elements for SW50
14:38:42: [INFO] Placing additional elements for SW49
14:38:42: [INFO] Placing additional elements for SW48
14:38:42: [INFO] Placing additional elements for SW47
14:38:42: [INFO] Placing additional elements for SW46
14:38:42: [INFO] Placing additional elements for SW45
14:38:42: [INFO] Placing additional elements for SW44
14:38:42: [INFO] Placing additional elements for SW43
14:38:42: [INFO] Placing additional elements for SW42
14:38:42: [INFO] Placing additional elements for SW41
14:38:42: [INFO] Placing additional elements for SW40
14:38:42: [INFO] Placing additional elements for SW39
14:38:42: [INFO] Placing additional elements for SW38
14:38:42: [INFO] Placing additional elements for SW37
14:38:42: [INFO] Placing additional elements for SW36
14:38:42: [INFO] Placing additional elements for SW35
14:38:42: [INFO] Placing additional elements for SW34
14:38:42: [INFO] Placing additional elements for SW33
14:38:42: [INFO] Placing additional elements for SW32
14:38:42: [INFO] Placing additional elements for SW31
14:38:42: [INFO] Placing additional elements for SW30
14:38:42: [INFO] Placing additional elements for SW29
14:38:42: [INFO] Placing additional elements for SW28
14:38:42: [INFO] Placing additional elements for SW27
14:38:42: [INFO] Placing additional elements for SW26
14:38:42: [INFO] Placing additional elements for SW25
14:38:42: [INFO] Placing additional elements for SW24
14:38:42: [INFO] Placing additional elements for SW23
14:38:42: [INFO] Placing additional elements for SW22
14:38:42: [INFO] Placing additional elements for SW21
14:38:42: [INFO] Placing additional elements for SW20
14:38:42: [INFO] Placing additional elements for SW19
14:38:42: [INFO] Placing additional elements for SW18
14:38:42: [INFO] Placing additional elements for SW17
14:38:42: [INFO] Placing additional elements for SW16
14:38:42: [INFO] Placing additional elements for SW15
14:38:42: [INFO] Placing additional elements for SW14
14:38:42: [INFO] Placing additional elements for SW13
14:38:42: [INFO] Placing additional elements for SW12
14:38:42: [INFO] Placing additional elements for SW11
14:38:42: [INFO] Placing additional elements for SW10
14:38:42: [INFO] Placing additional elements for SW9
14:38:42: [INFO] Placing additional elements for SW8
14:38:42: [INFO] Placing additional elements for SW7
14:38:42: [INFO] Placing additional elements for SW6
14:38:42: [INFO] Placing additional elements for SW5
14:38:42: [INFO] Placing additional elements for SW4
14:38:42: [INFO] Placing additional elements for SW3
14:38:42: [INFO] Placing additional elements for SW2
14:38:42: [INFO] Placing additional elements for SW1
14:38:42: [INFO] Routing SW67 with D67
14:38:42: [INFO] Using internal autorouter method
14:38:42: [INFO] Routing pad 'SW67:2' at (358775000, 134937500) with pad 'D67:2' at (361315000, 142617500) using coordinate system rotated by 0 degree(s)
14:38:42: [INFO] Adding track segment (B.Cu): [(358775000, 134937500), (358775000, 140077500)]
14:38:42: [INFO] Adding track segment (B.Cu): [(358775000, 140077500), (361315000, 142617500)]
14:38:42: [INFO] Routing SW66 with D66
14:38:42: [INFO] Using internal autorouter method
14:38:42: [INFO] Routing pad 'SW66:2' at (267129097, 132091555) with pad 'D66:2' at (271210353, 139075633) using coordinate system rotated by 348.0 degree(s)
14:38:42: [INFO] Adding track segment (B.Cu): [(267129097, 132091555), (268197762, 137119233)]
14:38:42: [INFO] Adding track segment (B.Cu): [(268197762, 137119233), (271210353, 139075633)]
14:38:42: [INFO] Routing SW65 with D65
14:38:42: [INFO] Using internal autorouter method
14:38:42: [INFO] Routing pad 'SW65:2' at (226402738, 139774430) with pad 'D65:2' at (230483994, 146758508) using coordinate system rotated by 348.0 degree(s)
14:38:42: [INFO] Adding track segment (B.Cu): [(226402738, 139774430), (227471403, 144802108)]
14:38:42: [INFO] Adding track segment (B.Cu): [(227471403, 144802108), (230483994, 146758508)]
14:38:42: [INFO] Routing SW64 with D64
14:38:42: [INFO] Using internal autorouter method
14:38:42: [INFO] Routing pad 'SW64:2' at (180473448, 146428430) with pad 'D64:2' at (181361181, 154468698) using coordinate system rotated by 12.0 degree(s)
14:38:42: [INFO] Adding track segment (B.Cu): [(180473448, 146428430), (179404781, 151456106)]
14:38:42: [INFO] Adding track segment (B.Cu): [(179404781, 151456106), (181361181, 154468698)]
14:38:42: [INFO] Routing SW63 with D63
14:38:42: [INFO] Using internal autorouter method
14:38:42: [INFO] Routing pad 'SW63:2' at (377825000, 134937500) with pad 'D63:2' at (380365000, 142617500) using coordinate system rotated by 0 degree(s)
14:38:42: [INFO] Adding track segment (B.Cu): [(377825000, 134937500), (377825000, 140077500)]
14:38:42: [INFO] Adding track segment (B.Cu): [(377825000, 140077500), (380365000, 142617500)]
14:38:42: [INFO] Routing SW62 with D62
14:38:42: [INFO] Using internal autorouter method
14:38:42: [INFO] Routing pad 'SW62:2' at (339725000, 134937500) with pad 'D62:2' at (342265000, 142617500) using coordinate system rotated by 0 degree(s)
14:38:42: [INFO] Adding track segment (B.Cu): [(339725000, 134937500), (339725000, 140077500)]
14:38:42: [INFO] Adding track segment (B.Cu): [(339725000, 140077500), (342265000, 142617500)]
14:38:42: [INFO] Routing SW61 with D61
14:38:42: [INFO] Using internal autorouter method
14:38:42: [INFO] Routing pad 'SW61:2' at (150193666, 139992264) with pad 'D61:2' at (151081399, 148032532) using coordinate system rotated by 12.0 degree(s)
14:38:42: [INFO] Adding track segment (B.Cu): [(150193666, 139992264), (149124999, 145019941)]
14:38:42: [INFO] Adding track segment (B.Cu): [(149124999, 145019941), (151081399, 148032532)]
14:38:42: [INFO] Routing SW60 with D60
14:38:42: [INFO] Using internal autorouter method
