=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:30:17: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwIHQFYC+AaO4GdeNrgAybGE4KkLgC6mAUGOAJ6xwC0xaWOp5RahXCkATMNIBmCZgAsMgkTwDKmGksziN0jfPpNwossKPqcRrecw6r8okcU5Jxos7Phnlj9eHO7T-DpGYHBZFxww9zCvMJsIADt2ABcAJwBXAFNeULlhMMdwVHCE5PSsoiL3Iq8im0LcisD9EIA2cPA29zavNrq2-w7AogB2dtH3Ua9RutGB0YJm8AAOdpX3Fa8VupXZAB14-f3+CggAd3ZRbJXUQ4P446IATjVbo-bnr2e654HnheCINB4LIrnJXvc1MJruChE8yDDIXCEAiaM1AewwjhzvBLkRoXc3pYzhdss9iAjxLRaEA
13:30:19: [INFO] Add SW13 footprint
13:30:19: [INFO] Add D13 footprint
13:30:19: [INFO] Add SW14 footprint
13:30:19: [INFO] Add D14 footprint
13:30:19: [INFO] Add SW15 footprint
13:30:19: [INFO] Add D15 footprint
13:30:19: [INFO] Add SW16 footprint
13:30:19: [INFO] Add D16 footprint
13:30:19: [INFO] Add SW17 footprint
13:30:19: [INFO] Add D17 footprint
13:30:19: [INFO] Add SW18 footprint
13:30:19: [INFO] Add D18 footprint
13:30:19: [INFO] Add SW19 footprint
13:30:19: [INFO] Add D19 footprint
13:30:19: [INFO] Add SW20 footprint
13:30:19: [INFO] Add D20 footprint
13:30:19: [INFO] Add SW21 footprint
13:30:19: [INFO] Add D21 footprint
13:30:19: [INFO] Add SW22 footprint
13:30:19: [INFO] Add D22 footprint
13:30:19: [INFO] Add SW23 footprint
13:30:19: [INFO] Add D23 footprint
13:30:19: [INFO] Add SW24 footprint
13:30:19: [INFO] Add D24 footprint
13:30:19: [INFO] Add SW25 footprint
13:30:19: [INFO] Add D25 footprint
13:30:20: [INFO] Add SW26 footprint
13:30:20: [INFO] Add D26 footprint
13:30:20: [INFO] Add SW27 footprint
13:30:20: [INFO] Add D27 footprint
13:30:20: [INFO] Add SW28 footprint
13:30:20: [INFO] Add D28 footprint
13:30:20: [INFO] Add SW29 footprint
13:30:20: [INFO] Add D29 footprint
13:30:20: [INFO] Add SW30 footprint
13:30:20: [INFO] Add D30 footprint
13:30:20: [INFO] Add SW31 footprint
13:30:20: [INFO] Add D31 footprint
13:30:20: [INFO] Add SW32 footprint
13:30:20: [INFO] Add D32 footprint
13:30:20: [INFO] Add SW33 footprint
13:30:20: [INFO] Add D33 footprint
13:30:20: [INFO] Add SW34 footprint
13:30:20: [INFO] Add D34 footprint
13:30:20: [INFO] Add SW35 footprint
13:30:20: [INFO] Add D35 footprint
13:30:20: [INFO] Add SW36 footprint
13:30:20: [INFO] Add D36 footprint
13:30:20: [INFO] Add SW37 footprint
13:30:20: [INFO] Add D37 footprint
13:30:20: [INFO] Add SW38 footprint
13:30:20: [INFO] Add D38 footprint
13:30:20: [INFO] Add SW39 footprint
13:30:20: [INFO] Add D39 footprint
13:30:20: [INFO] Add SW40 footprint
13:30:20: [INFO] Add D40 footprint
13:30:20: [INFO] Add SW41 footprint
13:30:20: [INFO] Add D41 footprint
13:30:20: [INFO] Add SW42 footprint
13:30:20: [INFO] Add D42 footprint
13:30:20: [INFO] Add SW43 footprint
13:30:21: [INFO] Add D43 footprint
13:30:21: [INFO] Add SW44 footprint
13:30:21: [INFO] Add D44 footprint
13:30:21: [INFO] Add SW45 footprint
13:30:21: [INFO] Add D45 footprint
13:30:21: [INFO] Add SW46 footprint
13:30:21: [INFO] Add D46 footprint
13:30:21: [INFO] Add SW47 footprint
13:30:21: [INFO] Add D47 footprint
13:30:21: [INFO] Add SW48 footprint
13:30:21: [INFO] Add D48 footprint
13:30:21: [INFO] Add SW49 footprint
13:30:21: [INFO] Add D49 footprint
13:30:21: [INFO] Add SW50 footprint
13:30:21: [INFO] Add D50 footprint
13:30:21: [INFO] Add SW51 footprint
13:30:21: [INFO] Add D51 footprint
13:30:21: [INFO] Add SW52 footprint
13:30:21: [INFO] Add D52 footprint
13:30:21: [INFO] Add SW53 footprint
13:30:21: [INFO] Add D53 footprint
13:30:21: [INFO] Add SW54 footprint
13:30:21: [INFO] Add D54 footprint
13:30:21: [INFO] Add ST54 footprint
13:30:21: [INFO] Add SW54a footprint
13:30:21: [INFO] Add SW54b footprint
13:30:21: [INFO] Add ST54b footprint
13:30:21: [INFO] Add SW55 footprint
13:30:21: [INFO] Add D55 footprint
13:30:21: [INFO] Add SW55a footprint
13:30:21: [INFO] Add ST55a footprint
13:30:21: [INFO] Add SW56 footprint
13:30:21: [INFO] Add D56 footprint
13:30:21: [INFO] Add SW57 footprint
13:30:21: [INFO] Add D57 footprint
13:30:21: [INFO] Add SW58 footprint
13:30:21: [INFO] Add D58 footprint
13:30:21: [INFO] Add SW59 footprint
13:30:21: [INFO] Add D59 footprint
13:30:22: [INFO] Add SW60 footprint
13:30:22: [INFO] Add D60 footprint
13:30:22: [INFO] Add SW61 footprint
13:30:22: [INFO] Add D61 footprint
13:30:22: [INFO] Add SW62 footprint
13:30:22: [INFO] Add D62 footprint
13:30:22: [INFO] Detected layout convertible to matrix annotated keyboard
13:30:22: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:30:22: [INFO] Layout offset: (38100000, 28575000)
13:30:22: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:30:22: [INFO] Placing additional elements for SW62
13:30:22: [INFO] Placing additional elements for SW61
13:30:22: [INFO] Placing additional elements for SW60
13:30:22: [INFO] Placing additional elements for SW59
13:30:22: [INFO] Placing additional elements for SW58
13:30:22: [INFO] Placing additional elements for SW57
13:30:22: [INFO] Placing additional elements for SW56
13:30:22: [INFO] Placing additional elements for SW55a
13:30:22: [INFO] Placing additional elements for SW55
13:30:22: [INFO] Placing additional elements for SW54b
13:30:22: [INFO] Placing additional elements for SW54a
13:30:22: [INFO] Placing additional elements for SW54
13:30:22: [INFO] Placing additional elements for SW53
13:30:22: [INFO] Placing additional elements for SW52
13:30:22: [INFO] Placing additional elements for SW51
13:30:22: [INFO] Placing additional elements for SW50
13:30:22: [INFO] Placing additional elements for SW49
13:30:22: [INFO] Placing additional elements for SW48
13:30:22: [INFO] Placing additional elements for SW47
13:30:22: [INFO] Placing additional elements for SW46
13:30:22: [INFO] Placing additional elements for SW45
13:30:22: [INFO] Placing additional elements for SW44
13:30:22: [INFO] Placing additional elements for SW43
13:30:22: [INFO] Placing additional elements for SW42
13:30:22: [INFO] Placing additional elements for SW41
13:30:22: [INFO] Placing additional elements for SW40
13:30:22: [INFO] Placing additional elements for SW39
13:30:22: [INFO] Placing additional elements for SW38
13:30:22: [INFO] Placing additional elements for SW37
13:30:22: [INFO] Placing additional elements for SW36
13:30:22: [INFO] Placing additional elements for SW35
13:30:22: [INFO] Placing additional elements for SW34
13:30:22: [INFO] Placing additional elements for SW33
13:30:22: [INFO] Placing additional elements for SW32
13:30:22: [INFO] Placing additional elements for SW31
13:30:22: [INFO] Placing additional elements for SW30
13:30:22: [INFO] Placing additional elements for SW29
13:30:22: [INFO] Placing additional elements for SW28
13:30:22: [INFO] Placing additional elements for SW27
13:30:22: [INFO] Placing additional elements for SW26
13:30:22: [INFO] Placing additional elements for SW25
13:30:22: [INFO] Placing additional elements for SW24
13:30:22: [INFO] Placing additional elements for SW23
13:30:22: [INFO] Placing additional elements for SW22
13:30:22: [INFO] Placing additional elements for SW21
13:30:22: [INFO] Placing additional elements for SW20
13:30:22: [INFO] Placing additional elements for SW19
13:30:22: [INFO] Placing additional elements for SW18
13:30:22: [INFO] Placing additional elements for SW17
13:30:22: [INFO] Placing additional elements for SW16
13:30:22: [INFO] Placing additional elements for SW15
13:30:22: [INFO] Placing additional elements for SW14
13:30:22: [INFO] Placing additional elements for SW13
13:30:22: [INFO] Placing additional elements for SW12
13:30:22: [INFO] Placing additional elements for SW11
13:30:22: [INFO] Placing additional elements for SW10
13:30:22: [INFO] Placing additional elements for SW9
13:30:22: [INFO] Placing additional elements for SW8
13:30:22: [INFO] Placing additional elements for SW7
13:30:22: [INFO] Placing additional elements for SW6
13:30:22: [INFO] Placing additional elements for SW5
13:30:22: [INFO] Placing additional elements for SW4
13:30:22: [INFO] Placing additional elements for SW3
13:30:22: [INFO] Placing additional elements for SW2
13:30:22: [INFO] Placing additional elements for SW1
13:30:22: [INFO] Routing SW62 with D62
13:30:22: [INFO] Using internal autorouter method
13:30:22: [INFO] Routing pad 'SW62:2' at (307340000, 33020000) with pad 'D62:2' at (309880000, 40700000) using coordinate system rotated by 0 degree(s)
13:30:22: [INFO] Adding track segment (B.Cu): [(307340000, 33020000), (307340000, 38160000)]
13:30:22: [INFO] Adding track segment (B.Cu): [(307340000, 38160000), (309880000, 40700000)]
13:30:22: [INFO] Routing SW61 with D61
13:30:22: [INFO] Using internal autorouter method
13:30:22: [INFO] Routing pad 'SW61:2' at (288290000, 33020000) with pad 'D61:2' at (290830000, 40700000) using coordinate system rotated by 0 degree(s)
13:30:22: [INFO] Adding track segment (B.Cu): [(288290000, 33020000), (288290000, 38160000)]
13:30:22: [INFO] Adding track segment (B.Cu): [(288290000, 38160000), (290830000, 40700000)]
13:30:22: [INFO] Routing SW60 with D60
13:30:22: [INFO] Using internal autorouter method
13:30:22: [INFO] Routing pad 'SW60:2' at (259715000, 118745000) with pad 'D60:2' at (262255000, 126425000) using coordinate system rotated by 0 degree(s)
13:30:22: [INFO] Adding track segment (B.Cu): [(259715000, 118745000), (259715000, 123885000)]
13:30:22: [INFO] Adding track segment (B.Cu): [(259715000, 123885000), (262255000, 126425000)]
13:30:22: [INFO] Routing SW59 with D59
13:30:22: [INFO] Using internal autorouter method
13:30:22: [INFO] Routing pad 'SW59:2' at (240665000, 118745000) with pad 'D59:2' at (243205000, 126425000) using coordinate system rotated by 0 degree(s)
13:30:22: [INFO] Adding track segment (B.Cu): [(240665000, 118745000), (240665000, 123885000)]
