=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
14:37:36: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoDsBWAvgGjuADFguDhNPABxLmY75YCM9xcpscAzEmrQMZvgBiAIYjR4bLgL0ALOAC6WAFBgobPKm64AnmwC066r34CUps+NoE8AHQB2AUQDKAYWYQ+8QT28+LkhvJKKmRw9JwAbLQ68PpUNP70RCTgHrjCoiLM4ADubAgSdGGByqzw6po5bPRcBfRYeG4pxj6+tQHJIfTq7G2MWXWJjbnw1fHgA+zFwVUoSOxReuoAnEae6Rl+4wyyCiWqZUgIFdFwsXW4w6EaBQj1jaleLXw37Sz7cEvXtLd93wxJbweJjMpiyl2QRxeRV20xGs2OiyQK1wQIymShOyCEBOZ1o4MOY3mDWSQKez1o8wBpVC6nohP+92MaKEYKqX1w82hWPe9HCSGkCxi6nQqzSINBBU5mL2OPUR1FgmZrJGBIKAuJb0u1UhtAFTBh1Lp-MFp2FFSB4pQmz1APAesmuu2UwgACc2JFcCFOIZtHo0KgFQIyZsCA7-LISUy0SGsGgsgRws73px2Obmk9NnVbXUw1sI7g6nGDcmuGNbrbbrnbvnwLci9yvUjJVhc-Ma-M4xSsIniyEBSioxs8WydbgBVSmmtg8P4BCxgKw+5B2I1d2k26Yh73pRUybdJx8pYsFaj+RGVOMwUCEt4wwGr22LMlm1E7Q6ieC1gz2+sDef10kxCShR1rY8slub9cFuP8oLvQDHyoZsP3AeZIJQ38sk5DV0L6B94FmchAyVVcPyXC8WmVRB2TtL9zzSYjHRvOQ5CAA
14:37:37: [INFO] Add SW4 footprint
14:37:37: [INFO] Add D4 footprint
14:37:37: [INFO] Add SW5 footprint
14:37:37: [INFO] Add D5 footprint
14:37:37: [INFO] Add SW6 footprint
14:37:37: [INFO] Add D6 footprint
14:37:37: [INFO] Add SW7 footprint
14:37:37: [INFO] Add D7 footprint
14:37:37: [INFO] Add SW8 footprint
14:37:37: [INFO] Add D8 footprint
14:37:37: [INFO] Add SW9 footprint
14:37:37: [INFO] Add D9 footprint
14:37:37: [INFO] Add SW10 footprint
14:37:37: [INFO] Add D10 footprint
14:37:37: [INFO] Add SW11 footprint
14:37:37: [INFO] Add D11 footprint
14:37:37: [INFO] Add SW12 footprint
14:37:37: [INFO] Add D12 footprint
14:37:37: [INFO] Add SW13 footprint
14:37:37: [INFO] Add D13 footprint
14:37:37: [INFO] Add SW14 footprint
14:37:37: [INFO] Add D14 footprint
14:37:37: [INFO] Add ST14 footprint
14:37:37: [INFO] Add SW15 footprint
14:37:37: [INFO] Add D15 footprint
14:37:37: [INFO] Add SW16 footprint
14:37:37: [INFO] Add D16 footprint
14:37:37: [INFO] Add SW17 footprint
14:37:37: [INFO] Add D17 footprint
14:37:37: [INFO] Add SW18 footprint
14:37:37: [INFO] Add D18 footprint
14:37:37: [INFO] Add SW19 footprint
14:37:37: [INFO] Add D19 footprint
14:37:37: [INFO] Add SW20 footprint
14:37:37: [INFO] Add D20 footprint
14:37:37: [INFO] Add SW21 footprint
14:37:37: [INFO] Add D21 footprint
14:37:37: [INFO] Add SW22 footprint
14:37:37: [INFO] Add D22 footprint
14:37:37: [INFO] Add SW23 footprint
14:37:37: [INFO] Add D23 footprint
14:37:37: [INFO] Add SW24 footprint
14:37:37: [INFO] Add D24 footprint
14:37:37: [INFO] Add SW25 footprint
14:37:37: [INFO] Add D25 footprint
14:37:37: [INFO] Add SW26 footprint
14:37:37: [INFO] Add D26 footprint
14:37:37: [INFO] Add SW27 footprint
14:37:37: [INFO] Add D27 footprint
14:37:37: [INFO] Add SW28 footprint
14:37:37: [INFO] Add D28 footprint
14:37:37: [INFO] Add SW29 footprint
14:37:37: [INFO] Add D29 footprint
14:37:37: [INFO] Add SW30 footprint
14:37:37: [INFO] Add D30 footprint
14:37:38: [INFO] Add SW31 footprint
14:37:38: [INFO] Add D31 footprint
14:37:38: [INFO] Add SW32 footprint
14:37:38: [INFO] Add D32 footprint
14:37:38: [INFO] Add SW33 footprint
14:37:38: [INFO] Add D33 footprint
14:37:38: [INFO] Add SW34 footprint
14:37:38: [INFO] Add D34 footprint
14:37:38: [INFO] Add SW35 footprint
14:37:38: [INFO] Add D35 footprint
14:37:38: [INFO] Add SW36 footprint
14:37:38: [INFO] Add D36 footprint
14:37:38: [INFO] Add SW37 footprint
14:37:38: [INFO] Add D37 footprint
14:37:38: [INFO] Add SW38 footprint
14:37:38: [INFO] Add D38 footprint
14:37:38: [INFO] Add SW39 footprint
14:37:38: [INFO] Add D39 footprint
14:37:38: [INFO] Add SW40 footprint
14:37:38: [INFO] Add D40 footprint
14:37:38: [INFO] Add SW41 footprint
14:37:38: [INFO] Add D41 footprint
14:37:38: [INFO] Add SW42 footprint
14:37:38: [INFO] Add D42 footprint
14:37:38: [INFO] Add SW43 footprint
14:37:38: [INFO] Add D43 footprint
14:37:38: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
14:37:38: [INFO] Add ST43 footprint
14:37:38: [INFO] Add SW44 footprint
14:37:38: [INFO] Add D44 footprint
14:37:38: [INFO] Add SW45 footprint
14:37:38: [INFO] Add D45 footprint
14:37:38: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
14:37:38: [INFO] Add ST45 footprint
14:37:38: [INFO] Add SW46 footprint
14:37:38: [INFO] Add D46 footprint
14:37:38: [INFO] Add SW47 footprint
14:37:38: [INFO] Add D47 footprint
14:37:38: [INFO] Add SW48 footprint
14:37:38: [INFO] Add D48 footprint
14:37:38: [INFO] Add SW49 footprint
14:37:38: [INFO] Add D49 footprint
14:37:38: [INFO] Add SW50 footprint
14:37:38: [INFO] Add D50 footprint
14:37:38: [INFO] Add SW51 footprint
14:37:38: [INFO] Add D51 footprint
14:37:38: [INFO] Add SW52 footprint
14:37:38: [INFO] Add D52 footprint
14:37:38: [INFO] Add SW53 footprint
14:37:38: [INFO] Add D53 footprint
14:37:38: [INFO] Add SW54 footprint
14:37:38: [INFO] Add D54 footprint
14:37:38: [INFO] Add SW55 footprint
14:37:38: [INFO] Add D55 footprint
14:37:38: [INFO] Add SW56 footprint
14:37:38: [INFO] Add D56 footprint
14:37:38: [INFO] Add SW57 footprint
14:37:38: [INFO] Add D57 footprint
14:37:38: [INFO] Add SW58 footprint
14:37:38: [INFO] Add D58 footprint
14:37:38: [INFO] Add SW59 footprint
14:37:38: [INFO] Add D59 footprint
14:37:38: [INFO] Add SW60 footprint
14:37:38: [INFO] Add D60 footprint
14:37:38: [INFO] Add SW61 footprint
14:37:38: [INFO] Add D61 footprint
14:37:38: [INFO] Add SW62 footprint
14:37:38: [INFO] Add D62 footprint
14:37:38: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
14:37:38: [INFO] Add ST62 footprint
14:37:38: [INFO] Add SW63 footprint
14:37:38: [INFO] Add D63 footprint
14:37:39: [INFO] Add SW64 footprint
14:37:39: [INFO] Add D64 footprint
14:37:39: [INFO] Add SW65 footprint
14:37:39: [INFO] Add D65 footprint
14:37:39: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
14:37:39: [INFO] Add ST65 footprint
14:37:39: [INFO] Add SW66 footprint
14:37:39: [INFO] Add D66 footprint
14:37:39: [INFO] Add SW67 footprint
14:37:39: [INFO] Add D67 footprint
14:37:39: [INFO] Add SW68 footprint
14:37:39: [INFO] Add D68 footprint
14:37:39: [INFO] Add SW69 footprint
14:37:39: [INFO] Add D69 footprint
14:37:39: [INFO] Detected layout convertible to matrix annotated keyboard
14:37:39: [INFO] Using key 1U distance: (19.05, 19.05) mm
14:37:39: [INFO] Layout offset: (33337500, 28575000)
14:37:39: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
14:37:39: [INFO] Placing additional elements for SW69
14:37:39: [INFO] Placing additional elements for SW68
14:37:39: [INFO] Placing additional elements for SW67
14:37:39: [INFO] Placing additional elements for SW66
14:37:39: [INFO] Placing additional elements for SW65
14:37:39: [INFO] Placing additional elements for SW64
14:37:39: [INFO] Placing additional elements for SW63
14:37:39: [INFO] Placing additional elements for SW62
14:37:39: [INFO] Placing additional elements for SW61
14:37:39: [INFO] Placing additional elements for SW60
14:37:39: [INFO] Placing additional elements for SW59
14:37:39: [INFO] Placing additional elements for SW58
14:37:39: [INFO] Placing additional elements for SW57
14:37:39: [INFO] Placing additional elements for SW56
14:37:39: [INFO] Placing additional elements for SW55
14:37:39: [INFO] Placing additional elements for SW54
14:37:39: [INFO] Placing additional elements for SW53
14:37:39: [INFO] Placing additional elements for SW52
14:37:39: [INFO] Placing additional elements for SW51
14:37:39: [INFO] Placing additional elements for SW50
14:37:39: [INFO] Placing additional elements for SW49
14:37:39: [INFO] Placing additional elements for SW48
14:37:39: [INFO] Placing additional elements for SW47
14:37:39: [INFO] Placing additional elements for SW46
14:37:39: [INFO] Placing additional elements for SW45
14:37:39: [INFO] Placing additional elements for SW44
14:37:39: [INFO] Placing additional elements for SW43
14:37:39: [INFO] Placing additional elements for SW42
14:37:39: [INFO] Placing additional elements for SW41
14:37:39: [INFO] Placing additional elements for SW40
14:37:39: [INFO] Placing additional elements for SW39
14:37:39: [INFO] Placing additional elements for SW38
14:37:39: [INFO] Placing additional elements for SW37
14:37:39: [INFO] Placing additional elements for SW36
14:37:39: [INFO] Placing additional elements for SW35
14:37:39: [INFO] Placing additional elements for SW34
14:37:39: [INFO] Placing additional elements for SW33
14:37:39: [INFO] Placing additional elements for SW32
14:37:39: [INFO] Placing additional elements for SW31
14:37:39: [INFO] Placing additional elements for SW30
14:37:39: [INFO] Placing additional elements for SW29
14:37:39: [INFO] Placing additional elements for SW28
14:37:39: [INFO] Placing additional elements for SW27
14:37:39: [INFO] Placing additional elements for SW26
14:37:39: [INFO] Placing additional elements for SW25
14:37:39: [INFO] Placing additional elements for SW24
14:37:39: [INFO] Placing additional elements for SW23
14:37:39: [INFO] Placing additional elements for SW22
14:37:39: [INFO] Placing additional elements for SW21
14:37:39: [INFO] Placing additional elements for SW20
14:37:39: [INFO] Placing additional elements for SW19
14:37:39: [INFO] Placing additional elements for SW18
14:37:39: [INFO] Placing additional elements for SW17
14:37:39: [INFO] Placing additional elements for SW16
14:37:39: [INFO] Placing additional elements for SW15
14:37:39: [INFO] Placing additional elements for SW14
14:37:39: [INFO] Placing additional elements for SW13
14:37:39: [INFO] Placing additional elements for SW12
14:37:39: [INFO] Placing additional elements for SW11
14:37:39: [INFO] Placing additional elements for SW10
14:37:39: [INFO] Placing additional elements for SW9
14:37:39: [INFO] Placing additional elements for SW8
14:37:39: [INFO] Placing additional elements for SW7
14:37:39: [INFO] Placing additional elements for SW6
14:37:39: [INFO] Placing additional elements for SW5
14:37:39: [INFO] Placing additional elements for SW4
14:37:39: [INFO] Placing additional elements for SW3
14:37:39: [INFO] Placing additional elements for SW2
14:37:39: [INFO] Placing additional elements for SW1
14:37:39: [INFO] Routing SW69 with D69
14:37:39: [INFO] Using internal autorouter method
14:37:39: [INFO] Routing pad 'SW69:2' at (376872500, 119697500) with pad 'D69:2' at (379412500, 127377500) using coordinate system rotated by 0 degree(s)
14:37:39: [INFO] Adding track segment (B.Cu): [(376872500, 119697500), (376872500, 124837500)]
14:37:39: [INFO] Adding track segment (B.Cu): [(376872500, 124837500), (379412500, 127377500)]
14:37:39: [INFO] Routing SW68 with D68
14:37:39: [INFO] Using internal autorouter method
14:37:39: [INFO] Routing pad 'SW68:2' at (357822500, 119697500) with pad 'D68:2' at (360362500, 127377500) using coordinate system rotated by 0 degree(s)
14:37:39: [INFO] Adding track segment (B.Cu): [(357822500, 119697500), (357822500, 124837500)]
14:37:39: [INFO] Adding track segment (B.Cu): [(357822500, 124837500), (360362500, 127377500)]
14:37:39: [INFO] Routing SW67 with D67
14:37:39: [INFO] Using internal autorouter method
14:37:39: [INFO] Routing pad 'SW67:2' at (338772500, 119697500) with pad 'D67:2' at (341312500, 127377500) using coordinate system rotated by 0 degree(s)
14:37:39: [INFO] Adding track segment (B.Cu): [(338772500, 119697500), (338772500, 124837500)]
14:37:39: [INFO] Adding track segment (B.Cu): [(338772500, 124837500), (341312500, 127377500)]
14:37:39: [INFO] Routing SW66 with D66
14:37:39: [INFO] Using internal autorouter method
14:37:39: [INFO] Routing pad 'SW66:2' at (275873862, 115778255) with pad 'D66:2' at (279202726, 123150680) using coordinate system rotated by 354.0 degree(s)
14:37:39: [INFO] Adding track segment (B.Cu): [(275873862, 115778255), (276411138, 120890097)]
14:37:39: [INFO] Adding track segment (B.Cu): [(276411138, 120890097), (279202726, 123150680)]
14:37:39: [INFO] Routing SW65 with D65
14:37:39: [INFO] Using internal autorouter method
14:37:39: [INFO] Routing pad 'SW65:2' at (240350783, 119511881) with pad 'D65:2' at (243679647, 126884306) using coordinate system rotated by 354.0 degree(s)
14:37:39: [INFO] Adding track segment (B.Cu): [(240350783, 119511881), (240888058, 124623722)]
14:37:39: [INFO] Adding track segment (B.Cu): [(240888058, 124623722), (243679647, 126884306)]
14:37:39: [INFO] Routing SW64 with D64
14:37:39: [INFO] Using internal autorouter method
14:37:39: [INFO] Routing pad 'SW64:2' at (204827704, 123245507) with pad 'D64:2' at (208156568, 130617932) using coordinate system rotated by 354.0 degree(s)
14:37:39: [INFO] Adding track segment (B.Cu): [(204827704, 123245507), (205364979, 128357348)]
14:37:39: [INFO] Adding track segment (B.Cu): [(205364979, 128357348), (208156568, 130617932)]
14:37:39: [INFO] Routing SW63 with D63
14:37:39: [INFO] Using internal autorouter method
14:37:39: [INFO] Routing pad 'SW63:2' at (179297714, 122132012) with pad 'D63:2' at (181021021, 130035442) using coordinate system rotated by 6.0 degree(s)
14:37:39: [INFO] Adding track segment (B.Cu): [(179297714, 122132012), (178760436, 127243853)]
14:37:39: [INFO] Adding track segment (B.Cu): [(178760436, 127243853), (181021021, 130035442)]
14:37:39: [INFO] Routing SW62 with D62
14:37:39: [INFO] Using internal autorouter method
