=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:34: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCICcA9wLgAQDYB0AmArAGgeWiAGFADm1wE94EiAWJHcAYyvAGIB2Tr8AXwYKwFwOCM0RtGkqb35YAjMIQR8CYigCcGPrgFyhIpi1YBDU2Zk75C2XLTgAulgBQYPFSLs5DSoRQEvuADuVHLoSNrgXvpKbogAtET+DGK4rFLSEV7WMSrq6ADMmfLRokZc3AzBiKHsWgxZdo4uyu4oGPQUrUm4KWxm5pUhKLURaIKKpeJp6cyj8hOxqm1oc3qK4GNy2ZOp-abrVQihmKuNzq4qREjs3l0B4IfHdbj54waP6M-gr9uLea9BIYnBg-X4fYEveRnZpQKjEBgqfJ+W7xGgoGjqZJGGazWR2WT5dYCGhErAYBznFqIJEQyJYfG4LyE+pYEks8lNC5UJEjBhjBkbLDM3BjNkiskUmEqNFkQxTPbGA5Ar6vYU7CQzJWIFYg1mS1yQKhxeG4FTsNoohBxULqCICJCk9ik4ik9T6qkIc28xlYB0sp0sl0st2cj3mzBY+V7CyCv0xXrTdIxsYB8VB8UhymLcOyw5oT4RV5x9UmaODaoF3Uu+z2IA
13:40:36: [INFO] Add SW24 footprint
13:40:36: [INFO] Add D24 footprint
13:40:36: [INFO] Add SW25 footprint
13:40:36: [INFO] Add D25 footprint
13:40:36: [INFO] Add SW26 footprint
13:40:36: [INFO] Add D26 footprint
13:40:36: [INFO] Add SW27 footprint
13:40:36: [INFO] Add D27 footprint
13:40:36: [INFO] Add SW28 footprint
13:40:36: [INFO] Add D28 footprint
13:40:36: [INFO] Add SW29 footprint
13:40:36: [INFO] Add D29 footprint
13:40:36: [INFO] Add SW30 footprint
13:40:36: [INFO] Add D30 footprint
13:40:36: [INFO] Add SW31 footprint
13:40:36: [INFO] Add D31 footprint
13:40:36: [INFO] Add SW32 footprint
13:40:36: [INFO] Add D32 footprint
13:40:36: [INFO] Add SW33 footprint
13:40:36: [INFO] Add D33 footprint
13:40:36: [INFO] Add SW34 footprint
13:40:36: [INFO] Add D34 footprint
13:40:36: [INFO] Add SW35 footprint
13:40:36: [INFO] Add D35 footprint
13:40:36: [INFO] Add SW36 footprint
13:40:37: [INFO] Add D36 footprint
13:40:37: [INFO] Add SW37 footprint
13:40:37: [INFO] Add D37 footprint
13:40:37: [INFO] Add SW38 footprint
13:40:37: [INFO] Add D38 footprint
13:40:37: [INFO] Add SW39 footprint
13:40:37: [INFO] Add D39 footprint
13:40:37: [INFO] Add SW40 footprint
13:40:37: [INFO] Add D40 footprint
13:40:37: [INFO] Add SW41 footprint
13:40:37: [INFO] Add D41 footprint
13:40:37: [INFO] Add SW42 footprint
13:40:37: [INFO] Add D42 footprint
13:40:37: [INFO] Add ST42 footprint
13:40:37: [INFO] Add SW43 footprint
13:40:37: [INFO] Add D43 footprint
13:40:37: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:40:37: [INFO] Add ST43 footprint
13:40:37: [INFO] Add SW44 footprint
13:40:37: [INFO] Add D44 footprint
13:40:37: [INFO] Add SW45 footprint
13:40:37: [INFO] Add D45 footprint
13:40:37: [INFO] Add SW46 footprint
13:40:37: [INFO] Add D46 footprint
13:40:37: [INFO] Detected layout convertible to matrix annotated keyboard
13:40:37: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:40:37: [INFO] Layout offset: (26670000, 19812000)
13:40:37: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:40:37: [INFO] Placing additional elements for SW46
13:40:37: [INFO] Placing additional elements for SW45
13:40:37: [INFO] Placing additional elements for SW44
13:40:37: [INFO] Placing additional elements for SW43
13:40:37: [INFO] Placing additional elements for SW42
13:40:37: [INFO] Placing additional elements for SW41
13:40:37: [INFO] Placing additional elements for SW40
13:40:37: [INFO] Placing additional elements for SW39
13:40:37: [INFO] Placing additional elements for SW38
13:40:37: [INFO] Placing additional elements for SW37
13:40:37: [INFO] Placing additional elements for SW36
13:40:37: [INFO] Placing additional elements for SW35
13:40:37: [INFO] Placing additional elements for SW34
13:40:37: [INFO] Placing additional elements for SW33
13:40:37: [INFO] Placing additional elements for SW32
13:40:37: [INFO] Placing additional elements for SW31
13:40:37: [INFO] Placing additional elements for SW30
13:40:37: [INFO] Placing additional elements for SW29
13:40:37: [INFO] Placing additional elements for SW28
13:40:37: [INFO] Placing additional elements for SW27
13:40:37: [INFO] Placing additional elements for SW26
13:40:37: [INFO] Placing additional elements for SW25
13:40:37: [INFO] Placing additional elements for SW24
13:40:37: [INFO] Placing additional elements for SW23
13:40:37: [INFO] Placing additional elements for SW22
13:40:37: [INFO] Placing additional elements for SW21
13:40:37: [INFO] Placing additional elements for SW20
13:40:37: [INFO] Placing additional elements for SW19
13:40:37: [INFO] Placing additional elements for SW18
13:40:37: [INFO] Placing additional elements for SW17
13:40:37: [INFO] Placing additional elements for SW16
13:40:37: [INFO] Placing additional elements for SW15
13:40:37: [INFO] Placing additional elements for SW14
13:40:37: [INFO] Placing additional elements for SW13
13:40:37: [INFO] Placing additional elements for SW12
13:40:37: [INFO] Placing additional elements for SW11
13:40:37: [INFO] Placing additional elements for SW10
13:40:37: [INFO] Placing additional elements for SW9
13:40:37: [INFO] Placing additional elements for SW8
13:40:37: [INFO] Placing additional elements for SW7
13:40:37: [INFO] Placing additional elements for SW6
13:40:37: [INFO] Placing additional elements for SW5
13:40:37: [INFO] Placing additional elements for SW4
13:40:37: [INFO] Placing additional elements for SW3
13:40:37: [INFO] Placing additional elements for SW2
13:40:37: [INFO] Placing additional elements for SW1
13:40:37: [INFO] Routing SW46 with D46
13:40:37: [INFO] Using internal autorouter method
13:40:37: [INFO] Routing pad 'SW46:2' at (421544750, 90741500) with pad 'D46:2' at (424084750, 98421500) using coordinate system rotated by 0 degree(s)
13:40:37: [INFO] Adding track segment (B.Cu): [(421544750, 90741500), (421544750, 95881500)]
13:40:37: [INFO] Adding track segment (B.Cu): [(421544750, 95881500), (424084750, 98421500)]
13:40:37: [INFO] Routing SW45 with D45
13:40:37: [INFO] Using internal autorouter method
13:40:37: [INFO] Routing pad 'SW45:2' at (397732250, 90741500) with pad 'D45:2' at (400272250, 98421500) using coordinate system rotated by 0 degree(s)
13:40:37: [INFO] Adding track segment (B.Cu): [(397732250, 90741500), (397732250, 95881500)]
13:40:37: [INFO] Adding track segment (B.Cu): [(397732250, 95881500), (400272250, 98421500)]
13:40:37: [INFO] Routing SW44 with D44
13:40:37: [INFO] Using internal autorouter method
13:40:37: [INFO] Routing pad 'SW44:2' at (353391911, 93225855) with pad 'D44:2' at (356976041, 100477613) using coordinate system rotated by 352.0 degree(s)
13:40:37: [INFO] Adding track segment (B.Cu): [(353391911, 93225855), (354107259, 98315831)]
13:40:37: [INFO] Adding track segment (B.Cu): [(354107259, 98315831), (356976041, 100477613)]
13:40:37: [INFO] Routing SW43 with D43
13:40:37: [INFO] Using internal autorouter method
13:40:37: [INFO] Routing pad 'SW43:2' at (320378850, 97865538) with pad 'D43:2' at (323962980, 105117296) using coordinate system rotated by 352.0 degree(s)
13:40:37: [INFO] Adding track segment (B.Cu): [(320378850, 97865538), (321094198, 102955514)]
13:40:37: [INFO] Adding track segment (B.Cu): [(321094198, 102955514), (323962980, 105117296)]
13:40:37: [INFO] Routing SW42 with D42
13:40:37: [INFO] Using internal autorouter method
13:40:37: [INFO] Routing pad 'SW42:2' at (267011509, 99056983) with pad 'D42:2' at (268457940, 107015741) using coordinate system rotated by 8.0 degree(s)
13:40:37: [INFO] Adding track segment (B.Cu): [(267011509, 99056983), (266296158, 104146960)]
13:40:37: [INFO] Adding track segment (B.Cu): [(266296158, 104146960), (268457940, 107015741)]
13:40:37: [INFO] Routing SW41 with D41
13:40:37: [INFO] Using internal autorouter method
