=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:39:21: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreAvgGgQBi7uDhNPEpBZZjuPgIxF5YBMjtWAzG-gCzdYBWfgDZ+yfgA5+ATn51CxKLASIAhuo3rqTOgwC6WAFBhwAd2V0AdAOwI6BRiWXlKFbeHusa9rt6x8-IT9RP3E-KT9ZP3lHJTIUNFQ2c3grG2j9IxNSFU1Nd2YHGkKGRRyXVwKWNkLfBEKA+sEarBCmsKaIpqimmLLnNTytW3ASzONwDiKEKdKZ6sUUuDSRqbqneMSkmiWVmimguAhd61XW2PLBoeSLU-2sLsmsHqe++d1wPT0gA
13:39:24: [INFO] Adding track segment (B.Cu): [(78740000, 95310000), (81280000, 97850000)]
13:39:24: [INFO] Routing SW37 with D37
13:39:24: [INFO] Using internal autorouter method
13:39:24: [INFO] Routing pad 'SW37:2' at (59690000, 90170000) with pad 'D37:2' at (62230000, 97850000) using coordinate system rotated by 0 degree(s)
13:39:24: [INFO] Adding track segment (B.Cu): [(59690000, 90170000), (59690000, 95310000)]
13:39:24: [INFO] Adding track segment (B.Cu): [(59690000, 95310000), (62230000, 97850000)]
13:39:24: [INFO] Routing SW36 with D36
13:39:24: [INFO] Using internal autorouter method
13:39:24: [INFO] Routing pad 'SW36:2' at (40640000, 90170000) with pad 'D36:2' at (43180000, 97850000) using coordinate system rotated by 0 degree(s)
13:39:24: [INFO] Adding track segment (B.Cu): [(40640000, 90170000), (40640000, 95310000)]
13:39:24: [INFO] Adding track segment (B.Cu): [(40640000, 95310000), (43180000, 97850000)]
13:39:24: [INFO] Routing SW35 with D35
13:39:24: [INFO] Using internal autorouter method
13:39:24: [INFO] Routing pad 'SW35:2' at (250190000, 71120000) with pad 'D35:2' at (252730000, 78800000) using coordinate system rotated by 0 degree(s)
13:39:24: [INFO] Adding track segment (B.Cu): [(250190000, 71120000), (250190000, 76260000)]
13:39:24: [INFO] Adding track segment (B.Cu): [(250190000, 76260000), (252730000, 78800000)]
13:39:24: [INFO] Routing SW34 with D34
13:39:24: [INFO] Using internal autorouter method
13:39:24: [INFO] Routing pad 'SW34:2' at (231140000, 71120000) with pad 'D34:2' at (233680000, 78800000) using coordinate system rotated by 0 degree(s)
13:39:24: [INFO] Adding track segment (B.Cu): [(231140000, 71120000), (231140000, 76260000)]
13:39:24: [INFO] Adding track segment (B.Cu): [(231140000, 76260000), (233680000, 78800000)]
13:39:24: [INFO] Routing SW33 with D33
13:39:24: [INFO] Using internal autorouter method
13:39:24: [INFO] Routing pad 'SW33:2' at (212090000, 71120000) with pad 'D33:2' at (214630000, 78800000) using coordinate system rotated by 0 degree(s)
13:39:24: [INFO] Adding track segment (B.Cu): [(212090000, 71120000), (212090000, 76260000)]
13:39:24: [INFO] Adding track segment (B.Cu): [(212090000, 76260000), (214630000, 78800000)]
13:39:24: [INFO] Routing SW32 with D32
13:39:24: [INFO] Using internal autorouter method
13:39:24: [INFO] Routing pad 'SW32:2' at (193040000, 71120000) with pad 'D32:2' at (195580000, 78800000) using coordinate system rotated by 0 degree(s)
13:39:24: [INFO] Adding track segment (B.Cu): [(193040000, 71120000), (193040000, 76260000)]
13:39:24: [INFO] Adding track segment (B.Cu): [(193040000, 76260000), (195580000, 78800000)]
13:39:24: [INFO] Routing SW31 with D31
13:39:24: [INFO] Using internal autorouter method
13:39:24: [INFO] Routing pad 'SW31:2' at (173990000, 71120000) with pad 'D31:2' at (176530000, 78800000) using coordinate system rotated by 0 degree(s)
13:39:24: [INFO] Adding track segment (B.Cu): [(173990000, 71120000), (173990000, 76260000)]
13:39:24: [INFO] Adding track segment (B.Cu): [(173990000, 76260000), (176530000, 78800000)]
13:39:24: [INFO] Routing SW30 with D30
13:39:24: [INFO] Using internal autorouter method
13:39:24: [INFO] Routing pad 'SW30:2' at (154940000, 71120000) with pad 'D30:2' at (157480000, 78800000) using coordinate system rotated by 0 degree(s)
13:39:24: [INFO] Adding track segment (B.Cu): [(154940000, 71120000), (154940000, 76260000)]
13:39:24: [INFO] Adding track segment (B.Cu): [(154940000, 76260000), (157480000, 78800000)]
13:39:24: [INFO] Routing SW29 with D29
13:39:24: [INFO] Using internal autorouter method
13:39:24: [INFO] Routing pad 'SW29:2' at (135890000, 71120000) with pad 'D29:2' at (138430000, 78800000) using coordinate system rotated by 0 degree(s)
13:39:24: [INFO] Adding track segment (B.Cu): [(135890000, 71120000), (135890000, 76260000)]
13:39:24: [INFO] Adding track segment (B.Cu): [(135890000, 76260000), (138430000, 78800000)]
13:39:24: [INFO] Routing SW28 with D28
13:39:24: [INFO] Using internal autorouter method
13:39:24: [INFO] Routing pad 'SW28:2' at (116840000, 71120000) with pad 'D28:2' at (119380000, 78800000) using coordinate system rotated by 0 degree(s)
13:39:24: [INFO] Adding track segment (B.Cu): [(116840000, 71120000), (116840000, 76260000)]
13:39:24: [INFO] Adding track segment (B.Cu): [(116840000, 76260000), (119380000, 78800000)]
13:39:24: [INFO] Routing SW27 with D27
13:39:24: [INFO] Using internal autorouter method
13:39:24: [INFO] Routing pad 'SW27:2' at (97790000, 71120000) with pad 'D27:2' at (100330000, 78800000) using coordinate system rotated by 0 degree(s)
13:39:24: [INFO] Adding track segment (B.Cu): [(97790000, 71120000), (97790000, 76260000)]
13:39:24: [INFO] Adding track segment (B.Cu): [(97790000, 76260000), (100330000, 78800000)]
13:39:24: [INFO] Routing SW26 with D26
13:39:24: [INFO] Using internal autorouter method
13:39:24: [INFO] Routing pad 'SW26:2' at (78740000, 71120000) with pad 'D26:2' at (81280000, 78800000) using coordinate system rotated by 0 degree(s)
13:39:24: [INFO] Adding track segment (B.Cu): [(78740000, 71120000), (78740000, 76260000)]
13:39:24: [INFO] Adding track segment (B.Cu): [(78740000, 76260000), (81280000, 78800000)]
13:39:24: [INFO] Routing SW25 with D25
13:39:24: [INFO] Using internal autorouter method
13:39:24: [INFO] Routing pad 'SW25:2' at (59690000, 71120000) with pad 'D25:2' at (62230000, 78800000) using coordinate system rotated by 0 degree(s)
