=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:46: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwCYB0SCsAaO4Ces4AGNLHAYwPAGIBDO+8AX23EMwQGYAdAO197YJwLQQBZ+fHoPABdTACgweAsQwsK8agHYdupiMyFhcCBpxUylq-pzSDSY60wdHbUa8zoPANg9aPABweAJweCEYGCEKRDtimlLT0dI4A7gRIzLbs3JIChsbxmhZWljZOCF5x4GnwxFqk4AAWKij1meAc7A5yihDQ8AjeLPjwALSqDTVErQ3NtTPtol2yCkojcOMz6glJySxTCCjo7Qj5VWbUJaUn7I6nsTinLiyn7i+ed5i+7-7vQe+hd7hT5REEPCAHI43Tggrw9JQXRJJVIEQ5tFhIM4mcCIq4UdqY6I4TEPcCY57EzBvSmVSnfSm-Sn-SmAynAjHsImFcy6PT7dIkAnZAo4hJ4sqEuGrbnUXY0FHwVAYdqdCLY3FXMqdUmdCkdKmOTq0-X0-WM-XM-Ws-XsnCdUHnHa7BWIBYse0UmVUXk6LXsale8Uq9hS3qiopyl2HZUsJaECS8U5qiGowWxzBIBM8JMiyExnBLHISHOOori-nwbxpgtfLMl9VO5EV1358BLAJ1rEpgbVtuczvJqAtBqIn3+RbC9MIal9iorMPrCbbCPO5vR47p+O5bO3Kp5jc1zPb05c6qp1uFzunjUlF1Kg999BX3Pnh9LbzPvcC9E1rSfhsrk2OD7hOHbHru2IgVOCDPvC3Ytm+hiduCZ49heGbIS+aGIUWkj3CKN7WM294Tk+4EoVMqA-n2H7kVhCETn+dGluYkZrr27aYV+2ETlEmFwahrqIVuxbOI4SxHqJnqCYcOGdtJhGlM2WgTrRUkEY2DDsYhfHgS4MgyEAA
13:32:47: [INFO] Add Net-(D72-A) net
13:32:47: [INFO] Add Net-(D8-A) net
13:32:47: [INFO] Add Net-(D9-A) net
13:32:47: [INFO] Add ROW0 net
13:32:47: [INFO] Add ROW1 net
13:32:47: [INFO] Add ROW2 net
13:32:47: [INFO] Add ROW3 net
13:32:47: [INFO] Add ROW4 net
13:32:47: [INFO] Add SW1 footprint
13:32:47: [INFO] Add D1 footprint
13:32:47: [INFO] Add SW2 footprint
13:32:47: [INFO] Add D2 footprint
13:32:47: [INFO] Add SW3 footprint
13:32:47: [INFO] Add D3 footprint
13:32:47: [INFO] Add SW4 footprint
13:32:47: [INFO] Add D4 footprint
13:32:47: [INFO] Add SW5 footprint
13:32:47: [INFO] Add D5 footprint
13:32:47: [INFO] Add SW6 footprint
13:32:47: [INFO] Add D6 footprint
13:32:47: [INFO] Add SW7 footprint
13:32:47: [INFO] Add D7 footprint
13:32:47: [INFO] Add SW8 footprint
13:32:47: [INFO] Add D8 footprint
13:32:47: [INFO] Add SW9 footprint
13:32:47: [INFO] Add D9 footprint
13:32:47: [INFO] Add SW10 footprint
13:32:47: [INFO] Add D10 footprint
13:32:47: [INFO] Add SW11 footprint
13:32:48: [INFO] Add D11 footprint
13:32:48: [INFO] Add SW12 footprint
13:32:48: [INFO] Add D12 footprint
13:32:48: [INFO] Add SW13 footprint
13:32:48: [INFO] Add D13 footprint
13:32:48: [INFO] Add SW14 footprint
13:32:48: [INFO] Add D14 footprint
13:32:48: [INFO] Add ST14 footprint
13:32:48: [INFO] Add SW14a footprint
13:32:48: [INFO] Add SW15 footprint
13:32:48: [INFO] Add D15 footprint
13:32:48: [INFO] Add SW16 footprint
13:32:48: [INFO] Add D16 footprint
