=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:23: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareANAg7rOAmAXy3AGYMBGAVgB0A7e+8-TOCaeJSbn8YhZowZ1mrMhlJCmGFiXIAWKSJljytYdNkCMANiWi5GAOz6VhgBymt4gJxXVlAAz3DFCvYC6GAFBgoeJDR0Elx4CgA6fCp+cWpTClZ2AMQeXhjydw1lBMN8eIdJLIyHRSLKB3UhYsM9MpztEzqHSybDO1btCmcmr18IAE88R0iqEg4ERCMp6b4SRwxHRP9OFNToGPn68HnredIxefkDjCpjnWOjY-Njm2Ouu63NrSSVoNQxUIINykKhecWsBAAB5DEZjZJrdZzH5KTZ3Up-cqA8Ag+DDKLfCi-YQ7JYAZwAtgEAE4AewALgB9ACmkDcswQmwROJkSiU1MWvT840CbzEhICHzwEWiJAoCyWPNWqQZ4HFW3F1nF+zFGCOqtOqvOqsuquuqtuqvuRoVlGeywmb2QQrC4VFCHl2Po+AlyNRcAiUXBK2mMxCwrBCAAFngXTgWLbRsGIx6SECYwBadH28AurFKNNLd0ReYIKVWm0eu0xR0ZsxsFEB3PgT4ikswrIu-ZciC18JGFNpyrCcUAitSyGyzMkF3WJtiF3qhAuzXT3QT4wL-Vzw1z41r+ovCa+qaF-AjGJpp10F194Ggr15iFrIdmsubyuRw93xvlrdIHe6nABjEjhtCUcswvKMLS4G9-VtX81zyV8VX7ZJP1vdNYKAtFA1AlA+QgotLxrGMIg7EgABs8HJYkAFdqWfOIsnlcAWxrUMD1cbtpDPDDB3SVkyj7cRj3IXiFFMQSTmEhxaiqV0GjEiwZO0dpJJEro5NiTIhHkKT30woI93bFMMhg9TNMfOBk29CZONcNThA0h98yw79bQ7LiKEMmykU6Zl6Fs1DTPQttnKspQNOsAzgvLWIvLoELfOTFzrO8iRYr0ly3MSuDIvCuDzzQ3CBxveLwqnLSC2wgj9JfIzivAAVODJKlaXpFyoo0qL2Qfd0zIQWqEELcrCqyDTZ1iNLopOfEiTqikaTpBJmvC1isnoakOuAkgevAWUMgSsbtQrTqUtcUaNL2iANvqmamtcFrdDZLIVvonxuWvGV1sm3qSGteAjGw0g9JIAATUiKKokhfITP7CIQL64A0xy4EhkCgfgMjKJiJRRnY90If+q9XgcxjIJTWzFp0Yy2yg8BbKUMn2Ip4nuKEWnJRe3hsJ0ZiEBOjHjPsnSys5qmnCUH66Z-Bm3BF8nxZiWzj1FpZ6dlygooVhj8te+HEcB4G0ZIHmH0+fdAq5tUDZZ-H+fhz0GYk4RRjs1nuF0ymNJaIQHd8m3sOGKHwGRuBUdBhBwq-Eq+Rc0OHFcqPrqj9WnegX7cf93Xg-AHnzSNwXWszi3LQJpWSG5rJRnNDW2fh42Gfd+23xM734d9pG0-RwaMGXcOdMj9vlxG8LO5q97wAuxq5rj3u7qEB6E5WQc3sFbC4dTlGQbbj2kuRT4dGVu36FGZsntbPBl4DoP17r6rPiMXeeaOBjPlP1v9dL8at6Yk2hai0ZZy74JreLMXW6r9f4cXAlXQ6pta773Gg-E+OtV56xDq-U6hMEbK2-vOZEfN0C3xQfnMCms0GkGVtAugoxzhwPgE-RB6ceZh2IRg+hBDtL-yHiSaaY9ZQlw3o0KedBqTl0TvyYehYSFALIaMS4VCCB2gQYHNeL8N6D1rI4PByjHp9AwqVABEtSYeSFjtMmhsZZANGsY3yHNcJF1NspLIP0TFE2VpLexBi5ZS0cUWCWqtygyJts4-RWdTG2JpvXNsDNzH13dBzNRQC7FCB+tYWyO1EliFsqNVJcT5YRVsj4lgfjAG2P0RlamWQybZTQXWMxoSKnRPCLE2x3QEmbwrOE5xKSWnHycVkqWFSbGGJ8YfLR-SSahKvsEwxYzfJGEKYYppwgfrjKfHEjpU5DHZKWV45xPj75H0qbM0ZZS34hKOaA90MyQIV2dvI8+SiFnHL-u8dpUthrpJeWk-89zXkq3eQxbM1YrlJwQGfRRyDmmoJwe8AWEsOmoJGZ8+gP04UTNyVLShez-nmUIZXFeCikEZ1cQwyF1poXPMJR85CzSGFtLiT46RGLhQAuEdhfcLdaEX0RR3FhOj9muwRXQH6KiUU-NcdcP5jKsXShxdnNleK6GuNXI860zjsmKv2d4qWtwPAeCAA
13:28:24: [INFO] Add Net-(D64-A) net
13:28:24: [INFO] Add Net-(D65-A) net
13:28:24: [INFO] Add Net-(D66-A) net
13:28:24: [INFO] Add Net-(D67-A) net
13:28:24: [INFO] Add Net-(D68-A) net
13:28:24: [INFO] Add Net-(D7-A) net
13:28:24: [INFO] Add Net-(D8-A) net
13:28:24: [INFO] Add Net-(D9-A) net
13:28:24: [INFO] Add ROW0 net
13:28:24: [INFO] Add ROW1 net
13:28:24: [INFO] Add ROW2 net
13:28:24: [INFO] Add ROW3 net
13:28:24: [INFO] Add ROW4 net
13:28:24: [INFO] Add SW1 footprint
13:28:24: [INFO] Add D1 footprint
13:28:24: [INFO] Add SW2 footprint
13:28:24: [INFO] Add D2 footprint
13:28:24: [INFO] Add SW3 footprint
13:28:24: [INFO] Add D3 footprint
13:28:24: [INFO] Add SW4 footprint
13:28:24: [INFO] Add D4 footprint
13:28:24: [INFO] Add SW5 footprint
13:28:24: [INFO] Add D5 footprint
13:28:24: [INFO] Add SW6 footprint
13:28:24: [INFO] Add D6 footprint
13:28:24: [INFO] Add SW7 footprint
13:28:24: [INFO] Add D7 footprint
13:28:24: [INFO] Add SW8 footprint
13:28:24: [INFO] Add D8 footprint
13:28:24: [INFO] Add SW9 footprint
13:28:24: [INFO] Add D9 footprint
13:28:24: [INFO] Add SW10 footprint
13:28:24: [INFO] Add D10 footprint
13:28:24: [INFO] Add SW11 footprint
13:28:24: [INFO] Add D11 footprint
13:28:24: [INFO] Add SW12 footprint
13:28:24: [INFO] Add D12 footprint
13:28:24: [INFO] Add SW13 footprint
13:28:24: [INFO] Add D13 footprint
13:28:25: [INFO] Add SW14 footprint
13:28:25: [INFO] Add D14 footprint
13:28:25: [INFO] Add ST14 footprint
13:28:25: [INFO] Add SW14a footprint
13:28:25: [INFO] Add SW15 footprint
13:28:25: [INFO] Add D15 footprint
13:28:25: [INFO] Add SW15a footprint
13:28:25: [INFO] Add SW16 footprint
13:28:25: [INFO] Add D16 footprint
13:28:25: [INFO] Add SW17 footprint
13:28:25: [INFO] Add D17 footprint
13:28:25: [INFO] Add SW18 footprint
13:28:25: [INFO] Add D18 footprint
13:28:25: [INFO] Add SW19 footprint
13:28:25: [INFO] Add D19 footprint
13:28:25: [INFO] Add SW20 footprint
13:28:25: [INFO] Add D20 footprint
13:28:25: [INFO] Add SW21 footprint
13:28:25: [INFO] Add D21 footprint
13:28:25: [INFO] Add SW22 footprint
13:28:25: [INFO] Add D22 footprint
13:28:25: [INFO] Add SW23 footprint
13:28:25: [INFO] Add D23 footprint
13:28:25: [INFO] Add SW24 footprint
13:28:25: [INFO] Add D24 footprint
13:28:25: [INFO] Add SW25 footprint
13:28:25: [INFO] Add D25 footprint
13:28:25: [INFO] Add SW26 footprint
13:28:25: [INFO] Add D26 footprint
13:28:25: [INFO] Add SW27 footprint
13:28:25: [INFO] Add D27 footprint
13:28:25: [INFO] Add SW28 footprint
13:28:25: [INFO] Add D28 footprint
13:28:25: [INFO] Add SW29 footprint
13:28:26: [INFO] Add D29 footprint
13:28:26: [INFO] Add SW30 footprint
13:28:26: [INFO] Add D30 footprint
13:28:26: [INFO] Add SW31 footprint
13:28:26: [INFO] Add D31 footprint
13:28:26: [INFO] Add SW32 footprint
13:28:26: [INFO] Add D32 footprint
13:28:26: [INFO] Add SW33 footprint
13:28:26: [INFO] Add D33 footprint
13:28:26: [INFO] Add SW34 footprint
13:28:26: [INFO] Add D34 footprint
13:28:26: [INFO] Add SW35 footprint
13:28:26: [INFO] Add D35 footprint
13:28:26: [INFO] Add SW36 footprint
13:28:26: [INFO] Add D36 footprint
13:28:26: [INFO] Add SW37 footprint
13:28:26: [INFO] Add D37 footprint
13:28:26: [INFO] Add SW38 footprint
13:28:26: [INFO] Add D38 footprint
13:28:26: [INFO] Add SW39 footprint
13:28:26: [INFO] Add D39 footprint
13:28:26: [INFO] Add SW40 footprint
13:28:26: [INFO] Add D40 footprint
13:28:26: [INFO] Add SW41 footprint
13:28:26: [INFO] Add D41 footprint
13:28:26: [INFO] Add SW41a footprint
13:28:26: [INFO] Add SW42 footprint
13:28:26: [INFO] Add D42 footprint
13:28:26: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
