=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:39:33: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwBYB0BWANHcBjW2BiAQxNPAF8twkMAmAHQDsmmBmDABnCwgGcBbfOABOAewAuAfQCmOBAgpUaDZqvYIWqzU2lcAuhgBQYKPlroqAT3wcUtTNgFDu2AO74E6Stg6cXEPHhwAhxQsMUfDAUqX1oXcF9WeN8kZIw0NIA2eJpspXScjFT8pJ5cIWJSEnj3eE80b3BMOINjCGh4cwdwWsQUAHYGqgQ-MsDCMPDGkejsEbjhjFK5oviRjMW87EwtpoKqTGK4AIr+s-Oaszsh7aXtRl8uMo64W3tGmg0tB6j-Ho9ro1MKx7r4FK0TONglVqlRep53lRaJx7jN4sivpo0c8bNc4VdEdhkRxUaNjuUgiFJnhGplfkilujVgyNkSMLs6Rz9tg6UdwHTlidKTCiJc6gMbvy6OAIe0rt14YCqOwnrdMapifF1PdNWMKtS8Pj4Jkldh2GgdWShYQRWK+oTwOxlo7pWVFQ7kS0jCYXqwJVZcQ7MOqmBi-u7JdrvmG9ZSDXbzA72EhLbMXRbo-Tyb1zINGuxMqmZXogA
13:39:33: [INFO] Add Net-(D36-A) net
13:39:33: [INFO] Add Net-(D37-A) net
13:39:33: [INFO] Add Net-(D38-A) net
13:39:33: [INFO] Add Net-(D39-A) net
13:39:33: [INFO] Add Net-(D4-A) net
13:39:33: [INFO] Add Net-(D40-A) net
13:39:33: [INFO] Add Net-(D41-A) net
13:39:33: [INFO] Add Net-(D42-A) net
13:39:33: [INFO] Add Net-(D43-A) net
13:39:33: [INFO] Add Net-(D44-A) net
13:39:33: [INFO] Add Net-(D45-A) net
13:39:33: [INFO] Add Net-(D46-A) net
13:39:33: [INFO] Add Net-(D5-A) net
13:39:33: [INFO] Add Net-(D6-A) net
13:39:33: [INFO] Add Net-(D7-A) net
13:39:33: [INFO] Add Net-(D8-A) net
13:39:33: [INFO] Add Net-(D9-A) net
13:39:33: [INFO] Add ROW0 net
13:39:33: [INFO] Add ROW1 net
13:39:33: [INFO] Add ROW2 net
13:39:33: [INFO] Add ROW3 net
13:39:33: [INFO] Add ROW4 net
13:39:33: [INFO] Add ROW5 net
13:39:33: [INFO] Add ROW6 net
13:39:33: [INFO] Add SW1 footprint
13:39:33: [INFO] Add D1 footprint
13:39:33: [INFO] Add SW2 footprint
13:39:33: [INFO] Add D2 footprint
13:39:33: [INFO] Add SW3 footprint
13:39:33: [INFO] Add D3 footprint
13:39:33: [INFO] Add SW4 footprint
13:39:34: [INFO] Add D4 footprint
13:39:34: [INFO] Add SW5 footprint
13:39:34: [INFO] Add D5 footprint
13:39:34: [INFO] Add SW6 footprint
13:39:34: [INFO] Add D6 footprint
13:39:34: [INFO] Add SW7 footprint
13:39:34: [INFO] Add D7 footprint
13:39:34: [INFO] Add SW8 footprint
13:39:34: [INFO] Add D8 footprint
13:39:34: [INFO] Add SW9 footprint
13:39:34: [INFO] Add D9 footprint
13:39:34: [INFO] Add SW10 footprint
13:39:34: [INFO] Add D10 footprint
13:39:34: [INFO] Add SW11 footprint
13:39:34: [INFO] Add D11 footprint
13:39:34: [INFO] Add SW12 footprint
13:39:34: [INFO] Add D12 footprint
13:39:34: [INFO] Add SW13 footprint
13:39:34: [INFO] Add D13 footprint
13:39:34: [INFO] Add SW14 footprint
13:39:34: [INFO] Add D14 footprint
13:39:34: [INFO] Add SW15 footprint
13:39:34: [INFO] Add D15 footprint
13:39:34: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:39:34: [INFO] Add ST15 footprint
13:39:34: [INFO] Add SW15a footprint
13:39:34: [INFO] Add SW16 footprint
13:39:34: [INFO] Add D16 footprint
13:39:34: [INFO] Add SW17 footprint
13:39:34: [INFO] Add D17 footprint
13:39:34: [INFO] Add SW18 footprint
13:39:34: [INFO] Add D18 footprint
13:39:34: [INFO] Add SW19 footprint
13:39:34: [INFO] Add D19 footprint
13:39:35: [INFO] Add SW20 footprint
13:39:35: [INFO] Add D20 footprint
13:39:35: [INFO] Add SW21 footprint
13:39:35: [INFO] Add D21 footprint
13:39:35: [INFO] Add SW22 footprint
13:39:35: [INFO] Add D22 footprint
13:39:35: [INFO] Add SW23 footprint
13:39:35: [INFO] Add D23 footprint
13:39:35: [INFO] Add SW23a footprint
13:39:35: [INFO] Add SW24 footprint
13:39:35: [INFO] Add D24 footprint
13:39:35: [INFO] Add SW25 footprint
13:39:35: [INFO] Add D25 footprint
13:39:35: [INFO] Add SW26 footprint
13:39:35: [INFO] Add D26 footprint
13:39:35: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:39:35: [INFO] Add ST26 footprint
13:39:35: [INFO] Add SW27 footprint
13:39:35: [INFO] Add D27 footprint
13:39:35: [INFO] Add ST27 footprint
13:39:35: [INFO] Add SW27a footprint
13:39:35: [INFO] Add SW28 footprint
13:39:35: [INFO] Add D28 footprint
13:39:35: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:39:35: [INFO] Add ST28 footprint
13:39:35: [INFO] Add SW29 footprint
13:39:35: [INFO] Add D29 footprint
13:39:35: [INFO] Add SW30 footprint
13:39:35: [INFO] Add D30 footprint
13:39:35: [INFO] Add SW30a footprint
13:39:35: [INFO] Add SW31 footprint
13:39:35: [INFO] Add D31 footprint
13:39:35: [INFO] Add SW32 footprint
13:39:35: [INFO] Add D32 footprint
13:39:35: [INFO] Add SW33 footprint
13:39:35: [INFO] Add D33 footprint
13:39:35: [INFO] Add SW34 footprint
13:39:35: [INFO] Add D34 footprint
13:39:35: [INFO] Add SW35 footprint
13:39:36: [INFO] Add D35 footprint
13:39:36: [INFO] Add SW36 footprint
13:39:36: [INFO] Add D36 footprint
13:39:36: [INFO] Add SW37 footprint
13:39:36: [INFO] Add D37 footprint
13:39:36: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:39:36: [INFO] Add ST37 footprint
13:39:36: [INFO] Add SW37a footprint
13:39:36: [INFO] Add SW38 footprint
13:39:36: [INFO] Add D38 footprint
13:39:36: [INFO] Add SW39 footprint
13:39:36: [INFO] Add D39 footprint
13:39:36: [INFO] Add SW40 footprint
13:39:36: [INFO] Add D40 footprint
13:39:36: [INFO] Add SW41 footprint
13:39:36: [INFO] Add D41 footprint
13:39:36: [INFO] Add SW42 footprint
13:39:36: [INFO] Add D42 footprint
13:39:36: [INFO] Add SW43 footprint
13:39:36: [INFO] Add D43 footprint
13:39:36: [INFO] Add SW44 footprint
13:39:36: [INFO] Add D44 footprint
13:39:36: [INFO] Add SW45 footprint
13:39:36: [INFO] Add D45 footprint
13:39:36: [INFO] Add SW46 footprint
13:39:36: [INFO] Add D46 footprint
13:39:36: [INFO] Detected layout convertible to matrix annotated keyboard
13:39:36: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:39:36: [INFO] Layout offset: (38100000, 28575000)
13:39:36: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:39:36: [INFO] Placing additional elements for SW46
13:39:36: [INFO] Placing additional elements for SW45
13:39:36: [INFO] Placing additional elements for SW44
13:39:36: [INFO] Placing additional elements for SW43
13:39:36: [INFO] Placing additional elements for SW42
13:39:36: [INFO] Placing additional elements for SW41
13:39:36: [INFO] Placing additional elements for SW40
13:39:36: [INFO] Placing additional elements for SW39
13:39:36: [INFO] Placing additional elements for SW38
13:39:36: [INFO] Placing additional elements for SW37a
13:39:36: [INFO] Placing additional elements for SW37
13:39:36: [INFO] Placing additional elements for SW36
13:39:36: [INFO] Placing additional elements for SW35
13:39:36: [INFO] Placing additional elements for SW34
13:39:36: [INFO] Placing additional elements for SW33
13:39:36: [INFO] Placing additional elements for SW32
13:39:36: [INFO] Placing additional elements for SW31
13:39:36: [INFO] Placing additional elements for SW30a
13:39:36: [INFO] Placing additional elements for SW30
13:39:36: [INFO] Placing additional elements for SW29
13:39:36: [INFO] Placing additional elements for SW28
13:39:36: [INFO] Placing additional elements for SW27a
13:39:36: [INFO] Placing additional elements for SW27
13:39:36: [INFO] Placing additional elements for SW26
13:39:36: [INFO] Placing additional elements for SW25
13:39:36: [INFO] Placing additional elements for SW24
13:39:36: [INFO] Placing additional elements for SW23a
13:39:36: [INFO] Placing additional elements for SW23
13:39:36: [INFO] Placing additional elements for SW22
13:39:36: [INFO] Placing additional elements for SW21
13:39:36: [INFO] Placing additional elements for SW20
13:39:36: [INFO] Placing additional elements for SW19
13:39:36: [INFO] Placing additional elements for SW18
13:39:36: [INFO] Placing additional elements for SW17
13:39:36: [INFO] Placing additional elements for SW16
13:39:36: [INFO] Placing additional elements for SW15a
13:39:36: [INFO] Placing additional elements for SW15
13:39:36: [INFO] Placing additional elements for SW14
13:39:36: [INFO] Placing additional elements for SW13
13:39:36: [INFO] Placing additional elements for SW12
13:39:36: [INFO] Placing additional elements for SW11
13:39:36: [INFO] Placing additional elements for SW10
13:39:36: [INFO] Placing additional elements for SW9
13:39:36: [INFO] Placing additional elements for SW8
13:39:36: [INFO] Placing additional elements for SW7
13:39:36: [INFO] Placing additional elements for SW6
13:39:36: [INFO] Placing additional elements for SW5
13:39:36: [INFO] Placing additional elements for SW4
13:39:36: [INFO] Placing additional elements for SW3
13:39:36: [INFO] Placing additional elements for SW2
13:39:36: [INFO] Placing additional elements for SW1
13:39:36: [INFO] Routing SW46 with D46
13:39:36: [INFO] Using internal autorouter method
13:39:36: [INFO] Routing pad 'SW46:2' at (235902500, 94932500) with pad 'D46:2' at (238442500, 102612500) using coordinate system rotated by 0 degree(s)
13:39:36: [INFO] Adding track segment (B.Cu): [(235902500, 94932500), (235902500, 100072500)]
13:39:36: [INFO] Adding track segment (B.Cu): [(235902500, 100072500), (238442500, 102612500)]
13:39:36: [INFO] Routing SW45 with D45
13:39:36: [INFO] Using internal autorouter method
13:39:36: [INFO] Routing pad 'SW45:2' at (254952500, 94932500) with pad 'D45:2' at (257492500, 102612500) using coordinate system rotated by 0 degree(s)
13:39:36: [INFO] Adding track segment (B.Cu): [(254952500, 94932500), (254952500, 100072500)]
13:39:36: [INFO] Adding track segment (B.Cu): [(254952500, 100072500), (257492500, 102612500)]
13:39:36: [INFO] Routing SW44 with D44
13:39:36: [INFO] Using internal autorouter method
13:39:36: [INFO] Routing pad 'SW44:2' at (274002500, 94932500) with pad 'D44:2' at (276542500, 102612500) using coordinate system rotated by 0 degree(s)
13:39:36: [INFO] Adding track segment (B.Cu): [(274002500, 94932500), (274002500, 100072500)]
13:39:36: [INFO] Adding track segment (B.Cu): [(274002500, 100072500), (276542500, 102612500)]
13:39:36: [INFO] Routing SW43 with D43
13:39:36: [INFO] Using internal autorouter method
13:39:36: [INFO] Routing pad 'SW43:2' at (293052500, 94932500) with pad 'D43:2' at (295592500, 102612500) using coordinate system rotated by 0 degree(s)
13:39:36: [INFO] Adding track segment (B.Cu): [(293052500, 94932500), (293052500, 100072500)]
13:39:36: [INFO] Adding track segment (B.Cu): [(293052500, 100072500), (295592500, 102612500)]
13:39:36: [INFO] Routing SW42 with D42
13:39:36: [INFO] Using internal autorouter method
13:39:36: [INFO] Routing pad 'SW42:2' at (319246250, 94932500) with pad 'D42:2' at (321786250, 102612500) using coordinate system rotated by 0 degree(s)
13:39:36: [INFO] Adding track segment (B.Cu): [(319246250, 94932500), (319246250, 100072500)]
13:39:36: [INFO] Adding track segment (B.Cu): [(319246250, 100072500), (321786250, 102612500)]
13:39:36: [INFO] Routing SW41 with D41
13:39:36: [INFO] Using internal autorouter method
13:39:36: [INFO] Routing pad 'SW41:2' at (140652500, 94932500) with pad 'D41:2' at (143192500, 102612500) using coordinate system rotated by 0 degree(s)
13:39:36: [INFO] Adding track segment (B.Cu): [(140652500, 94932500), (140652500, 100072500)]
13:39:36: [INFO] Adding track segment (B.Cu): [(140652500, 100072500), (143192500, 102612500)]
13:39:36: [INFO] Routing SW40 with D40
13:39:36: [INFO] Using internal autorouter method
13:39:36: [INFO] Routing pad 'SW40:2' at (245427500, 75882500) with pad 'D40:2' at (247967500, 83562500) using coordinate system rotated by 0 degree(s)
13:39:36: [INFO] Adding track segment (B.Cu): [(245427500, 75882500), (245427500, 81022500)]
13:39:36: [INFO] Adding track segment (B.Cu): [(245427500, 81022500), (247967500, 83562500)]
