=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:19: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoCsAaO4DGtMGIB2I48AXw3AAY1KAdAOwYeoXAwgHddLUKATXABcATgFcApuUxNG9FmzgQc8cHizqNZCtQCMM5mlbbD+uYYVU0AZlPzjAFlvn22XKuIkKXeD3SYB8CISUuBORoquKngAhrFxWpjUAGxhFtQEqcYAHJmJaACcuUpuhB4EFt5wvvxCYpIURZH4GpohunSyBuGWOnqdZt26CLk9Nv12Ecr4ZeVe3Lz+tcEN4+YAumgAUGBQuMgobTROOgrFUS3qCT3HaSarJ8ZjMrq3jvenTapx8YcoN8Ypd7GDJAvI5UFnZoXK7UQqgnodZ5oB55Xr-VHDCGfGLfaIVPaHHRPWQvYw6N4yJLI246P79KkozgEsmAynUjbbCDQeD7CgAT3mCD82JmMKOq0oHymqguOEJTklxkxSMVeWJBlVlgpJJoUpKuLxvwVt1ZOs16WN2UtkxKsrFcJVNMRZppfUdZOVLpc0px3zFROt4HQpo1NO1DCp5uRdLZUZ0IfokZpINj4A5O25iFQIR0uu9tuhOepFFz3VzVgsufslbQKBrSRrs0wuayNfyNZ0mtzvQ74UhX1xV276vouc16AdsjHHerJejHYbc50KdkBDzEUzPCFcx5RYD-W7H0zViQ1EwAAtmc3kSuGGvGbsfEghXvb-Q133H1Vnwcl2+1xWLibj+r6mGus4boKwqXruf5gbWR5QRQMGIKB-RroukFPi+cHoWg5TplyewLOAlQ6NmFAIOu-ZqIWlHFpgVHdFRgGMWgEHgFRdb0ZhnH4RYVGtvR7b0Z2AnIiifE6J+PoGvi8Dkb+bH7jIVGqjRdohFR5LibSumYTRclaTe8HqV+5HbpgPqijucAWdBexeKwCkkeezl2RQkDuQAtFuSngFYyIjtpiEuWe2JybZinGSpshMaFdmuVeUn-s4WHfjhympaxRHYf52mpRBuVZgQDmwVl8EEVsGbEcKZFIKVISBWZPqaRQgWSYF3SBaxAXsRYgXcZggW8YFTZ9UJw0FANyKah1D7WWU8lZplfWxQwal6ucdFTTp7Xzvt8ZbfgRmHalZnAZZ2JtbtnobQxxXRYdd30PF+ZRJFmD1atHXBWlxV+U1Jl4Q+maKchyUddlCWA2d8FFV+fkQ+Va2pUNAMgXDeENoRpG4PZIT2OKMgdcdMo7eARNurIpNAUhVn6oOtnIKtRPOgwzVk7RLRXET3RE71RMcUTQ2U2gvFE+NROTWLImYFTmpU9TDBs1zn14y5jUUFTL2q+90xLYTQWmHrNrbTzRvkqYWTrmLtLW7bVMGRFg6W+dMM-hQrXQszlvhvQNug7gJ7hbJrva8DMj3h7rOR6u-3mSRi0eBYKEIG78MJeDF7JVTqXO5dZWoRHy6VWm1XFbyDMfUzX345jmDoOz9BNx833+egyst9RGuJat6Ava3+vkzztlJA3Qa1qYQ9mydte909jezdPPf1R3aDgjIM80aKISd4PtudyOM+T1b-T5D33sWxQncxrIF-jsizth36e9x3ePeF17Baj3XKOd-7C+Qd4Ah2-jXV+N937vgeojCendUqfkLm-UueEcqJ3XigqOCFcaZiruAAUeUopwOJrITubd6792RCvB87c34HwWj-TQY9iF3wYGQ4evp4hEMoZ2ah5CXKUM3qQmBtDIHST4S4URS91rdxODg2qRD17NwHhYTuK9Pxrzoeormdox5v1Yd3GSjM-SKOQcohOmjIFCLYQnZOJBkEH26EfbR8ieRJ2MVwv+iUlErzQZY6RvidE+y8QQfRgSOHq38afcxfj67r2sd3NBdiiBXH3uE6Rx9rDl05F+PBV8mFeOzuAAIcAgj1GkP0dACMX4-DESvBGUSB71KCb-XuoTIEGKqfw7xb8EldIieHaRB9qmMMuIomogQ6ghGaa4uyJ5Sr8igpbLuVM1bz0qMgLW8tjb9FWbMokDU6oUP8krE2FjjmW11ucgRJydkyD5mmNYQA
13:36:21: [INFO] Add Net-(D59-A) net
13:36:21: [INFO] Add Net-(D6-A) net
13:36:21: [INFO] Add Net-(D60-A) net
13:36:21: [INFO] Add Net-(D61-A) net
13:36:21: [INFO] Add Net-(D62-A) net
13:36:21: [INFO] Add Net-(D63-A) net
13:36:21: [INFO] Add Net-(D64-A) net
13:36:21: [INFO] Add Net-(D65-A) net
13:36:21: [INFO] Add Net-(D66-A) net
13:36:21: [INFO] Add Net-(D67-A) net
13:36:21: [INFO] Add Net-(D68-A) net
13:36:21: [INFO] Add Net-(D69-A) net
13:36:21: [INFO] Add Net-(D7-A) net
13:36:21: [INFO] Add Net-(D70-A) net
13:36:21: [INFO] Add Net-(D71-A) net
13:36:21: [INFO] Add Net-(D72-A) net
13:36:21: [INFO] Add Net-(D73-A) net
13:36:21: [INFO] Add Net-(D74-A) net
13:36:21: [INFO] Add Net-(D75-A) net
13:36:21: [INFO] Add Net-(D76-A) net
13:36:21: [INFO] Add Net-(D77-A) net
13:36:21: [INFO] Add Net-(D78-A) net
13:36:21: [INFO] Add Net-(D79-A) net
13:36:21: [INFO] Add Net-(D8-A) net
13:36:21: [INFO] Add Net-(D80-A) net
13:36:21: [INFO] Add Net-(D81-A) net
13:36:21: [INFO] Add Net-(D82-A) net
13:36:21: [INFO] Add Net-(D83-A) net
13:36:21: [INFO] Add Net-(D84-A) net
13:36:21: [INFO] Add Net-(D85-A) net
13:36:21: [INFO] Add Net-(D86-A) net
13:36:21: [INFO] Add Net-(D87-A) net
13:36:21: [INFO] Add Net-(D88-A) net
13:36:21: [INFO] Add Net-(D89-A) net
13:36:21: [INFO] Add Net-(D9-A) net
13:36:21: [INFO] Add Net-(D90-A) net
13:36:21: [INFO] Add Net-(D91-A) net
13:36:21: [INFO] Add Net-(D92-A) net
13:36:21: [INFO] Add Net-(D93-A) net
13:36:21: [INFO] Add Net-(D94-A) net
13:36:21: [INFO] Add Net-(D95-A) net
13:36:21: [INFO] Add Net-(D96-A) net
13:36:21: [INFO] Add Net-(D97-A) net
13:36:21: [INFO] Add Net-(D98-A) net
13:36:21: [INFO] Add Net-(D99-A) net
13:36:21: [INFO] Add ROW0 net
13:36:21: [INFO] Add ROW1 net
13:36:21: [INFO] Add ROW2 net
13:36:21: [INFO] Add ROW3 net
13:36:21: [INFO] Add ROW4 net
13:36:21: [INFO] Add ROW5 net
13:36:21: [INFO] Add SW1 footprint
13:36:21: [INFO] Add D1 footprint
13:36:21: [INFO] Add SW2 footprint
13:36:21: [INFO] Add D2 footprint
13:36:21: [INFO] Add SW2a footprint
13:36:21: [INFO] Add SW3 footprint
13:36:21: [INFO] Add D3 footprint
13:36:21: [INFO] Add SW3a footprint
13:36:21: [INFO] Add SW4 footprint
13:36:21: [INFO] Add D4 footprint
13:36:21: [INFO] Add SW4a footprint
13:36:21: [INFO] Add SW5 footprint
13:36:21: [INFO] Add D5 footprint
13:36:21: [INFO] Add SW5a footprint
13:36:21: [INFO] Add SW6 footprint
13:36:21: [INFO] Add D6 footprint
13:36:21: [INFO] Add SW7 footprint
13:36:21: [INFO] Add D7 footprint
13:36:21: [INFO] Add SW8 footprint
13:36:21: [INFO] Add D8 footprint
13:36:21: [INFO] Add SW9 footprint
13:36:22: [INFO] Add D9 footprint
13:36:22: [INFO] Add SW10 footprint
13:36:22: [INFO] Add D10 footprint
13:36:22: [INFO] Add SW11 footprint
13:36:22: [INFO] Add D11 footprint
13:36:22: [INFO] Add SW11a footprint
13:36:22: [INFO] Add SW12 footprint
13:36:22: [INFO] Add D12 footprint
13:36:22: [INFO] Add SW12a footprint
13:36:22: [INFO] Add SW13 footprint
13:36:22: [INFO] Add D13 footprint
13:36:22: [INFO] Add SW13a footprint
13:36:22: [INFO] Add SW14 footprint
13:36:22: [INFO] Add D14 footprint
