=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:49: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDYA0dwE9ZwAwDoAmAVjXAGNtwBiAQzvvAF9SSkAdAO085xQXBYoAHNy4de-ALooAUGHKUqAdhWqmpXjgFwI0eAlIV41eg2boJ2iEfRUy9h+osoCVqNgQ5z4EgBZtPihEbjYmpjQBAO7YBN4kSqI8KFrScuAGWmi62PhKJOjR+nhE3gb8WQrGdg72TukubnpwAJzF3qj+pKjBXShIIYrhEaSFiG29SuCpwOAEyY05eEj54KMIeHnec+U6lbY1tVsNFU2tSt5KKJ3olz27ocqqKlExhCWkl-3T1oPhdQDM8xOixWowIb28gJ2PyqBwokOOu1OeC8pCEVwC6LuMNsQxe8HBmzRKASYk4GQW8HwxBGHg273Q6PYZI4ZUxwkSrL4U1kM18QKRizytKKxG8-OhqzpYtI-NcwP01NB0oZ4GaiIgawhpHV-wC6v833AACcPLx0MamoCLVh4L43qQmrkVra4ABaf4O9APOF1Xh6jQYwN3cC8fqByZGprrGXoAwBuNBxMhgxfXnZIqquYJ2ZJ3MhuZpuQZuCxUiAnOA67gQEhwFF+RNcE072-Ux1fkJnHUX0i0v08VBTlzFLp9zwT0rB54we+Yfcio+g74sZE9D85mibY84sm7BuzykS0ecErJpu5su-eE1UkTLoEg7QLyh8oPVR68D3r38CoJ+oF9fzfHdG0-VVLh-S4n0uQDLnfMdz09VFGQFcB0SfdFAPReDd3PG8+0vbx1XvbtaD+IjuUkSQgA
13:37:50: [INFO] Add SW1 footprint
13:37:50: [INFO] Add D1 footprint
13:37:50: [INFO] Add SW2 footprint
13:37:50: [INFO] Add D2 footprint
13:37:50: [INFO] Add SW3 footprint
13:37:50: [INFO] Add D3 footprint
13:37:50: [INFO] Add SW4 footprint
13:37:50: [INFO] Add D4 footprint
13:37:50: [INFO] Add SW5 footprint
13:37:50: [INFO] Add D5 footprint
13:37:50: [INFO] Add SW6 footprint
13:37:50: [INFO] Add D6 footprint
13:37:50: [INFO] Add SW7 footprint
13:37:50: [INFO] Add D7 footprint
13:37:50: [INFO] Add SW8 footprint
13:37:50: [INFO] Add D8 footprint
13:37:50: [INFO] Add SW9 footprint
13:37:50: [INFO] Add D9 footprint
13:37:51: [INFO] Add SW10 footprint
13:37:51: [INFO] Add D10 footprint
13:37:51: [INFO] Add SW11 footprint
13:37:51: [INFO] Add D11 footprint
13:37:51: [INFO] Add SW12 footprint
13:37:51: [INFO] Add D12 footprint
13:37:51: [INFO] Add SW13 footprint
13:37:51: [INFO] Add D13 footprint
13:37:51: [INFO] Add SW14 footprint
13:37:51: [INFO] Add D14 footprint
13:37:51: [INFO] Add SW15 footprint
13:37:51: [INFO] Add D15 footprint
13:37:51: [INFO] Add SW16 footprint
13:37:51: [INFO] Add D16 footprint
13:37:51: [INFO] Add SW17 footprint
13:37:51: [INFO] Add D17 footprint
13:37:51: [INFO] Add SW18 footprint
13:37:51: [INFO] Add D18 footprint
13:37:51: [INFO] Add SW19 footprint
13:37:51: [INFO] Add D19 footprint
13:37:51: [INFO] Add SW20 footprint
13:37:51: [INFO] Add D20 footprint
13:37:51: [INFO] Add SW21 footprint
13:37:51: [INFO] Add D21 footprint
13:37:51: [INFO] Add SW22 footprint
13:37:51: [INFO] Add D22 footprint
13:37:51: [INFO] Add SW23 footprint
13:37:51: [INFO] Add D23 footprint
13:37:51: [INFO] Add SW24 footprint
13:37:51: [INFO] Add D24 footprint
13:37:51: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:51: [INFO] Add ST24 footprint
13:37:51: [INFO] Add SW25 footprint
13:37:51: [INFO] Add D25 footprint
13:37:51: [INFO] Add SW26 footprint
13:37:51: [INFO] Add D26 footprint
13:37:51: [INFO] Add SW27 footprint
13:37:52: [INFO] Add D27 footprint
13:37:52: [INFO] Add SW28 footprint
13:37:52: [INFO] Add D28 footprint
13:37:52: [INFO] Add SW29 footprint
13:37:52: [INFO] Add D29 footprint
13:37:52: [INFO] Add SW30 footprint
13:37:52: [INFO] Add D30 footprint
13:37:52: [INFO] Add SW31 footprint
13:37:52: [INFO] Add D31 footprint
13:37:52: [INFO] Add SW32 footprint
13:37:52: [INFO] Add D32 footprint
13:37:52: [INFO] Add SW33 footprint
13:37:52: [INFO] Add D33 footprint
13:37:52: [INFO] Add SW34 footprint
13:37:52: [INFO] Add D34 footprint
13:37:52: [INFO] Add SW35 footprint
13:37:52: [INFO] Add D35 footprint
13:37:52: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:37:52: [INFO] Add ST35 footprint
13:37:52: [INFO] Add SW36 footprint
13:37:52: [INFO] Add D36 footprint
13:37:52: [INFO] Add SW37 footprint
13:37:52: [INFO] Add D37 footprint
13:37:52: [INFO] Add SW38 footprint
13:37:52: [INFO] Add D38 footprint
13:37:52: [INFO] Add SW39 footprint
13:37:52: [INFO] Add D39 footprint
13:37:52: [INFO] Add SW40 footprint
13:37:52: [INFO] Add D40 footprint
13:37:52: [INFO] Add SW41 footprint
13:37:52: [INFO] Add D41 footprint
13:37:52: [INFO] Add SW42 footprint
13:37:52: [INFO] Add D42 footprint
13:37:52: [INFO] Add SW43 footprint
13:37:52: [INFO] Add D43 footprint
13:37:52: [INFO] Add SW44 footprint
13:37:52: [INFO] Add D44 footprint
13:37:52: [INFO] Add ST44 footprint
13:37:53: [INFO] Add SW45 footprint
13:37:53: [INFO] Add D45 footprint
13:37:53: [INFO] Add SW46 footprint
13:37:53: [INFO] Add D46 footprint
13:37:53: [INFO] Add SW47 footprint
13:37:53: [INFO] Add D47 footprint
13:37:53: [INFO] Add SW48 footprint
