=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:41:18: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwHYB0AmArAXwDR3EjgGwA6AdueQAw4Lh4QDGs+AxAIadfi76FKUKZGnQC6OAFBgoLBCgx5wATxZV5i5vHCskuvT0U0q9OBGjw1mDS22M79g-hEnwNNC5oBmDzgAsJs1V0bEMcDB8iAJl4NBQkEPwiHGNFJLoGaLhLBPAk91ScbwL-AvCM8yzg3lziKIq1HKSkcHEpQPg5BXwVC2DrLQ4uTkdwBGSozTZ7B2qx9Pwx-IXClzGS5bLlyPKWWPjqwhS+WhdCJYIVxUJ1i82mG0GhlwB3XYOcASFqcZ3ervBJrZpsxqgBOD4tSTAcBoCG-Sr-QGPbiKV4deTVWFHe4DYEgxSw+YwnDnWFFfCwm6wu6ZPY5AAcP3wjKJjPOjPJ4EZN0Zmy5tQyaMQGMUjOa8IasxozVa0M8cNMmQa-TYQ2GqNkcRy8uxAIeeJG8qJ8vO8s58pu8ppFTpYKZ4HBRPB53BnPBN3BNKRen0GpiVUU4O2ivq6nwSINszGMqh4F8CvaCJV2jV7BeuwD+HjuojwJG8aJ8fO8c58Zu8etGf2igQRlWzhrbnrlwWNHWONVavT6OrrbCkLamQQ9LDyhYAFo1PFkzofc0o7VZRAenBJ31w-q89UFOKQ0FEQ9U93hZht0yIEK5KfFAp5hfNdf8Aolh2gdNj1ecgpPIJyGNdUKsSPuACi+L+ZD-nUVb-IBWoLjmh5dn6wo5AgcxRJeIoLIsA7SBUyCjiua7ThuAxzvONZjJyaF+KsYzhEumQYOuY69FYpFTHmyFAV+fjgehgoPrxP5fBBJyiKIQA
13:41:19: [INFO] Add Net-(D82-A) net
13:41:19: [INFO] Add Net-(D83-A) net
13:41:19: [INFO] Add Net-(D84-A) net
13:41:19: [INFO] Add Net-(D85-A) net
13:41:19: [INFO] Add Net-(D86-A) net
13:41:19: [INFO] Add Net-(D87-A) net
13:41:19: [INFO] Add Net-(D88-A) net
13:41:19: [INFO] Add Net-(D9-A) net
13:41:19: [INFO] Add ROW0 net
13:41:19: [INFO] Add ROW1 net
13:41:19: [INFO] Add ROW10 net
13:41:19: [INFO] Add ROW11 net
13:41:19: [INFO] Add ROW2 net
13:41:19: [INFO] Add ROW3 net
13:41:19: [INFO] Add ROW4 net
13:41:19: [INFO] Add ROW5 net
13:41:19: [INFO] Add ROW6 net
13:41:19: [INFO] Add ROW7 net
13:41:19: [INFO] Add ROW8 net
13:41:19: [INFO] Add ROW9 net
13:41:19: [INFO] Add SW1 footprint
13:41:19: [INFO] Add D1 footprint
13:41:19: [INFO] Add SW2 footprint
13:41:19: [INFO] Add D2 footprint
13:41:19: [INFO] Add SW3 footprint
13:41:19: [INFO] Add D3 footprint
13:41:19: [INFO] Add SW4 footprint
13:41:19: [INFO] Add D4 footprint
13:41:19: [INFO] Add SW5 footprint
13:41:19: [INFO] Add D5 footprint
13:41:19: [INFO] Add SW6 footprint
13:41:19: [INFO] Add D6 footprint
13:41:19: [INFO] Add SW7 footprint
13:41:19: [INFO] Add D7 footprint
13:41:19: [INFO] Add SW8 footprint
13:41:19: [INFO] Add D8 footprint
13:41:19: [INFO] Add SW9 footprint
13:41:19: [INFO] Add D9 footprint
13:41:19: [INFO] Add SW10 footprint
13:41:19: [INFO] Add D10 footprint
13:41:19: [INFO] Add SW11 footprint
13:41:19: [INFO] Add D11 footprint
13:41:19: [INFO] Add SW12 footprint
13:41:19: [INFO] Add D12 footprint
13:41:19: [INFO] Add SW13 footprint
13:41:19: [INFO] Add D13 footprint
13:41:19: [INFO] Add SW14 footprint
13:41:19: [INFO] Add D14 footprint
13:41:19: [INFO] Add SW15 footprint
13:41:20: [INFO] Add D15 footprint
13:41:20: [INFO] Add SW16 footprint
13:41:20: [INFO] Add D16 footprint
13:41:20: [INFO] Add SW17 footprint
13:41:20: [INFO] Add D17 footprint
13:41:20: [INFO] Add SW18 footprint
13:41:20: [INFO] Add D18 footprint
13:41:20: [INFO] Add SW19 footprint
13:41:20: [INFO] Add D19 footprint
13:41:20: [INFO] Add SW20 footprint
13:41:20: [INFO] Add D20 footprint
13:41:20: [INFO] Add SW21 footprint
13:41:20: [INFO] Add D21 footprint
13:41:20: [INFO] Add SW22 footprint
13:41:20: [INFO] Add D22 footprint
13:41:20: [INFO] Add SW23 footprint
13:41:20: [INFO] Add D23 footprint
13:41:20: [INFO] Add SW24 footprint
13:41:20: [INFO] Add D24 footprint
13:41:20: [INFO] Add SW25 footprint
13:41:20: [INFO] Add D25 footprint
13:41:20: [INFO] Add SW26 footprint
13:41:20: [INFO] Add D26 footprint
13:41:20: [INFO] Add SW27 footprint
13:41:20: [INFO] Add D27 footprint
13:41:20: [INFO] Add SW28 footprint
13:41:20: [INFO] Add D28 footprint
13:41:20: [INFO] Add SW29 footprint
13:41:20: [INFO] Add D29 footprint
13:41:20: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:41:20: [INFO] Add ST29 footprint
13:41:20: [INFO] Add SW30 footprint
13:41:20: [INFO] Add D30 footprint
13:41:20: [INFO] Add SW31 footprint
13:41:21: [INFO] Add D31 footprint
13:41:21: [INFO] Add SW32 footprint
13:41:21: [INFO] Add D32 footprint
13:41:21: [INFO] Add SW33 footprint
13:41:21: [INFO] Add D33 footprint
13:41:21: [INFO] Add SW34 footprint
13:41:21: [INFO] Add D34 footprint
13:41:21: [INFO] Add SW35 footprint
13:41:21: [INFO] Add D35 footprint
13:41:21: [INFO] Add SW36 footprint
13:41:21: [INFO] Add D36 footprint
13:41:21: [INFO] Add SW37 footprint
13:41:21: [INFO] Add D37 footprint
13:41:21: [INFO] Add SW38 footprint
13:41:21: [INFO] Add D38 footprint
13:41:21: [INFO] Add SW39 footprint
13:41:21: [INFO] Add D39 footprint
13:41:21: [INFO] Add SW39a footprint
13:41:21: [INFO] Add SW40 footprint
13:41:21: [INFO] Add D40 footprint
13:41:21: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:41:21: [INFO] Add ST40 footprint
13:41:21: [INFO] Add SW40a footprint
13:41:21: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:41:21: [INFO] Add ST40a footprint
13:41:21: [INFO] Add SW41 footprint
13:41:21: [INFO] Add D41 footprint
13:41:21: [INFO] Add SW42 footprint
13:41:21: [INFO] Add D42 footprint
13:41:21: [INFO] Add SW43 footprint
13:41:21: [INFO] Add D43 footprint
13:41:21: [INFO] Add SW44 footprint
13:41:21: [INFO] Add D44 footprint
13:41:21: [INFO] Add SW45 footprint
13:41:21: [INFO] Add D45 footprint
13:41:21: [INFO] Add SW46 footprint
13:41:21: [INFO] Add D46 footprint
13:41:21: [INFO] Add SW47 footprint
13:41:21: [INFO] Add D47 footprint
13:41:22: [INFO] Add SW48 footprint
13:41:22: [INFO] Add D48 footprint
13:41:22: [INFO] Add SW49 footprint
13:41:22: [INFO] Add D49 footprint
13:41:22: [INFO] Add SW50 footprint
13:41:22: [INFO] Add D50 footprint
13:41:22: [INFO] Add SW51 footprint
13:41:22: [INFO] Add D51 footprint
13:41:22: [INFO] Add SW52 footprint
13:41:22: [INFO] Add D52 footprint
13:41:22: [INFO] Add SW53 footprint
13:41:22: [INFO] Add D53 footprint
13:41:22: [INFO] Add SW54 footprint
13:41:22: [INFO] Add D54 footprint
13:41:22: [INFO] Add SW55 footprint
13:41:22: [INFO] Add D55 footprint
13:41:22: [INFO] Add SW56 footprint
13:41:22: [INFO] Add D56 footprint
13:41:22: [INFO] Add SW57 footprint
13:41:22: [INFO] Add D57 footprint
13:41:22: [INFO] Add ST57 footprint
13:41:22: [INFO] Add SW57a footprint
13:41:22: [INFO] Add SW58 footprint
13:41:22: [INFO] Add D58 footprint
13:41:22: [INFO] Add SW59 footprint
13:41:22: [INFO] Add D59 footprint
13:41:22: [INFO] Add SW60 footprint
13:41:22: [INFO] Add D60 footprint
13:41:22: [INFO] Add SW61 footprint
13:41:22: [INFO] Add D61 footprint
13:41:22: [INFO] Add SW62 footprint
13:41:22: [INFO] Add D62 footprint
13:41:22: [INFO] Add SW63 footprint
13:41:22: [INFO] Add D63 footprint
13:41:22: [INFO] Add SW64 footprint
13:41:23: [INFO] Add D64 footprint
13:41:23: [INFO] Add SW65 footprint
13:41:23: [INFO] Add D65 footprint
13:41:23: [INFO] Add SW66 footprint
13:41:23: [INFO] Add D66 footprint
13:41:23: [INFO] Add SW67 footprint
13:41:23: [INFO] Add D67 footprint
13:41:23: [INFO] Add SW68 footprint
13:41:23: [INFO] Add D68 footprint
13:41:23: [INFO] Add SW69 footprint
13:41:23: [INFO] Add D69 footprint
13:41:23: [INFO] Add SW70 footprint
13:41:23: [INFO] Add D70 footprint
13:41:23: [INFO] Add SW71 footprint
13:41:23: [INFO] Add D71 footprint
13:41:23: [INFO] Add SW72 footprint
13:41:23: [INFO] Add D72 footprint
13:41:23: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:41:23: [INFO] Add ST72 footprint
13:41:23: [INFO] Add SW73 footprint
13:41:23: [INFO] Add D73 footprint
13:41:23: [INFO] Add SW74 footprint
13:41:23: [INFO] Add D74 footprint
13:41:23: [INFO] Add SW75 footprint
13:41:23: [INFO] Add D75 footprint
13:41:23: [INFO] Add SW76 footprint
13:41:23: [INFO] Add D76 footprint
13:41:23: [INFO] Add SW77 footprint
13:41:23: [INFO] Add D77 footprint
13:41:23: [INFO] Add SW78 footprint
13:41:23: [INFO] Add D78 footprint
13:41:23: [INFO] Add SW79 footprint
13:41:23: [INFO] Add D79 footprint
13:41:23: [INFO] Add SW80 footprint
13:41:23: [INFO] Add D80 footprint
