=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:57: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareAvgGgQBi7uDhAB6xy4B0ArDlOUgOzMuZ0CMBRcE08SkQULZ4s7buE7i6+AEwTO8mVgDMC1RPwAWdTuXV1B5QDZ1p5YwA6AOxs38hYvX4o0qEZKxXbPh91LkVNTYogAc-uBk8FSMtAgA7uSyIZ7edtb44gC6WABQwOCyXE5RFDR0ifDsNCkqxTzOCIhCwilF0gh1HYVYSp29EkVqdHXDCEV6-ZM9Rv2zPeb9i7wMrm4SlXDVwSNe6Tacjg2lQW1Y4SXk23R8TSysFVeUsnHgABZJFfJV5Qhv31s6CQAQBaKgvFK0NI+KTgHL5FYuNzuFJaAj7axoo4BaK-cCbaqxSH1RFNFqCDxo7q0bpovoQazkAAuACcAK4AU2JfXAaLG4FoYwZzPZXLoaOmtGmaPmtHmaOWjSY90YGySzx2CChGMOEROeNuSGRyEp5wxtGxkUCBtW5OgxOMOrEcLyYCVa3QKWM6J8Nixequjx+RLojBJ7rtHm93TD3W9PLDPO9-LD-O90zD0298zDs1JRuRap+ELo3sdvusRSO4DD0JsVYDP1wXrNFYtjbKr02sg1LfL6XaHfBmvAZYxRXp+KeJYQtfHA3hbtKKhSoR96TqloJNToa-YGM3EUNiBVqqDcEYq9UB-Dx+NRa2O4Qa+oN+ra-7PkPi4gAE9yGCeIfPAySluuPhUh27Den8SQtqE5rOj+VrwHUCRPCOa64DeHT5ieKoPgAnFeKg4Ueqz3ue2xXp+NhdC6CIoXAK67uBdEDE4x6ng+7DNqxpEVnUk53oWNE3vIWRZEAA
13:29:58: [INFO] Add D5 footprint
13:29:58: [INFO] Add SW6 footprint
13:29:58: [INFO] Add D6 footprint
13:29:58: [INFO] Add SW7 footprint
13:29:58: [INFO] Add D7 footprint
13:29:58: [INFO] Add SW8 footprint
13:29:58: [INFO] Add D8 footprint
13:29:58: [INFO] Add SW9 footprint
13:29:58: [INFO] Add D9 footprint
13:29:58: [INFO] Add SW10 footprint
13:29:58: [INFO] Add D10 footprint
13:29:58: [INFO] Add SW11 footprint
13:29:58: [INFO] Add D11 footprint
13:29:58: [INFO] Add SW12 footprint
13:29:58: [INFO] Add D12 footprint
13:29:58: [INFO] Add SW13 footprint
13:29:58: [INFO] Add D13 footprint
13:29:58: [INFO] Add SW14 footprint
13:29:59: [INFO] Add D14 footprint
13:29:59: [INFO] Add SW15 footprint
13:29:59: [INFO] Add D15 footprint
13:29:59: [INFO] Add SW16 footprint
13:29:59: [INFO] Add D16 footprint
13:29:59: [INFO] Add SW17 footprint
13:29:59: [INFO] Add D17 footprint
13:29:59: [INFO] Add SW17a footprint
13:29:59: [INFO] Add ST17a footprint
13:29:59: [INFO] Add SW18 footprint
13:29:59: [INFO] Add D18 footprint
13:29:59: [INFO] Add SW19 footprint
13:29:59: [INFO] Add D19 footprint
13:29:59: [INFO] Add SW20 footprint
13:29:59: [INFO] Add D20 footprint
13:29:59: [INFO] Add SW21 footprint
13:29:59: [INFO] Add D21 footprint
13:29:59: [INFO] Add SW22 footprint
13:29:59: [INFO] Add D22 footprint
13:29:59: [INFO] Add SW23 footprint
13:29:59: [INFO] Add D23 footprint
13:29:59: [INFO] Add SW24 footprint
13:29:59: [INFO] Add D24 footprint
13:29:59: [INFO] Add SW25 footprint
13:29:59: [INFO] Add D25 footprint
13:29:59: [INFO] Add SW26 footprint
13:29:59: [INFO] Add D26 footprint
13:29:59: [INFO] Add SW27 footprint
13:29:59: [INFO] Add D27 footprint
13:29:59: [INFO] Add SW28 footprint
13:29:59: [INFO] Add D28 footprint
13:29:59: [INFO] Add SW29 footprint
13:29:59: [INFO] Add D29 footprint
13:29:59: [INFO] Add SW30 footprint
13:30:00: [INFO] Add D30 footprint
13:30:00: [INFO] Add SW31 footprint
13:30:00: [INFO] Add D31 footprint
13:30:00: [INFO] Add SW32 footprint
13:30:00: [INFO] Add D32 footprint
13:30:00: [INFO] Add SW33 footprint
