=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
14:20:56: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14AOVdAVm3AF0UAoMKWOAJjXAE9GBaDAOkIHZSJTCia44+RgEZhWACzjJ8AGzDyCvA3gzW5MdTpK45dB3jc+g2SlKKtcOWptVa9M3AsCT4AMaNwAMT8wSHg1hh2fvCBPrFxYaxYUnYEcFJMTsmaUegBAIYFhQlkKBEG9KkIrO4WCIKsOTFxscXgUhSaqcSsyhTlRiymXLxewu1indJjKBoS9qo9MylTi-quRt41I1as7baT8I6Ltv3sw5bejfmFBa3tEdn+Ac0t01lzqenCve8QVze3b6lFyGexVIbmXh1S5PF5+YQsHAHODddD8PrreyDM6Qi4I0TLbT42ZGBZopbInTktag1Kbc6jVgsfYfRhHcknTFbC4NJ4AvKtFgPOZXOGClC-exfVjoyX-AGtdFlTGVarnaG86LPF6tKpI1lEYSEDG0xjY7mM9BVCYGtLCKok+ZGim2qngY00iqMem4y3gKosozs93OU4W+roeU3XXAx5asX2iWEtIZVjGuV8hXO5Wm+AIHg+jy8dJCVhyAnI-g8DDCACcBNOqTkBbVvp26HL+o21brJvoACdGAgsOh+11WKleL0IQ4eFJwb4niFQsJy6QADoAOy3W6wwogAAszaubDvt5usDaIABnAC2-n7AHsAC4AfQApj4pMkTxvz7uJTPIDz3fHMvXgKdWDvfxWnLORgL3ZMpB7MsZgQpNTkHcxhwnLh82nHEPCYasoPvaInzfT9v1aes-zPdopGA4D30laDonEcAj3gVN0HreD-03cYONo4D7hBcCPHw3t+PopNKRQ3i0IEsTKEoIA
14:20:58: [INFO] Add SW16 footprint
14:20:58: [INFO] Add D16 footprint
14:20:58: [INFO] Add SW17 footprint
14:20:58: [INFO] Add D17 footprint
14:20:58: [INFO] Add SW18 footprint
14:20:58: [INFO] Add D18 footprint
14:20:58: [INFO] Add SW19 footprint
14:20:58: [INFO] Add D19 footprint
14:20:58: [INFO] Add SW20 footprint
14:20:58: [INFO] Add D20 footprint
14:20:58: [INFO] Add SW21 footprint
14:20:58: [INFO] Add D21 footprint
14:20:58: [INFO] Add SW22 footprint
14:20:58: [INFO] Add D22 footprint
14:20:58: [INFO] Add SW23 footprint
14:20:58: [INFO] Add D23 footprint
14:20:58: [INFO] Add SW24 footprint
14:20:58: [INFO] Add D24 footprint
14:20:58: [INFO] Add SW25 footprint
14:20:58: [INFO] Add D25 footprint
14:20:58: [INFO] Add SW26 footprint
14:20:58: [INFO] Add D26 footprint
14:20:58: [INFO] Add SW27 footprint
14:20:58: [INFO] Add D27 footprint
14:20:58: [INFO] Add SW28 footprint
14:20:58: [INFO] Add D28 footprint
14:20:58: [INFO] Add SW28a footprint
14:20:58: [INFO] Add SW28b footprint
14:20:58: [INFO] Add ST28b footprint
14:20:58: [INFO] Add SW29 footprint
14:20:59: [INFO] Add D29 footprint
14:20:59: [INFO] Add SW30 footprint
14:20:59: [INFO] Add D30 footprint
14:20:59: [INFO] Add SW31 footprint
14:20:59: [INFO] Add D31 footprint
14:20:59: [INFO] Add SW32 footprint
14:20:59: [INFO] Add D32 footprint
14:20:59: [INFO] Add SW33 footprint
14:20:59: [INFO] Add D33 footprint
14:20:59: [INFO] Add SW34 footprint
14:20:59: [INFO] Add D34 footprint
14:20:59: [INFO] Add SW35 footprint
14:20:59: [INFO] Add D35 footprint
14:20:59: [INFO] Add SW36 footprint
14:20:59: [INFO] Add D36 footprint
14:20:59: [INFO] Add SW37 footprint
14:20:59: [INFO] Add D37 footprint
14:20:59: [INFO] Add SW38 footprint
14:20:59: [INFO] Add D38 footprint
14:20:59: [INFO] Add SW39 footprint
14:20:59: [INFO] Add D39 footprint
14:20:59: [INFO] Add SW40 footprint
14:20:59: [INFO] Add D40 footprint
14:20:59: [INFO] Add SW41 footprint
14:20:59: [INFO] Add D41 footprint
14:20:59: [INFO] Add SW42 footprint
14:20:59: [INFO] Add D42 footprint
14:20:59: [INFO] Add SW43 footprint
14:20:59: [INFO] Add D43 footprint
14:20:59: [INFO] Add SW44 footprint
14:20:59: [INFO] Add D44 footprint
14:21:00: [INFO] Add SW45 footprint
14:21:00: [INFO] Add D45 footprint
14:21:00: [INFO] Add SW46 footprint
14:21:00: [INFO] Add D46 footprint
14:21:00: [INFO] Add SW47 footprint
14:21:00: [INFO] Add D47 footprint
14:21:00: [INFO] Add SW48 footprint
14:21:00: [INFO] Add D48 footprint
14:21:00: [INFO] Add SW49 footprint
14:21:00: [INFO] Add D49 footprint
14:21:00: [INFO] Add SW50 footprint
14:21:00: [INFO] Add D50 footprint
14:21:00: [INFO] Add SW51 footprint
14:21:00: [INFO] Add D51 footprint
14:21:00: [INFO] Add SW52 footprint
14:21:00: [INFO] Add D52 footprint
14:21:00: [INFO] Add SW53 footprint
14:21:00: [INFO] Add D53 footprint
14:21:00: [INFO] Add SW54 footprint
14:21:00: [INFO] Add D54 footprint
14:21:00: [INFO] Add SW55 footprint
14:21:00: [INFO] Add D55 footprint
14:21:00: [INFO] Add SW55a footprint
14:21:00: [INFO] Add ST55a footprint
14:21:00: [INFO] Add SW56 footprint
14:21:00: [INFO] Add D56 footprint
14:21:00: [INFO] Add SW56a footprint
14:21:00: [INFO] Detected layout convertible to matrix annotated keyboard
14:21:00: [INFO] Using key 1U distance: (19.05, 19.05) mm
14:21:00: [INFO] Layout offset: (28575000, 28575000)
14:21:00: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
14:21:00: [INFO] Placing additional elements for SW56a
14:21:00: [INFO] Placing additional elements for SW56
14:21:00: [INFO] Placing additional elements for SW55a
14:21:00: [INFO] Placing additional elements for SW55
14:21:00: [INFO] Placing additional elements for SW54
14:21:00: [INFO] Placing additional elements for SW53
14:21:00: [INFO] Placing additional elements for SW52
14:21:00: [INFO] Placing additional elements for SW51
14:21:00: [INFO] Placing additional elements for SW50
14:21:00: [INFO] Placing additional elements for SW49
14:21:00: [INFO] Placing additional elements for SW48
14:21:00: [INFO] Placing additional elements for SW47
14:21:00: [INFO] Placing additional elements for SW46
14:21:00: [INFO] Placing additional elements for SW45
14:21:00: [INFO] Placing additional elements for SW44
14:21:00: [INFO] Placing additional elements for SW43
14:21:00: [INFO] Placing additional elements for SW42
14:21:00: [INFO] Placing additional elements for SW41
14:21:00: [INFO] Placing additional elements for SW40
14:21:00: [INFO] Placing additional elements for SW39
14:21:00: [INFO] Placing additional elements for SW38
14:21:00: [INFO] Placing additional elements for SW37
14:21:00: [INFO] Placing additional elements for SW36
14:21:00: [INFO] Placing additional elements for SW35
14:21:00: [INFO] Placing additional elements for SW34
14:21:00: [INFO] Placing additional elements for SW33
14:21:00: [INFO] Placing additional elements for SW32
14:21:00: [INFO] Placing additional elements for SW31
14:21:00: [INFO] Placing additional elements for SW30
14:21:00: [INFO] Placing additional elements for SW29
14:21:00: [INFO] Placing additional elements for SW28b
14:21:00: [INFO] Placing additional elements for SW28a
14:21:00: [INFO] Placing additional elements for SW28
14:21:00: [INFO] Placing additional elements for SW27
14:21:00: [INFO] Placing additional elements for SW26
14:21:00: [INFO] Placing additional elements for SW25
14:21:00: [INFO] Placing additional elements for SW24
14:21:00: [INFO] Placing additional elements for SW23
14:21:00: [INFO] Placing additional elements for SW22
14:21:00: [INFO] Placing additional elements for SW21
14:21:00: [INFO] Placing additional elements for SW20
14:21:00: [INFO] Placing additional elements for SW19
14:21:00: [INFO] Placing additional elements for SW18
14:21:00: [INFO] Placing additional elements for SW17
14:21:00: [INFO] Placing additional elements for SW16
14:21:00: [INFO] Placing additional elements for SW15
14:21:00: [INFO] Placing additional elements for SW14
14:21:00: [INFO] Placing additional elements for SW13
14:21:00: [INFO] Placing additional elements for SW12
14:21:00: [INFO] Placing additional elements for SW11
14:21:00: [INFO] Placing additional elements for SW10
14:21:00: [INFO] Placing additional elements for SW9
14:21:00: [INFO] Placing additional elements for SW8
14:21:00: [INFO] Placing additional elements for SW7
14:21:00: [INFO] Placing additional elements for SW6
14:21:00: [INFO] Placing additional elements for SW5
14:21:00: [INFO] Placing additional elements for SW4
14:21:00: [INFO] Placing additional elements for SW3
14:21:00: [INFO] Placing additional elements for SW2
14:21:00: [INFO] Placing additional elements for SW1
14:21:00: [INFO] Routing SW56a with D56
14:21:00: [INFO] Using internal autorouter method
14:21:00: [INFO] Routing pad 'SW56a:S2' at (211740365, 109772176) with pad 'D56:2' at (212627597, 115148905) using coordinate system rotated by 330.0 degree(s)
14:21:00: [INFO] Routing SW56 with D56
14:21:00: [INFO] Using internal autorouter method
14:21:00: [INFO] Routing pad 'SW56:2' at (206587893, 109767831) with pad 'D56:2' at (212627597, 115148905) using coordinate system rotated by 330.0 degree(s)
14:21:00: [INFO] Adding track segment (B.Cu): [(206587893, 109767831), (209157890, 114219199)]
14:21:00: [INFO] Adding track segment (B.Cu): [(209157890, 114219199), (212627597, 115148905)]
14:21:00: [INFO] Routing SW55a with D55
14:21:00: [INFO] Using internal autorouter method
14:21:00: [INFO] Routing pad 'SW55a:2' at (211350393, 118016723) with pad 'D55:2' at (222152597, 131646689) using coordinate system rotated by 330.0 degree(s)
14:21:00: [INFO] Adding track segment (B.Cu): [(211350393, 118016723), (218682890, 130716983)]
14:21:00: [INFO] Adding track segment (B.Cu): [(218682890, 130716983), (222152597, 131646689)]
