=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:27: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBp1SAIKQIyzgb1AD1ALjuAOgCYBWeUAY1wQGIB2Bx0AX3KiNQyr1Bov4Es2kAMypEAFnFQS0yADY5dOQA45ATjlIYwpCl0ddY3VPhdqvAIbWb4gO7UirBFCTyAOgDsvXqDpfIymZY1EjEJM6ISCQ+3p6uWh5xvsigALqQAFDA5jx8AvxCCEjQ4iX66CF4hKTk3LQ2tuQOeGER5CWGlfW8BYWRJcbFkKbDsh0KZZBBw2oTmhPaU3rLXaDlQ+vIoxgtcG0DyEmxJf65DY2WRVtIMxjYeEQEUAg99IwM9qHh5AAWjs0OK0CGQEL8gftyJgIQBaGrtBBEI6xLzldJZHKUCz5ArXJH+UBIir3ajwurYy5XZrfOgIwmQLrnXp9PGicRI0b08aIybkJEzelzHkLHlLPnICr0pBrIlDJnvD5fR7hSJE45xU6cLF5Sms25ah77Z7kvJ9Kiq7YozxojLZUAiUrkB3Eqr4H6vCmXJVwJ6kSIOohW-Fat5m64OzkO7n23kIB0Ch1CmMimNiuMS8TOtbOuXai6Nb1hWn+7Yh7EfT4ltxlnVeqvKW2Y0MsyISR0INsuw1kj21gvU4F0tuB5KeB0EtsiK3jrV7A7kNsSaft+VhgdwOityAqZdnPNWL3r+cd5BT0cz4LdkEm2gV5RbpCczuKBeBdHZEnK2oIACepPd+40LqR4qk6DJBqkYFnrERLvpihq+qCoB-tUAFziCW4jrEzriJOy4uuhQ4jPhNa0GuCB7CIW7ql4OGvju56QZUlEPuAJHBG8wEUd8RFINBcQ4Y2n4+mhPGYcuax4YxjKgIRW5LtJpHMri66IdREmzo4W4MdhDKacqxavtoGkcZ6-bcYOD78bRelCa6iHkChbpIehfqvlhAlssErlEdZY5ecx3xuSeCm6bmzYqRZcDyKBJ46Z54VmU0UVhMFoCdh5Nm5j5VnLmIdkIaJwJpcOy47LJQW+WV+lGiVxGMeVEWCKpsXpQo1XeZV2kdYFBm8WxDVKUBh4pa1GU9bsXVGX5EbpGkQA
13:31:27: [INFO] Add Net-(D66-A) net
13:31:27: [INFO] Add Net-(D67-A) net
13:31:27: [INFO] Add Net-(D68-A) net
13:31:27: [INFO] Add Net-(D69-A) net
13:31:27: [INFO] Add Net-(D7-A) net
13:31:27: [INFO] Add Net-(D70-A) net
13:31:27: [INFO] Add Net-(D71-A) net
13:31:27: [INFO] Add Net-(D72-A) net
13:31:27: [INFO] Add Net-(D73-A) net
13:31:27: [INFO] Add Net-(D74-A) net
13:31:27: [INFO] Add Net-(D75-A) net
13:31:27: [INFO] Add Net-(D76-A) net
13:31:27: [INFO] Add Net-(D77-A) net
13:31:27: [INFO] Add Net-(D78-A) net
13:31:27: [INFO] Add Net-(D79-A) net
13:31:27: [INFO] Add Net-(D8-A) net
13:31:27: [INFO] Add Net-(D80-A) net
13:31:27: [INFO] Add Net-(D81-A) net
13:31:27: [INFO] Add Net-(D82-A) net
13:31:27: [INFO] Add Net-(D9-A) net
13:31:27: [INFO] Add ROW0 net
13:31:27: [INFO] Add ROW1 net
13:31:27: [INFO] Add ROW2 net
13:31:27: [INFO] Add ROW3 net
13:31:27: [INFO] Add ROW4 net
13:31:27: [INFO] Add SW1 footprint
13:31:27: [INFO] Add D1 footprint
13:31:28: [INFO] Add SW2 footprint
13:31:28: [INFO] Add D2 footprint
13:31:28: [INFO] Add SW3 footprint
13:31:28: [INFO] Add D3 footprint
13:31:28: [INFO] Add SW4 footprint
13:31:28: [INFO] Add D4 footprint
13:31:28: [INFO] Add SW5 footprint
13:31:28: [INFO] Add D5 footprint
13:31:28: [INFO] Add SW6 footprint
13:31:28: [INFO] Add D6 footprint
13:31:28: [INFO] Add SW7 footprint
13:31:28: [INFO] Add D7 footprint
13:31:28: [INFO] Add SW8 footprint
13:31:28: [INFO] Add D8 footprint
13:31:28: [INFO] Add SW9 footprint
13:31:28: [INFO] Add D9 footprint
13:31:28: [INFO] Add SW10 footprint
13:31:28: [INFO] Add D10 footprint
13:31:28: [INFO] Add SW11 footprint
13:31:28: [INFO] Add D11 footprint
13:31:28: [INFO] Add SW12 footprint
