=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:49: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoCsBfANHcCMAZwsJp4BGPVTbc-cAXQwCgwpY4AmVLcATzYFoKADgDs6bu1pFWZJHirgALFLjE2QytwCcKtbPndSpWg2Z64KLtj7xBSUeOwpd4AMZtwAYhE-f4BQBsLiRwilZuHp4AhjGx-twiLu7wXq5p6fHYQiZMLDZwdg7cydjevj6E2ADubKSa2HhJkekZCsYE0iGkYY7gpJIdqhEpZeWV4DWyvaS4BKYsIcjO1gIUCGLFzS3uCriklebk9X2N+-PmnMu8q-ZiCpL7nbVyCsqPQyEavTrvhy+GxjOuXMliu+UKd24zl+w1KsTi3AAFs9ekEYSEekiUQpEjCSqltplwNkgWZrrZhBtsPjovCouNJnA6r1TgdYQSWkTAWyuj02g82TS6fTuIzmW09vRgTJEOFwWsqezPNsdtxcOwebUKNNGhrzjLLtx5bdepINU99K8MOaPupjjobX8DNRjHrpSFQUabg4FM5HTKAsdsm6ycaitTIsKGdjuLrBVtOW1rZqyHzDGb4yMo6KY9R1VKySFA2CbgF2FdkVNAhgECnQuFK0zjola-rFnKboqaSqibhaxamdq2o1W+62IaVhSTfca3W6s6lLOB18FDp+7bLQDZ222J7JwVKb1nOvzMWFNlR6HvV3I3To1XY0uht3CUmTzLusd+k+IEK7zmHzzbcx3gJYvSndZelwRQ5yHQxGhgnd4AnckD2nCQMBggd5ytLCNzgFdtEwud-hdYikLgbVwLQyEGmIwx6Pwz9pkkPC+mggsWAAJzYBBGmwLii3CLj8jCctuC6ORqP4HCoQwFBM1KcoKmrBT9T-eFxkbdhdnkxSvGUkQtPHGcFOkDS4itNSQI4Ui+j0-UeNsPjuEE2pcGwEJ+A81CZKkiMRkMolEjM59b0088HJs7zVz08zIiCrFkLaYxQt-cKEWwbThyiwsBAQfkHLoIA
13:31:50: [INFO] Add ROW7 net
13:31:50: [INFO] Add ROW8 net
13:31:50: [INFO] Add ROW9 net
13:31:50: [INFO] Add SW1 footprint
13:31:50: [INFO] Add D1 footprint
13:31:50: [INFO] Add SW2 footprint
13:31:50: [INFO] Add D2 footprint
13:31:50: [INFO] Add SW3 footprint
13:31:50: [INFO] Add D3 footprint
13:31:50: [INFO] Add SW4 footprint
13:31:50: [INFO] Add D4 footprint
13:31:50: [INFO] Add SW5 footprint
13:31:50: [INFO] Add D5 footprint
13:31:50: [INFO] Add SW6 footprint
13:31:50: [INFO] Add D6 footprint
13:31:50: [INFO] Add SW7 footprint
13:31:50: [INFO] Add D7 footprint
13:31:50: [INFO] Add SW8 footprint
13:31:50: [INFO] Add D8 footprint
13:31:50: [INFO] Add SW9 footprint
13:31:50: [INFO] Add D9 footprint
13:31:51: [INFO] Add SW10 footprint
13:31:51: [INFO] Add D10 footprint
13:31:51: [INFO] Add SW11 footprint
13:31:51: [INFO] Add D11 footprint
13:31:51: [INFO] Add SW12 footprint
13:31:51: [INFO] Add D12 footprint
13:31:51: [INFO] Add SW13 footprint
13:31:51: [INFO] Add D13 footprint
13:31:51: [INFO] Add SW14 footprint
13:31:51: [INFO] Add D14 footprint
13:31:51: [INFO] Add SW15 footprint
13:31:51: [INFO] Add D15 footprint
13:31:51: [INFO] Add SW16 footprint
13:31:51: [INFO] Add D16 footprint
13:31:51: [INFO] Add SW17 footprint
13:31:51: [INFO] Add D17 footprint
13:31:51: [INFO] Add ST17 footprint
13:31:51: [INFO] Add SW18 footprint
13:31:51: [INFO] Add D18 footprint
13:31:51: [INFO] Add SW19 footprint
13:31:51: [INFO] Add D19 footprint
13:31:51: [INFO] Add SW20 footprint
13:31:51: [INFO] Add D20 footprint
13:31:51: [INFO] Add SW21 footprint
13:31:51: [INFO] Add D21 footprint
13:31:51: [INFO] Add SW22 footprint
13:31:51: [INFO] Add D22 footprint
13:31:51: [INFO] Add SW23 footprint
13:31:51: [INFO] Add D23 footprint
13:31:51: [INFO] Add ST23 footprint
13:31:51: [INFO] Add SW24 footprint
13:31:51: [INFO] Add D24 footprint
13:31:51: [INFO] Add SW25 footprint
13:31:51: [INFO] Add D25 footprint
13:31:51: [INFO] Add SW26 footprint
13:31:52: [INFO] Add D26 footprint
13:31:52: [INFO] Add SW27 footprint
13:31:52: [INFO] Add D27 footprint
13:31:52: [INFO] Add SW28 footprint
13:31:52: [INFO] Add D28 footprint
13:31:52: [INFO] Add SW29 footprint
13:31:52: [INFO] Add D29 footprint
13:31:52: [INFO] Add SW30 footprint
13:31:52: [INFO] Add D30 footprint
13:31:52: [INFO] Add SW31 footprint
13:31:52: [INFO] Add D31 footprint
13:31:52: [INFO] Add SW32 footprint
13:31:52: [INFO] Add D32 footprint
13:31:52: [INFO] Add SW33 footprint
13:31:52: [INFO] Add D33 footprint
13:31:52: [INFO] Add SW34 footprint
13:31:52: [INFO] Add D34 footprint
13:31:52: [INFO] Add SW35 footprint
13:31:52: [INFO] Add D35 footprint
13:31:52: [INFO] Add SW36 footprint
13:31:52: [INFO] Add D36 footprint
13:31:52: [INFO] Add SW37 footprint
13:31:52: [INFO] Add D37 footprint
13:31:52: [INFO] Add SW38 footprint
13:31:52: [INFO] Add D38 footprint
13:31:52: [INFO] Add SW39 footprint
13:31:52: [INFO] Add D39 footprint
13:31:52: [INFO] Add SW40 footprint
13:31:52: [INFO] Add D40 footprint
13:31:52: [INFO] Add SW41 footprint
13:31:52: [INFO] Add D41 footprint
13:31:52: [INFO] Add SW42 footprint
13:31:52: [INFO] Add D42 footprint
13:31:52: [INFO] Add SW43 footprint
13:31:52: [INFO] Add D43 footprint
13:31:52: [INFO] Add SW44 footprint
13:31:52: [INFO] Add D44 footprint
13:31:52: [INFO] Add SW45 footprint
13:31:52: [INFO] Add D45 footprint
13:31:52: [INFO] Add SW46 footprint
13:31:52: [INFO] Add D46 footprint
13:31:52: [INFO] Add SW47 footprint
13:31:53: [INFO] Add D47 footprint
13:31:53: [INFO] Add SW48 footprint
13:31:53: [INFO] Add D48 footprint
13:31:53: [INFO] Add SW49 footprint
13:31:53: [INFO] Add D49 footprint
13:31:53: [INFO] Add SW50 footprint
13:31:53: [INFO] Add D50 footprint
13:31:53: [INFO] Add SW51 footprint
13:31:53: [INFO] Add D51 footprint
13:31:53: [INFO] Add SW52 footprint
13:31:53: [INFO] Add D52 footprint
13:31:53: [INFO] Add SW53 footprint
13:31:53: [INFO] Add D53 footprint
13:31:53: [INFO] Add SW54 footprint
13:31:53: [INFO] Add D54 footprint
13:31:53: [INFO] Add SW55 footprint
13:31:53: [INFO] Add D55 footprint
13:31:53: [INFO] Add SW56 footprint
13:31:53: [INFO] Add D56 footprint
13:31:53: [INFO] Add SW57 footprint
13:31:53: [INFO] Add D57 footprint
13:31:53: [INFO] Add SW58 footprint
13:31:53: [INFO] Add D58 footprint
13:31:53: [INFO] Add SW59 footprint
13:31:53: [INFO] Add D59 footprint
13:31:53: [INFO] Add ST59 footprint
13:31:53: [INFO] Add SW60 footprint
13:31:53: [INFO] Add D60 footprint
13:31:53: [INFO] Add SW61 footprint
13:31:53: [INFO] Add D61 footprint
13:31:53: [INFO] Add SW62 footprint
13:31:53: [INFO] Add D62 footprint
13:31:53: [INFO] Add SW63 footprint
13:31:54: [INFO] Add D63 footprint
13:31:54: [INFO] Add SW64 footprint
13:31:54: [INFO] Add D64 footprint
13:31:54: [INFO] Add SW65 footprint
13:31:54: [INFO] Add D65 footprint
13:31:54: [INFO] Add ST65 footprint
13:31:54: [INFO] Add SW66 footprint
13:31:54: [INFO] Add D66 footprint
13:31:54: [INFO] Add SW67 footprint
13:31:54: [INFO] Add D67 footprint
13:31:54: [INFO] Add SW68 footprint
13:31:54: [INFO] Add D68 footprint
13:31:54: [INFO] Add SW69 footprint
13:31:54: [INFO] Add D69 footprint
13:31:54: [INFO] Add SW70 footprint
13:31:54: [INFO] Add D70 footprint
13:31:54: [INFO] Add SW71 footprint
13:31:54: [INFO] Add D71 footprint
13:31:54: [INFO] Add SW72 footprint
13:31:54: [INFO] Add D72 footprint
13:31:54: [INFO] Add SW73 footprint
13:31:54: [INFO] Add D73 footprint
13:31:54: [INFO] Add SW74 footprint
13:31:54: [INFO] Add D74 footprint
13:31:54: [INFO] Add SW75 footprint
13:31:54: [INFO] Add D75 footprint
13:31:54: [INFO] Add SW76 footprint
13:31:54: [INFO] Add D76 footprint
13:31:54: [INFO] Detected layout convertible to matrix annotated keyboard
13:31:54: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:31:54: [INFO] Layout offset: (38100000, 28575000)
13:31:54: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:31:54: [INFO] Placing additional elements for SW76
13:31:54: [INFO] Placing additional elements for SW75
13:31:54: [INFO] Placing additional elements for SW74
13:31:54: [INFO] Placing additional elements for SW73
13:31:54: [INFO] Placing additional elements for SW72
13:31:54: [INFO] Placing additional elements for SW71
13:31:54: [INFO] Placing additional elements for SW70
13:31:54: [INFO] Placing additional elements for SW69
13:31:54: [INFO] Placing additional elements for SW68
13:31:54: [INFO] Placing additional elements for SW67
13:31:54: [INFO] Placing additional elements for SW66
13:31:54: [INFO] Placing additional elements for SW65
13:31:54: [INFO] Placing additional elements for SW64
13:31:54: [INFO] Placing additional elements for SW63
13:31:54: [INFO] Placing additional elements for SW62
13:31:54: [INFO] Placing additional elements for SW61
13:31:54: [INFO] Placing additional elements for SW60
13:31:54: [INFO] Placing additional elements for SW59
13:31:54: [INFO] Placing additional elements for SW58
13:31:54: [INFO] Placing additional elements for SW57
13:31:54: [INFO] Placing additional elements for SW56
13:31:54: [INFO] Placing additional elements for SW55
13:31:54: [INFO] Placing additional elements for SW54
13:31:54: [INFO] Placing additional elements for SW53
13:31:54: [INFO] Placing additional elements for SW52
13:31:54: [INFO] Placing additional elements for SW51
13:31:54: [INFO] Placing additional elements for SW50
13:31:54: [INFO] Placing additional elements for SW49
13:31:54: [INFO] Placing additional elements for SW48
13:31:54: [INFO] Placing additional elements for SW47
13:31:54: [INFO] Placing additional elements for SW46
13:31:54: [INFO] Placing additional elements for SW45
13:31:54: [INFO] Placing additional elements for SW44
13:31:54: [INFO] Placing additional elements for SW43
13:31:54: [INFO] Placing additional elements for SW42
13:31:54: [INFO] Placing additional elements for SW41
13:31:54: [INFO] Placing additional elements for SW40
13:31:54: [INFO] Placing additional elements for SW39
13:31:54: [INFO] Placing additional elements for SW38
13:31:54: [INFO] Placing additional elements for SW37
13:31:54: [INFO] Placing additional elements for SW36
13:31:54: [INFO] Placing additional elements for SW35
13:31:54: [INFO] Placing additional elements for SW34
13:31:54: [INFO] Placing additional elements for SW33
13:31:54: [INFO] Placing additional elements for SW32
13:31:54: [INFO] Placing additional elements for SW31
13:31:54: [INFO] Placing additional elements for SW30
13:31:54: [INFO] Placing additional elements for SW29
13:31:54: [INFO] Placing additional elements for SW28
13:31:54: [INFO] Placing additional elements for SW27
13:31:54: [INFO] Placing additional elements for SW26
13:31:54: [INFO] Placing additional elements for SW25
13:31:54: [INFO] Placing additional elements for SW24
13:31:54: [INFO] Placing additional elements for SW23
13:31:54: [INFO] Placing additional elements for SW22
13:31:54: [INFO] Placing additional elements for SW21
13:31:54: [INFO] Placing additional elements for SW20
13:31:54: [INFO] Placing additional elements for SW19
13:31:54: [INFO] Placing additional elements for SW18
13:31:54: [INFO] Placing additional elements for SW17
13:31:54: [INFO] Placing additional elements for SW16
13:31:54: [INFO] Placing additional elements for SW15
13:31:54: [INFO] Placing additional elements for SW14
13:31:54: [INFO] Placing additional elements for SW13
13:31:54: [INFO] Placing additional elements for SW12
13:31:54: [INFO] Placing additional elements for SW11
13:31:54: [INFO] Placing additional elements for SW10
13:31:54: [INFO] Placing additional elements for SW9
13:31:54: [INFO] Placing additional elements for SW8
13:31:54: [INFO] Placing additional elements for SW7
13:31:54: [INFO] Placing additional elements for SW6
13:31:54: [INFO] Placing additional elements for SW5
13:31:54: [INFO] Placing additional elements for SW4
13:31:54: [INFO] Placing additional elements for SW3
13:31:54: [INFO] Placing additional elements for SW2
13:31:54: [INFO] Placing additional elements for SW1
13:31:54: [INFO] Routing SW76 with D76
13:31:54: [INFO] Using internal autorouter method
13:31:54: [INFO] Routing pad 'SW76:2' at (393065000, 116363750) with pad 'D76:2' at (395605000, 124043750) using coordinate system rotated by 0 degree(s)
13:31:54: [INFO] Adding track segment (B.Cu): [(393065000, 116363750), (393065000, 121503750)]
13:31:54: [INFO] Adding track segment (B.Cu): [(393065000, 121503750), (395605000, 124043750)]
13:31:54: [INFO] Routing SW75 with D75
13:31:54: [INFO] Using internal autorouter method
13:31:54: [INFO] Routing pad 'SW75:2' at (397827500, 97313750) with pad 'D75:2' at (400367500, 104993750) using coordinate system rotated by 0 degree(s)
13:31:54: [INFO] Adding track segment (B.Cu): [(397827500, 97313750), (397827500, 102453750)]
13:31:54: [INFO] Adding track segment (B.Cu): [(397827500, 102453750), (400367500, 104993750)]
13:31:54: [INFO] Routing SW74 with D74
13:31:54: [INFO] Using internal autorouter method
13:31:54: [INFO] Routing pad 'SW74:2' at (397827500, 78263750) with pad 'D74:2' at (400367500, 85943750) using coordinate system rotated by 0 degree(s)
13:31:54: [INFO] Adding track segment (B.Cu): [(397827500, 78263750), (397827500, 83403750)]
13:31:54: [INFO] Adding track segment (B.Cu): [(397827500, 83403750), (400367500, 85943750)]
13:31:54: [INFO] Routing SW73 with D73
13:31:54: [INFO] Using internal autorouter method
13:31:54: [INFO] Routing pad 'SW73:2' at (397827500, 59213750) with pad 'D73:2' at (400367500, 66893750) using coordinate system rotated by 0 degree(s)
13:31:55: [INFO] Adding track segment (B.Cu): [(397827500, 59213750), (397827500, 64353750)]
13:31:55: [INFO] Adding track segment (B.Cu): [(397827500, 64353750), (400367500, 66893750)]
13:31:55: [INFO] Routing SW72 with D72
13:31:55: [INFO] Using internal autorouter method
13:31:55: [INFO] Routing pad 'SW72:2' at (397827500, 40163750) with pad 'D72:2' at (400367500, 47843750) using coordinate system rotated by 0 degree(s)
13:31:55: [INFO] Adding track segment (B.Cu): [(397827500, 40163750), (397827500, 45303750)]
13:31:55: [INFO] Adding track segment (B.Cu): [(397827500, 45303750), (400367500, 47843750)]
13:31:55: [INFO] Routing SW71 with D71
13:31:55: [INFO] Using internal autorouter method
13:31:55: [INFO] Routing pad 'SW71:2' at (258452745, 152427267) with pad 'D71:2' at (264492449, 157808341) using coordinate system rotated by 330.0 degree(s)
13:31:55: [INFO] Adding track segment (B.Cu): [(258452745, 152427267), (261022743, 156878636)]
