=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:10: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoDsBWAvgGjuADFguDhNPABxKY75YCMd4AulgFBhSxx6po0CeXALQ90NAMZdwAYhRz54bLgJ5icCJPgzxO3YpoFGJTvDo9qy+kWObc0gIaOna8AHcuCJbToBmNaS4eBAtwABZ6UOY2DjJuKhp3UyovOixVGylpXT0U+n8TODMkPFyGF1S6a3VwWxknZwSuOmSaCr9jWKCQisiWdgD4Lsak9C8ENPzarOzJMbyOrgBOFtxxsxc1o2qp+QVhxCRgud98zsO+XCn6x31ViKj+tw9zrx8JjK1p7NvwN62BuDLEJ-dLbTLXewuRKFXiveiMPoxJoANgEwlEwPofkREEE8BE532zRC4VUOIKdAu4DxcAJoxo4TKDKsLkZ2OiEAATk1xrhObFQrwaJyachgjRYkJmuLcDSpULLpkZrMDFh2pZIqq0C4CMiHkj8c16bhUlVwKl1easJqTVhteTJcS5mbxpbxjbwON7RyCvKSjQ3ma3pa3h63t7Ho7ihJwdcoU0VmFCJNMrs5PH4J5mTaNLH6j9whGONzDbzwPymtKqSKuG9cJLkGJZcJkFSpsqfgQUDqsOQe4se+sHcIfC9Wlg9ePu+O++OB+Ohz7JaP-XdJ3dp3dZ3cB8P8Y3MevflhN8ft8fd0uR4TFZ806foQevOF17nPhCMzCSVhd0wgA
13:31:11: [INFO] Add Net-(D19-A) net
13:31:11: [INFO] Add Net-(D2-A) net
13:31:11: [INFO] Add Net-(D20-A) net
13:31:11: [INFO] Add Net-(D21-A) net
13:31:11: [INFO] Add Net-(D22-A) net
13:31:11: [INFO] Add Net-(D23-A) net
13:31:11: [INFO] Add Net-(D24-A) net
13:31:11: [INFO] Add Net-(D25-A) net
13:31:11: [INFO] Add Net-(D26-A) net
13:31:11: [INFO] Add Net-(D27-A) net
13:31:11: [INFO] Add Net-(D28-A) net
13:31:11: [INFO] Add Net-(D29-A) net
13:31:11: [INFO] Add Net-(D3-A) net
13:31:11: [INFO] Add Net-(D30-A) net
13:31:11: [INFO] Add Net-(D31-A) net
13:31:11: [INFO] Add Net-(D32-A) net
13:31:11: [INFO] Add Net-(D33-A) net
13:31:11: [INFO] Add Net-(D34-A) net
13:31:11: [INFO] Add Net-(D35-A) net
13:31:11: [INFO] Add Net-(D36-A) net
13:31:11: [INFO] Add Net-(D37-A) net
13:31:11: [INFO] Add Net-(D38-A) net
13:31:11: [INFO] Add Net-(D39-A) net
13:31:11: [INFO] Add Net-(D4-A) net
13:31:11: [INFO] Add Net-(D40-A) net
13:31:11: [INFO] Add Net-(D41-A) net
13:31:11: [INFO] Add Net-(D42-A) net
13:31:11: [INFO] Add Net-(D43-A) net
13:31:11: [INFO] Add Net-(D44-A) net
13:31:11: [INFO] Add Net-(D45-A) net
13:31:11: [INFO] Add Net-(D46-A) net
13:31:11: [INFO] Add Net-(D47-A) net
13:31:11: [INFO] Add Net-(D48-A) net
13:31:11: [INFO] Add Net-(D49-A) net
13:31:11: [INFO] Add Net-(D5-A) net
13:31:11: [INFO] Add Net-(D50-A) net
13:31:11: [INFO] Add Net-(D51-A) net
13:31:11: [INFO] Add Net-(D52-A) net
13:31:11: [INFO] Add Net-(D53-A) net
13:31:11: [INFO] Add Net-(D54-A) net
13:31:11: [INFO] Add Net-(D55-A) net
13:31:11: [INFO] Add Net-(D56-A) net
13:31:11: [INFO] Add Net-(D57-A) net
13:31:11: [INFO] Add Net-(D58-A) net
13:31:11: [INFO] Add Net-(D59-A) net
13:31:11: [INFO] Add Net-(D6-A) net
13:31:11: [INFO] Add Net-(D60-A) net
13:31:11: [INFO] Add Net-(D61-A) net
13:31:11: [INFO] Add Net-(D62-A) net
13:31:11: [INFO] Add Net-(D63-A) net
13:31:11: [INFO] Add Net-(D64-A) net
13:31:11: [INFO] Add Net-(D65-A) net
13:31:11: [INFO] Add Net-(D66-A) net
13:31:11: [INFO] Add Net-(D7-A) net
13:31:11: [INFO] Add Net-(D8-A) net
13:31:11: [INFO] Add Net-(D9-A) net
13:31:11: [INFO] Add ROW0 net
13:31:11: [INFO] Add ROW1 net
13:31:11: [INFO] Add ROW2 net
13:31:11: [INFO] Add ROW3 net
13:31:11: [INFO] Add ROW4 net
13:31:11: [INFO] Add SW1 footprint
13:31:11: [INFO] Add D1 footprint
13:31:11: [INFO] Add SW2 footprint
13:31:11: [INFO] Add D2 footprint
13:31:11: [INFO] Add SW3 footprint
13:31:11: [INFO] Add D3 footprint
13:31:11: [INFO] Add SW4 footprint
13:31:11: [INFO] Add D4 footprint
13:31:11: [INFO] Add SW5 footprint
13:31:11: [INFO] Add D5 footprint
13:31:11: [INFO] Add SW6 footprint
13:31:11: [INFO] Add D6 footprint
13:31:11: [INFO] Add SW7 footprint
13:31:11: [INFO] Add D7 footprint
13:31:11: [INFO] Add SW8 footprint
13:31:11: [INFO] Add D8 footprint
13:31:11: [INFO] Add SW9 footprint
13:31:11: [INFO] Add D9 footprint
13:31:11: [INFO] Add SW10 footprint
13:31:11: [INFO] Add D10 footprint
13:31:11: [INFO] Add SW11 footprint
13:31:11: [INFO] Add D11 footprint
13:31:11: [INFO] Add SW12 footprint
13:31:11: [INFO] Add D12 footprint
13:31:11: [INFO] Add SW13 footprint
13:31:11: [INFO] Add D13 footprint
13:31:11: [INFO] Add SW14 footprint
13:31:11: [INFO] Add D14 footprint
13:31:11: [INFO] Add ST14 footprint
13:31:12: [INFO] Add SW15 footprint
13:31:12: [INFO] Add D15 footprint
13:31:12: [INFO] Add SW16 footprint
13:31:12: [INFO] Add D16 footprint
13:31:12: [INFO] Add SW17 footprint
13:31:12: [INFO] Add D17 footprint
13:31:12: [INFO] Add SW18 footprint
13:31:12: [INFO] Add D18 footprint
13:31:12: [INFO] Add SW19 footprint
13:31:12: [INFO] Add D19 footprint
13:31:12: [INFO] Add SW20 footprint
13:31:12: [INFO] Add D20 footprint
13:31:12: [INFO] Add SW21 footprint
13:31:12: [INFO] Add D21 footprint
13:31:12: [INFO] Add SW22 footprint
13:31:12: [INFO] Add D22 footprint
