=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
14:17:29: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoBMBWANHcBjW2BiAQxNPAF8twEMFwBdDAKDCnwEYBmJTbAT3wBaZAE40lbDXYpwVKZwbNWA+MKQJxVdrUUsI0eFyoq4asVTzxwBHLbsUtGdu1lwIlwgHZvP1+ADuHEiemtjaXLqsBnBcwby4+NakZFSBhqih4ChOKAA6AHYFBTR0VNlcRYX5Ja76+MjxaXAoGRJZOZXFTpF1hgAsGalBmZxOCox64ABO0Z5U0YJoPMb16vEe1j6+bVK1CVY2drYOkhgyE1FCS57a2BvEyUR+Teytji5Y7omHRyfg2uclL1TAA2CzfR5PIbpEJtcp7e5HY5ws49NiqMF3CGPZ7DNqjFwXCAzDgtdbfJF4HZOQlA9GIQb8IIaFHONFTUlUEnwbghLkmbijbALZB8pmqbjoakKOQYPp+GhoBUYEFokU8NraGVhOV+bRKxyqi7tbXteVlDAG7DZI106KvdDgg6Q3HwFD4y1+Uaqz70wQDRp4qijcZ0jmqaRc+1k-n4FpCv28+ImQQtR1Yg6Uv40TzKgAcypEyvYdCJiY1jlzjgLjiL71LdqEAwQKKr1owNfbdfbJbVTfUTsILo9bYgLziHu7Y6D2AJpfoQA
14:17:30: [INFO] Add SW14 footprint
14:17:30: [INFO] Add D14 footprint
14:17:31: [INFO] Add SW15 footprint
14:17:31: [INFO] Add D15 footprint
14:17:31: [INFO] Add SW16 footprint
14:17:31: [INFO] Add D16 footprint
14:17:31: [INFO] Add SW17 footprint
14:17:31: [INFO] Add D17 footprint
14:17:31: [INFO] Add SW18 footprint
14:17:31: [INFO] Add D18 footprint
14:17:31: [INFO] Add SW19 footprint
14:17:31: [INFO] Add D19 footprint
14:17:31: [INFO] Add SW20 footprint
14:17:31: [INFO] Add D20 footprint
14:17:31: [INFO] Add SW21 footprint
14:17:31: [INFO] Add D21 footprint
14:17:31: [INFO] Add SW22 footprint
14:17:31: [INFO] Add D22 footprint
14:17:31: [INFO] Add SW23 footprint
14:17:31: [INFO] Add D23 footprint
14:17:31: [INFO] Add SW24 footprint
14:17:31: [INFO] Add D24 footprint
14:17:31: [INFO] Add SW25 footprint
14:17:31: [INFO] Add D25 footprint
14:17:31: [INFO] Add SW26 footprint
14:17:31: [INFO] Add D26 footprint
14:17:31: [INFO] Add SW27 footprint
14:17:31: [INFO] Add D27 footprint
14:17:31: [INFO] Add SW28 footprint
14:17:31: [INFO] Add D28 footprint
14:17:31: [INFO] Add SW29 footprint
14:17:31: [INFO] Add D29 footprint
14:17:31: [INFO] Add SW30 footprint
14:17:31: [INFO] Add D30 footprint
14:17:31: [INFO] Add SW31 footprint
14:17:31: [INFO] Add D31 footprint
14:17:31: [INFO] Add SW32 footprint
14:17:31: [INFO] Add D32 footprint
14:17:31: [INFO] Add SW33 footprint
14:17:31: [INFO] Add D33 footprint
14:17:31: [INFO] Add SW34 footprint
14:17:31: [INFO] Add D34 footprint
14:17:31: [INFO] Add SW35 footprint
14:17:31: [INFO] Add D35 footprint
14:17:31: [INFO] Add SW36 footprint
14:17:31: [INFO] Add D36 footprint
14:17:31: [INFO] Add SW37 footprint
14:17:31: [INFO] Add D37 footprint
14:17:31: [INFO] Add SW38 footprint
14:17:31: [INFO] Add D38 footprint
14:17:32: [INFO] Add SW39 footprint
14:17:32: [INFO] Add D39 footprint
14:17:32: [INFO] Add SW39a footprint
14:17:32: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
14:17:32: [INFO] Add ST39a footprint
14:17:32: [INFO] Add SW40 footprint
14:17:32: [INFO] Add D40 footprint
14:17:32: [INFO] Add SW41 footprint
14:17:32: [INFO] Add D41 footprint
14:17:32: [INFO] Add SW42 footprint
14:17:32: [INFO] Add D42 footprint
14:17:32: [INFO] Add SW43 footprint
14:17:32: [INFO] Add D43 footprint
14:17:32: [INFO] Add ST43 footprint
14:17:32: [INFO] Add SW44 footprint
14:17:32: [INFO] Add D44 footprint
14:17:32: [INFO] Add SW45 footprint
14:17:32: [INFO] Add D45 footprint
14:17:32: [INFO] Add SW46 footprint
14:17:32: [INFO] Add D46 footprint
14:17:32: [INFO] Add SW47 footprint
14:17:32: [INFO] Add D47 footprint
14:17:32: [INFO] Add SW48 footprint
14:17:32: [INFO] Add D48 footprint
14:17:32: [INFO] Detected layout convertible to matrix annotated keyboard
14:17:32: [INFO] Using key 1U distance: (19.05, 19.05) mm
14:17:32: [INFO] Layout offset: (23812500, 28575000)
14:17:32: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
14:17:32: [INFO] Placing additional elements for SW48
14:17:32: [INFO] Placing additional elements for SW47
14:17:32: [INFO] Placing additional elements for SW46
14:17:32: [INFO] Placing additional elements for SW45
14:17:32: [INFO] Placing additional elements for SW44
14:17:32: [INFO] Placing additional elements for SW43
14:17:32: [INFO] Placing additional elements for SW42
14:17:32: [INFO] Placing additional elements for SW41
14:17:32: [INFO] Placing additional elements for SW40
14:17:32: [INFO] Placing additional elements for SW39a
14:17:32: [INFO] Placing additional elements for SW39
14:17:32: [INFO] Placing additional elements for SW38
14:17:32: [INFO] Placing additional elements for SW37
14:17:32: [INFO] Placing additional elements for SW36
14:17:32: [INFO] Placing additional elements for SW35
14:17:32: [INFO] Placing additional elements for SW34
14:17:32: [INFO] Placing additional elements for SW33
14:17:32: [INFO] Placing additional elements for SW32
14:17:32: [INFO] Placing additional elements for SW31
14:17:32: [INFO] Placing additional elements for SW30
14:17:32: [INFO] Placing additional elements for SW29
14:17:32: [INFO] Placing additional elements for SW28
14:17:32: [INFO] Placing additional elements for SW27
14:17:32: [INFO] Placing additional elements for SW26
14:17:32: [INFO] Placing additional elements for SW25
14:17:32: [INFO] Placing additional elements for SW24
14:17:32: [INFO] Placing additional elements for SW23
14:17:32: [INFO] Placing additional elements for SW22
14:17:32: [INFO] Placing additional elements for SW21
14:17:32: [INFO] Placing additional elements for SW20
14:17:32: [INFO] Placing additional elements for SW19
14:17:32: [INFO] Placing additional elements for SW18
14:17:32: [INFO] Placing additional elements for SW17
14:17:32: [INFO] Placing additional elements for SW16
14:17:32: [INFO] Placing additional elements for SW15
14:17:32: [INFO] Placing additional elements for SW14
14:17:32: [INFO] Placing additional elements for SW13
14:17:32: [INFO] Placing additional elements for SW12
14:17:32: [INFO] Placing additional elements for SW11
14:17:32: [INFO] Placing additional elements for SW10
14:17:32: [INFO] Placing additional elements for SW9
14:17:32: [INFO] Placing additional elements for SW8
14:17:32: [INFO] Placing additional elements for SW7
14:17:32: [INFO] Placing additional elements for SW6
14:17:32: [INFO] Placing additional elements for SW5
14:17:32: [INFO] Placing additional elements for SW4
14:17:32: [INFO] Placing additional elements for SW3
14:17:32: [INFO] Placing additional elements for SW2
14:17:32: [INFO] Placing additional elements for SW1
14:17:32: [INFO] Routing SW48 with D48
14:17:32: [INFO] Using internal autorouter method
14:17:32: [INFO] Routing pad 'SW48:2' at (312102500, 91122500) with pad 'D48:2' at (314642500, 98802500) using coordinate system rotated by 0 degree(s)
14:17:32: [INFO] Adding track segment (B.Cu): [(312102500, 91122500), (312102500, 96262500)]
14:17:32: [INFO] Adding track segment (B.Cu): [(312102500, 96262500), (314642500, 98802500)]
14:17:32: [INFO] Routing SW47 with D47
14:17:32: [INFO] Using internal autorouter method
14:17:32: [INFO] Routing pad 'SW47:2' at (258999845, 92165413) with pad 'D47:2' at (263081101, 99149491) using coordinate system rotated by 348.0 degree(s)
14:17:32: [INFO] Adding track segment (B.Cu): [(258999845, 92165413), (260068511, 97193092)]
14:17:32: [INFO] Adding track segment (B.Cu): [(260068511, 97193092), (263081101, 99149491)]
14:17:32: [INFO] Routing SW46 with D46
14:17:32: [INFO] Using internal autorouter method
14:17:32: [INFO] Routing pad 'SW46:2' at (228720064, 98601579) with pad 'D46:2' at (232801320, 105585657) using coordinate system rotated by 348.0 degree(s)
14:17:32: [INFO] Adding track segment (B.Cu): [(228720064, 98601579), (229788729, 103629257)]
14:17:32: [INFO] Adding track segment (B.Cu): [(229788729, 103629257), (232801320, 105585657)]
14:17:32: [INFO] Routing SW45 with D45
14:17:32: [INFO] Using internal autorouter method
14:17:32: [INFO] Routing pad 'SW45:2' at (203098710, 104047566) with pad 'D45:2' at (207179966, 111031644) using coordinate system rotated by 348.0 degree(s)
14:17:32: [INFO] Adding track segment (B.Cu): [(203098710, 104047566), (204167375, 109075245)]
14:17:32: [INFO] Adding track segment (B.Cu): [(204167375, 109075245), (207179966, 111031644)]
14:17:32: [INFO] Routing SW44 with D44
14:17:32: [INFO] Using internal autorouter method
14:17:32: [INFO] Routing pad 'SW44:2' at (167676926, 106510225) with pad 'D44:2' at (168564659, 114550493) using coordinate system rotated by 12.0 degree(s)
14:17:32: [INFO] Adding track segment (B.Cu): [(167676926, 106510225), (166608259, 111537901)]
14:17:32: [INFO] Adding track segment (B.Cu): [(166608259, 111537901), (168564659, 114550493)]
14:17:32: [INFO] Routing SW43 with D43
14:17:32: [INFO] Using internal autorouter method
14:17:32: [INFO] Routing pad 'SW43:2' at (139726358, 100569149) with pad 'D43:2' at (140614091, 108609417) using coordinate system rotated by 12.0 degree(s)
14:17:32: [INFO] Adding track segment (B.Cu): [(139726358, 100569149), (138657691, 105596826)]
14:17:32: [INFO] Adding track segment (B.Cu): [(138657691, 105596826), (140614091, 108609417)]
14:17:32: [INFO] Routing SW42 with D42
14:17:32: [INFO] Using internal autorouter method
14:17:32: [INFO] Routing pad 'SW42:2' at (107117362, 93637893) with pad 'D42:2' at (108005095, 101678161) using coordinate system rotated by 12.0 degree(s)
14:17:32: [INFO] Adding track segment (B.Cu): [(107117362, 93637893), (106048695, 98665571)]
14:17:32: [INFO] Adding track segment (B.Cu): [(106048695, 98665571), (108005095, 101678161)]
14:17:32: [INFO] Routing SW41 with D41
14:17:32: [INFO] Using internal autorouter method
14:17:32: [INFO] Routing pad 'SW41:2' at (59690000, 91122500) with pad 'D41:2' at (62230000, 98802500) using coordinate system rotated by 0 degree(s)
14:17:32: [INFO] Adding track segment (B.Cu): [(59690000, 91122500), (59690000, 96262500)]
14:17:32: [INFO] Adding track segment (B.Cu): [(59690000, 96262500), (62230000, 98802500)]
14:17:32: [INFO] Routing SW40 with D40
14:17:32: [INFO] Using internal autorouter method
14:17:32: [INFO] Routing pad 'SW40:2' at (321627500, 72072500) with pad 'D40:2' at (324167500, 79752500) using coordinate system rotated by 0 degree(s)
