=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:43: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoDsBWANHcBPWcAGJBADgF8twCMAmcLCaeEpNC7agRk-rkf2Q1M2AMb5wAYhTSZ4duE4ZOAFnABdDACgwUfJ1TDc+ALRESJSmPiSAhnftzK1ArwhXsEkV++OOS17rwnERsTkp0DODutvZ2vlRKCLwJKupaOkxwnCgGlHjwpkicNJbiUjLS8SWpGtr8Qax5JmYWomWxcZQA7nqs8ooukdGe3l7xijyRmcFIBP1Kk9gTEXzgPQ2hS4lpdYFZrUYFRMWl1uUV8QhKqrUZvUJNR0jmpx4dNsnrWQbyJYOrw1GY1+-im+AAnH1KNV-uBqos3GUKpVuvgaEghCDijs7kFXjFYp80RjNuArv9EWcgWJ5FcEXtIehaUoKVF2h0iQ0mZQ6TxbvUsihHnBCtzsHSkvy9opsPkRUQHtgvvpScoMC4pdMAGzC0Wq8LJNWcJKUI03dIQABOehK2EtmWUuTtcpVuv01DaVKB8WoJr8qjCaGS1C1OIFhVJihWCgwfpjAa2Qc1zRJIOjJTjJQTcIwSYtewVpKu0aucau2aued2mUL+Ik705331K0pHmpjZo8jVCdbBIcXdzYfA1oKJzt02QhkyxkdisOIvddfb8moKGDGBI6-B6+CQ+njrFMdDlEUa5PG+Sim3593yYKjtJJWP2BKZ5fF+hGG3d5FB8MLtmVF4HRQ81TfXt6w5ICmwHb980tAD0Eoac0BJYV9CQz0229AdnzJDA8KuN98M3Hkv3UNQgA
13:36:49: [INFO] Placing additional elements for SW4
13:36:49: [INFO] Placing additional elements for SW3
13:36:49: [INFO] Placing additional elements for SW2
13:36:49: [INFO] Placing additional elements for SW1
13:36:49: [INFO] Routing SW68 with D68
13:36:49: [INFO] Using internal autorouter method
13:36:49: [INFO] Routing pad 'SW68:2' at (388302500, 116268500) with pad 'D68:2' at (390842500, 123948500) using coordinate system rotated by 0 degree(s)
13:36:49: [INFO] Adding track segment (B.Cu): [(388302500, 116268500), (388302500, 121408500)]
13:36:49: [INFO] Adding track segment (B.Cu): [(388302500, 121408500), (390842500, 123948500)]
13:36:49: [INFO] Routing SW67 with D67
13:36:49: [INFO] Using internal autorouter method
13:36:49: [INFO] Routing pad 'SW67:2' at (369252500, 116268500) with pad 'D67:2' at (371792500, 123948500) using coordinate system rotated by 0 degree(s)
13:36:49: [INFO] Adding track segment (B.Cu): [(369252500, 116268500), (369252500, 121408500)]
13:36:49: [INFO] Adding track segment (B.Cu): [(369252500, 121408500), (371792500, 123948500)]
13:36:49: [INFO] Routing SW66 with D66
13:36:49: [INFO] Using internal autorouter method
13:36:49: [INFO] Routing pad 'SW66:2' at (350202500, 116268500) with pad 'D66:2' at (352742500, 123948500) using coordinate system rotated by 0 degree(s)
13:36:49: [INFO] Adding track segment (B.Cu): [(350202500, 116268500), (350202500, 121408500)]
13:36:49: [INFO] Adding track segment (B.Cu): [(350202500, 121408500), (352742500, 123948500)]
13:36:49: [INFO] Routing SW65 with D65
13:36:49: [INFO] Using internal autorouter method
