=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:41:17: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoDsBWANHcBjW2BiAQxNPAF8twAGDa8K2gRgbgmnmqU2z3nAIohwiowwJWEPoRyy5o7LQDMrGhgAsq2mi0YAbLpS6AHLoCcupvTFMWNiTZU3NWKfgGkyVAO74ElRQwmNAAdADtw8NprNih8LjQAtSYjVzjOVB5cdwI5eSTmUIji5ks9SJKg8ABdDAAoMHTETKppD08iBXAmOlUeu1iOOASffCZuJJ6HWLbcvLxJjCdsHpcVjB0qHoMtjFT1012LXas+oIHuoOnLpmWbtbd+Yg7VX3hxxJOiip6Y9niJid9v93txWjlhCJRqCEFkABZ+HwSUHw5FwHrYSBogC0XFhSQQQW+xX6NXqjSGyHQ4KeHU6BN6VEJAxBwzB2De6MyDOmjxk8y6hLuhLW4EJm2whJ2kr2qkJhxlxxlpyZ5zlV3Vt0k2SekKErz8SHxquCFXCv21QxGvBydMFQWBTWtOv5eXtTHUZrCpNqDT57U8Bphn2wSnEXuZ2tm8wWVDDSgjVTSVvZLoDZCSYZi4DDLKdqc5yGNofDxXChL+abmbszGlUYYlOf09dlcYwCqbSqbKpLthbTGuueW-uegehXPQtY9lrGgN7Rl9FLGZlTAE98LjuW2mAZF6yqVl1-BN8XwOpGdhz3mU1lOeNT+eEF6s9q70aQ2els+LxA3w+NN+lbRgK456O+STnsYgFRraLzjh8EFXNBaRvh+V4JmWYQvnuTRMMYa4blwk5UFejZXtKn4pGSfpNGg75UEecAnres5oaWFS5q+rGIRhHFJjMOQxkGcAoIhUGYZxaSzHa8FzpRT4Sfxv7cSRQS8cUnE4UMdGwrJ-4KXx1znup4Rhry4B-mxnqKeZwFuqBYnfrZsFjhys7-rYTmqFeBkaeIXHBohtxeVp+A6SxKKIb5plLN5X6KcOFkqZeAEJTBTxCeORZseUaUoYaxEpeJfGJdJcFuZFqmeXlKUDt+iWoUFJlYbF1TVEAA
13:41:24: [INFO] Add SW81 footprint
13:41:24: [INFO] Add D81 footprint
13:41:24: [INFO] Add SW82 footprint
13:41:24: [INFO] Add D82 footprint
13:41:24: [INFO] Detected layout convertible to matrix annotated keyboard
13:41:24: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:41:24: [INFO] Layout offset: (33337500, 28575000)
13:41:24: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:41:24: [INFO] Placing additional elements for SW82
13:41:24: [INFO] Placing additional elements for SW81
13:41:24: [INFO] Placing additional elements for SW80
13:41:24: [INFO] Placing additional elements for SW79a
13:41:24: [INFO] Placing additional elements for SW79
13:41:24: [INFO] Placing additional elements for SW78b
13:41:24: [INFO] Placing additional elements for SW78a
13:41:24: [INFO] Placing additional elements for SW78
13:41:24: [INFO] Placing additional elements for SW77a
13:41:24: [INFO] Placing additional elements for SW77
13:41:24: [INFO] Placing additional elements for SW76b
13:41:24: [INFO] Placing additional elements for SW76a
13:41:24: [INFO] Placing additional elements for SW76
13:41:24: [INFO] Placing additional elements for SW75
13:41:24: [INFO] Placing additional elements for SW74b
13:41:24: [INFO] Placing additional elements for SW74a
13:41:24: [INFO] Placing additional elements for SW74
13:41:24: [INFO] Placing additional elements for SW73c
13:41:24: [INFO] Placing additional elements for SW73b
13:41:24: [INFO] Placing additional elements for SW73a
13:41:24: [INFO] Placing additional elements for SW73
13:41:24: [INFO] Placing additional elements for SW72a
13:41:24: [INFO] Placing additional elements for SW72
13:41:24: [INFO] Placing additional elements for SW71
13:41:24: [INFO] Placing additional elements for SW70
13:41:24: [INFO] Placing additional elements for SW69
13:41:24: [INFO] Placing additional elements for SW68
13:41:24: [INFO] Placing additional elements for SW67
13:41:24: [INFO] Placing additional elements for SW66
13:41:24: [INFO] Placing additional elements for SW65
13:41:24: [INFO] Placing additional elements for SW64
