=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:38: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareAvgGgQBi7gDoB2JJALFgIzg7j5VmnGU04QAescuAdAEwBWOtHhJIEybQQATbgBcATgFcAptjwEmFAtIhz4StRvrVtLXe3Bd4fYQlEJEAdldvMdfPz1Ru4yRIemgDM0qbkYfiCkVgAbDHOMQAcPjZwVLy4JsK4YcJsCMLedMKhJVgR5dFWjkho6HQA7tz82VjO5vi5NX6IAYF0BnBG6uVJ5sGWcJzcfM72vmIo9chB4MKxndR57VsFM-D8mW3jzCSTNAC6WABQwOBUWmcWBQ9mz6ypswILtX39YSGIxMjyIHym+gUKlGCEejHB3Wm1m+v16K1WTW4GUEIKwxSRf360FxZVhFTCj2qZPidEeiSsaQyWTosSm4FZr1Z+PZWFJPMqCFZVJ5NKRzXg2JMrI6z1BPiB0KlWFOTEmiIOcCO+AcvTc7kxEp+dAAFi0mt5DQtjRb0nQODaALR8IQmZy7WXbBlY3iopbotaslXMC7ga53cD8J5MT50SPw6OepFpZ2+pxEwFQ4yxqPMSjq8AKrMIOPmPNfWw+kRolZhcXpXjzEyR-EQQkApu8sKRgURrDCyOi3v0pPe5kIN2I8Bu15u7luvluntuqmt3V64fgOtHF10N0yphynpLdODTMwqfKiYQ5GGscXzYe-Y3zUN1N1Guuy-PENh+5q0uJuAFwAU+yZGjqx4AqehiKnQ-4IvKZ4mMBCFehWb7LPUtYtD8yF4uYkb5m2ARrJMPaTMKkyDpMG6TCkaH1neSRssxrzMdyzF8sx5DmDkPh-P6Bovo2dDMQ+TB8UeaZQbISGiV+qrXmBIkINxvGJqufo1kJGQqeAYnqWx7oSRpz4piYzFBuc2y-uAeYgWErAOQxKZVpBJHQcMsEIPZqFIoW55OX5Gp2G5TiCQgdYZDuPl4j4UW4XQlCkhACUxXZ5JWGlOJJX25jMfmW6JbF+7MAV5aMUJRx6QAnO8TCsoV3rpXV-DmBO8XNTlCB1cE7XXtlJh1eJzAdVlXVDcZo3XsRUiecCdB1VZxBqhVcwLAlelqc8RT8dWWEWXE6kcVNJC7S5xXgEtV5XLcYDPuQr46Zdkxtc8cZhJMfXvaZjKVpFOHpZQgj5aZg25aVJCsRVTLPS1OYkBynWWpN8bMEji34c805hL1-WvHVPHY4Bw347jp3EDjv4akk-2bhNuUg887GOUdzNxeNhpAxTLOXJcQA
13:35:39: [INFO] Add Net-(D66-A) net
13:35:39: [INFO] Add Net-(D67-A) net
13:35:39: [INFO] Add Net-(D68-A) net
13:35:39: [INFO] Add Net-(D69-A) net
13:35:39: [INFO] Add Net-(D7-A) net
13:35:39: [INFO] Add Net-(D70-A) net
13:35:39: [INFO] Add Net-(D71-A) net
13:35:39: [INFO] Add Net-(D72-A) net
13:35:39: [INFO] Add Net-(D73-A) net
13:35:39: [INFO] Add Net-(D74-A) net
13:35:39: [INFO] Add Net-(D75-A) net
13:35:39: [INFO] Add Net-(D76-A) net
13:35:39: [INFO] Add Net-(D77-A) net
13:35:39: [INFO] Add Net-(D78-A) net
13:35:39: [INFO] Add Net-(D79-A) net
13:35:39: [INFO] Add Net-(D8-A) net
13:35:39: [INFO] Add Net-(D80-A) net
13:35:39: [INFO] Add Net-(D81-A) net
13:35:39: [INFO] Add Net-(D82-A) net
13:35:39: [INFO] Add Net-(D83-A) net
13:35:39: [INFO] Add Net-(D84-A) net
13:35:39: [INFO] Add Net-(D85-A) net
13:35:39: [INFO] Add Net-(D9-A) net
13:35:39: [INFO] Add ROW0 net
13:35:39: [INFO] Add ROW1 net
13:35:39: [INFO] Add ROW2 net
13:35:39: [INFO] Add ROW3 net
13:35:39: [INFO] Add ROW4 net
13:35:39: [INFO] Add ROW5 net
13:35:39: [INFO] Add ROW6 net
13:35:39: [INFO] Add ROW7 net
13:35:39: [INFO] Add ROW8 net
13:35:39: [INFO] Add ROW9 net
13:35:39: [INFO] Add SW1 footprint
13:35:39: [INFO] Add D1 footprint
13:35:39: [INFO] Add SW2 footprint
13:35:39: [INFO] Add D2 footprint
13:35:39: [INFO] Add SW3 footprint
13:35:39: [INFO] Add D3 footprint
13:35:39: [INFO] Add SW4 footprint
13:35:40: [INFO] Add D4 footprint
13:35:40: [INFO] Add SW5 footprint
13:35:40: [INFO] Add D5 footprint
13:35:40: [INFO] Add SW6 footprint
13:35:40: [INFO] Add D6 footprint
13:35:40: [INFO] Add SW7 footprint
13:35:40: [INFO] Add D7 footprint
13:35:40: [INFO] Add SW8 footprint
13:35:40: [INFO] Add D8 footprint
13:35:40: [INFO] Add SW9 footprint
13:35:40: [INFO] Add D9 footprint
13:35:40: [INFO] Add SW10 footprint
13:35:40: [INFO] Add D10 footprint
13:35:40: [INFO] Add SW11 footprint
13:35:40: [INFO] Add D11 footprint
13:35:40: [INFO] Add SW12 footprint
