=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:57: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIBNwLgAgC4CcCuBTAvgGjuADFngDoB2ppAjFgEzg4TTzLra4EXlklW33gAesOHgB01AKw5wAYyHgAxAENlKurgDOAWzlIA9ggD6aaRQrhW+Qp0pYOXa1zR41ELXPNT2Dqmb6D4ohIWBMT23IRqlnacVM5+QqKSuLLwCgDsGZkebDQuMnLy0kXF2ZYAzJEEACyVWOK1AGy1abUAHHn+cBQieBaScbiSvoO5UpIVY1g1k-V8KbhKKsqRAO5C1H1YaQ4hkZKtDtQR8QEiSfmphcVFpZINO7Z7Ww-DEPMKS8tSbql6hsamW5YA5hI7RMKcNBmAC6WAAUGALgtrjdvtpUpFGIhUJgpLFvKM4AwhMxcbgfATeESBAkxOd3oslqV8WEfJEKazHidhHSLCyYsdybYCQMIJ1ElI1vBuuI+YS3gUUbI5RMhdMhbMhU08VsOkJur0pA1BeBjcNTYSLaqLeqLZqLdrqVKumcLMaWnMCp9FKVje1YQiFZclZiSTiLEdQgKqcSmOGpGDKXrThIpAzvaVIwTzYnOa8aSnZQmrJyBuBcwLRQWeednd00kXcEcY0iFCGI1hrUdbUd7UdHeXddyDRY0iax+ax1TwGPrWPbWPNUGFpkspL1rypGOPdT059SmP-fDEQyQ1IsaSLGUS9G8hf47hr+CbC3xXS01791eb1w2VIn9myY8kE-4-jYZYAaWQESrgzrUJuj7yq2VzXKU162te9rXgO147uA17tMOPQWK0JqkeapHTqR1qkeqy4fPu67SiIDYkVgA6kXhpFHoGyFnrg94sFIVRgeELaCWS4Aic+YnQe+ySfkyFgiVGv5crg0mAdygSNlJomxJEmlQdpZxMS6IEaUhdYIXpqoQNZFl6XR4AObpIlLi5G6OSJO5ivqPRmfBrFSAAnOp9n+Y5YUtq5FhhXZ1aJHF7GRGFeFhf60JAA
13:35:58: [INFO] Add Net-(D64-A) net
13:35:58: [INFO] Add Net-(D65-A) net
13:35:58: [INFO] Add Net-(D66-A) net
13:35:58: [INFO] Add Net-(D67-A) net
13:35:58: [INFO] Add Net-(D68-A) net
13:35:58: [INFO] Add Net-(D69-A) net
13:35:58: [INFO] Add Net-(D7-A) net
13:35:58: [INFO] Add Net-(D70-A) net
13:35:58: [INFO] Add Net-(D71-A) net
13:35:58: [INFO] Add Net-(D72-A) net
13:35:58: [INFO] Add Net-(D73-A) net
13:35:58: [INFO] Add Net-(D74-A) net
13:35:58: [INFO] Add Net-(D75-A) net
13:35:58: [INFO] Add Net-(D76-A) net
13:35:58: [INFO] Add Net-(D77-A) net
13:35:58: [INFO] Add Net-(D78-A) net
13:35:58: [INFO] Add Net-(D79-A) net
13:35:58: [INFO] Add Net-(D8-A) net
13:35:58: [INFO] Add Net-(D80-A) net
13:35:58: [INFO] Add Net-(D9-A) net
13:35:58: [INFO] Add ROW0 net
13:35:58: [INFO] Add ROW1 net
13:35:58: [INFO] Add ROW2 net
13:35:58: [INFO] Add ROW3 net
13:35:58: [INFO] Add ROW4 net
13:35:58: [INFO] Add ROW5 net
13:35:58: [INFO] Add ROW6 net
13:35:58: [INFO] Add ROW7 net
13:35:58: [INFO] Add ROW8 net
13:35:58: [INFO] Add ROW9 net
13:35:58: [INFO] Add SW1 footprint
13:35:58: [INFO] Add D1 footprint
13:35:58: [INFO] Add SW1a footprint
13:35:58: [INFO] Add SW2 footprint
13:35:58: [INFO] Add D2 footprint
13:35:58: [INFO] Add SW3 footprint
13:35:58: [INFO] Add D3 footprint
13:35:58: [INFO] Add SW4 footprint
13:35:58: [INFO] Add D4 footprint
13:35:58: [INFO] Add SW5 footprint
13:35:58: [INFO] Add D5 footprint
13:35:58: [INFO] Add SW6 footprint
13:35:58: [INFO] Add D6 footprint
13:35:58: [INFO] Add SW7 footprint
13:35:58: [INFO] Add D7 footprint
13:35:58: [INFO] Add SW8 footprint
13:35:58: [INFO] Add D8 footprint
13:35:58: [INFO] Add SW9 footprint
13:35:58: [INFO] Add D9 footprint
13:35:58: [INFO] Add SW10 footprint
13:35:58: [INFO] Add D10 footprint
13:35:58: [INFO] Add SW11 footprint
13:35:58: [INFO] Add D11 footprint
13:35:58: [INFO] Add SW12 footprint
13:35:59: [INFO] Add D12 footprint
13:35:59: [INFO] Add SW13 footprint
13:35:59: [INFO] Add D13 footprint
13:35:59: [INFO] Add SW14 footprint
13:35:59: [INFO] Add D14 footprint
13:35:59: [INFO] Add SW15 footprint
13:35:59: [INFO] Add D15 footprint
13:35:59: [INFO] Add SW16 footprint
13:35:59: [INFO] Add D16 footprint
13:35:59: [INFO] Add SW17 footprint
13:35:59: [INFO] Add D17 footprint
13:35:59: [INFO] Add SW18 footprint
13:35:59: [INFO] Add D18 footprint
13:35:59: [INFO] Add SW19 footprint
13:35:59: [INFO] Add D19 footprint
13:35:59: [INFO] Add SW20 footprint
13:35:59: [INFO] Add D20 footprint
13:35:59: [INFO] Add SW21 footprint
13:35:59: [INFO] Add D21 footprint
13:35:59: [INFO] Add SW22 footprint
13:35:59: [INFO] Add D22 footprint
13:35:59: [INFO] Add SW23 footprint
13:35:59: [INFO] Add D23 footprint
13:35:59: [INFO] Add SW24 footprint
