=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:48: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareAvgGgQBi7uDhAB6xy4B0ATAKw5TlIDsrbmD+AjEXBNPCSRhIjnizVe4fAGYp+ACzystZQDZlzZQA5lATmVdCnLFx4mukhl1NzijQSjSox02+AC6WAFDBwN4z5wMngqOgYAd3IuGlpsBBtzIIEERBFReP8JKRs7BKwlaxUcrA0irSLdIoMioxKzeqtkpkQ2dkjoymY4hmp3L19+FucXTL7A0nIw+gQo+BjusdNeIcd04Vc+pvA+vJ2CqT7VXtLDrAqEPqrLrBqbupOG+xSkEeQpObgYuiXLKRl+j4-ACJsFOj0EACkhBPt8IeAAU1Vql1tAOvBmJkAcwADoAO3x+PwoJeTmcH06PwYUKSCNMkgGYDB8AUXRm4AAnlNYliCoSCXjuCsHCj1hT4NQedSVPyict7J9JYtpbiBXLoSLXiNXAC9LLBcsPB4gA
13:31:51: [INFO] Add SW36 footprint
13:31:51: [INFO] Add D36 footprint
13:31:51: [INFO] Add SW37 footprint
13:31:51: [INFO] Add D37 footprint
13:31:51: [INFO] Add SW38 footprint
13:31:51: [INFO] Add D38 footprint
13:31:51: [INFO] Add SW39 footprint
13:31:51: [INFO] Add D39 footprint
13:31:51: [INFO] Add SW40 footprint
13:31:51: [INFO] Add D40 footprint
13:31:51: [INFO] Add SW41 footprint
13:31:51: [INFO] Add D41 footprint
13:31:51: [INFO] Add SW42 footprint
13:31:51: [INFO] Add D42 footprint
13:31:51: [INFO] Add SW43 footprint
13:31:51: [INFO] Add D43 footprint
13:31:51: [INFO] Add SW44 footprint
13:31:51: [INFO] Add D44 footprint
13:31:51: [INFO] Add SW45 footprint
13:31:51: [INFO] Add D45 footprint
13:31:51: [INFO] Add SW46 footprint
13:31:51: [INFO] Add D46 footprint
13:31:51: [INFO] Add SW47 footprint
13:31:51: [INFO] Add D47 footprint
13:31:51: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:51: [INFO] Add ST47 footprint
13:31:51: [INFO] Add SW48 footprint
13:31:52: [INFO] Add D48 footprint
13:31:52: [INFO] Add ST48 footprint
13:31:52: [INFO] Add SW48a footprint
13:31:52: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:31:52: [INFO] Add ST48a footprint
13:31:52: [INFO] Add SW49 footprint
13:31:52: [INFO] Add D49 footprint
13:31:52: [INFO] Add SW50 footprint
13:31:52: [INFO] Add D50 footprint
13:31:52: [INFO] Add SW51 footprint
13:31:52: [INFO] Add D51 footprint
13:31:52: [INFO] Add SW52 footprint
13:31:52: [INFO] Add D52 footprint
13:31:52: [INFO] Detected layout convertible to matrix annotated keyboard
13:31:52: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:31:52: [INFO] Layout offset: (28575000, 28575000)
13:31:52: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:31:52: [INFO] Placing additional elements for SW52
13:31:52: [INFO] Placing additional elements for SW51
13:31:52: [INFO] Placing additional elements for SW50
13:31:52: [INFO] Placing additional elements for SW49
13:31:52: [INFO] Placing additional elements for SW48a
13:31:52: [INFO] Placing additional elements for SW48
13:31:52: [INFO] Placing additional elements for SW47
13:31:52: [INFO] Placing additional elements for SW46
13:31:52: [INFO] Placing additional elements for SW45
13:31:52: [INFO] Placing additional elements for SW44
13:31:52: [INFO] Placing additional elements for SW43
13:31:52: [INFO] Placing additional elements for SW42
13:31:52: [INFO] Placing additional elements for SW41
13:31:52: [INFO] Placing additional elements for SW40
13:31:52: [INFO] Placing additional elements for SW39
13:31:52: [INFO] Placing additional elements for SW38
13:31:52: [INFO] Placing additional elements for SW37
13:31:52: [INFO] Placing additional elements for SW36
13:31:52: [INFO] Placing additional elements for SW35
13:31:52: [INFO] Placing additional elements for SW34
13:31:52: [INFO] Placing additional elements for SW33
13:31:52: [INFO] Placing additional elements for SW32
13:31:52: [INFO] Placing additional elements for SW31
13:31:52: [INFO] Placing additional elements for SW30
13:31:52: [INFO] Placing additional elements for SW29
13:31:52: [INFO] Placing additional elements for SW28
13:31:52: [INFO] Placing additional elements for SW27
13:31:52: [INFO] Placing additional elements for SW26
13:31:52: [INFO] Placing additional elements for SW25
13:31:52: [INFO] Placing additional elements for SW24
13:31:52: [INFO] Placing additional elements for SW23
13:31:52: [INFO] Placing additional elements for SW22
13:31:52: [INFO] Placing additional elements for SW21
13:31:52: [INFO] Placing additional elements for SW20
13:31:52: [INFO] Placing additional elements for SW19
13:31:52: [INFO] Placing additional elements for SW18
13:31:52: [INFO] Placing additional elements for SW17
13:31:52: [INFO] Placing additional elements for SW16
13:31:52: [INFO] Placing additional elements for SW15
13:31:52: [INFO] Placing additional elements for SW14
13:31:52: [INFO] Placing additional elements for SW13
13:31:52: [INFO] Placing additional elements for SW12
13:31:52: [INFO] Placing additional elements for SW11
13:31:52: [INFO] Placing additional elements for SW10
13:31:52: [INFO] Placing additional elements for SW9
13:31:52: [INFO] Placing additional elements for SW8
13:31:52: [INFO] Placing additional elements for SW7
13:31:52: [INFO] Placing additional elements for SW6
13:31:52: [INFO] Placing additional elements for SW5
13:31:52: [INFO] Placing additional elements for SW4
13:31:52: [INFO] Placing additional elements for SW3
13:31:52: [INFO] Placing additional elements for SW2
13:31:52: [INFO] Placing additional elements for SW1
13:31:52: [INFO] Routing SW52 with D52
13:31:52: [INFO] Using internal autorouter method
13:31:52: [INFO] Routing pad 'SW52:2' at (312102500, 71120000) with pad 'D52:2' at (314642500, 78800000) using coordinate system rotated by 0 degree(s)
13:31:52: [INFO] Adding track segment (B.Cu): [(312102500, 71120000), (312102500, 76260000)]
13:31:52: [INFO] Adding track segment (B.Cu): [(312102500, 76260000), (314642500, 78800000)]
13:31:52: [INFO] Routing SW51 with D51
13:31:52: [INFO] Using internal autorouter method
13:31:52: [INFO] Routing pad 'SW51:2' at (288290000, 90170000) with pad 'D51:2' at (290830000, 97850000) using coordinate system rotated by 0 degree(s)
13:31:52: [INFO] Adding track segment (B.Cu): [(288290000, 90170000), (288290000, 95310000)]
13:31:52: [INFO] Adding track segment (B.Cu): [(288290000, 95310000), (290830000, 97850000)]
13:31:52: [INFO] Routing SW50 with D50
13:31:52: [INFO] Using internal autorouter method
13:31:52: [INFO] Routing pad 'SW50:2' at (266858750, 90170000) with pad 'D50:2' at (269398750, 97850000) using coordinate system rotated by 0 degree(s)
13:31:52: [INFO] Adding track segment (B.Cu): [(266858750, 90170000), (266858750, 95310000)]
13:31:52: [INFO] Adding track segment (B.Cu): [(266858750, 95310000), (269398750, 97850000)]
13:31:52: [INFO] Routing SW49 with D49
13:31:52: [INFO] Using internal autorouter method
13:31:52: [INFO] Routing pad 'SW49:2' at (245427500, 90170000) with pad 'D49:2' at (247967500, 97850000) using coordinate system rotated by 0 degree(s)
13:31:52: [INFO] Adding track segment (B.Cu): [(245427500, 90170000), (245427500, 95310000)]
13:31:52: [INFO] Adding track segment (B.Cu): [(245427500, 95310000), (247967500, 97850000)]
13:31:52: [INFO] Routing SW48a with D48
13:31:52: [INFO] Using internal autorouter method
13:31:52: [INFO] Routing pad 'SW48a:2' at (209708750, 90170000) with pad 'D48:2' at (190817500, 97850000) using coordinate system rotated by 0 degree(s)
13:31:52: [INFO] Adding track segment (B.Cu): [(209708750, 90170000), (198497500, 90170000)]
13:31:52: [INFO] Adding track segment (B.Cu): [(198497500, 90170000), (190817500, 97850000)]
13:31:52: [INFO] Routing SW48 with D48
13:31:52: [INFO] Using internal autorouter method
13:31:52: [INFO] Routing pad 'SW48:2' at (188277500, 90170000) with pad 'D48:2' at (190817500, 97850000) using coordinate system rotated by 0 degree(s)
13:31:52: [INFO] Adding track segment (B.Cu): [(188277500, 90170000), (188277500, 95310000)]
13:31:52: [INFO] Adding track segment (B.Cu): [(188277500, 95310000), (190817500, 97850000)]
13:31:52: [INFO] Routing SW47 with D47
13:31:52: [INFO] Using internal autorouter method
13:31:52: [INFO] Routing pad 'SW47:2' at (162083750, 90170000) with pad 'D47:2' at (164623750, 97850000) using coordinate system rotated by 0 degree(s)
13:31:52: [INFO] Adding track segment (B.Cu): [(162083750, 90170000), (162083750, 95310000)]
13:31:52: [INFO] Adding track segment (B.Cu): [(162083750, 95310000), (164623750, 97850000)]
13:31:52: [INFO] Routing SW46 with D46
13:31:52: [INFO] Using internal autorouter method
13:31:52: [INFO] Routing pad 'SW46:2' at (131127500, 90170000) with pad 'D46:2' at (133667500, 97850000) using coordinate system rotated by 0 degree(s)
13:31:52: [INFO] Adding track segment (B.Cu): [(131127500, 90170000), (131127500, 95310000)]
13:31:52: [INFO] Adding track segment (B.Cu): [(131127500, 95310000), (133667500, 97850000)]
13:31:52: [INFO] Routing SW45 with D45
13:31:52: [INFO] Using internal autorouter method
13:31:52: [INFO] Routing pad 'SW45:2' at (109696250, 90170000) with pad 'D45:2' at (112236250, 97850000) using coordinate system rotated by 0 degree(s)
13:31:52: [INFO] Adding track segment (B.Cu): [(109696250, 90170000), (109696250, 95310000)]
13:31:52: [INFO] Adding track segment (B.Cu): [(109696250, 95310000), (112236250, 97850000)]
13:31:52: [INFO] Routing SW44 with D44
13:31:52: [INFO] Using internal autorouter method
13:31:52: [INFO] Routing pad 'SW44:2' at (88265000, 90170000) with pad 'D44:2' at (90805000, 97850000) using coordinate system rotated by 0 degree(s)
13:31:52: [INFO] Adding track segment (B.Cu): [(88265000, 90170000), (88265000, 95310000)]
13:31:52: [INFO] Adding track segment (B.Cu): [(88265000, 95310000), (90805000, 97850000)]
13:31:52: [INFO] Routing SW43 with D43
13:31:52: [INFO] Using internal autorouter method
