=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:38:11: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareAvgGgQBi7uDhAB6xy4B0ATAKzYICMBReWjr4zHO4+1rUuSp0GXLAN74AzJ2aypWACyDwZeCPq9mKxbTlZ9igGyr1cRpQDstXtHhIrT55kVWD7xQA4DPgLpYAFDA4NQsxGrCNLYI9ggoaKiuCNLhCGE8KeycYZJwQhrRYql5oVgKWRVluvmRhaK8qTVlRlmtZaYR5pY2duSOzk7JZZ5Zo2U+jVj+QWB1FgCc1jHgAJ7kALSafQ4JicO2xgA6AHanp-iZ4AtYx2f3l+ABwRDr8FuUWghKaRBxSJBAUCDmlwD8rrYrj9SrZSj8qrYqj9mrZmj92rZ2j9OrV-nt0LwAO7kahiQ7nB6-eZUL5grDjWzjH6TBC2GYvcDE+CWWnGKl4oHAsRWUF8q4iq580oi0p8qoiqp85oi5p89oi9p8nF-fr4pJE8g84W3MxRXn0zgi8Z8lk63aDIa8AAWJONXgpp2YhC6UToO3iiSSbo9J24T1mEC5FmWYi8-N1gsBwxu3oQcauNyucdKN1KcaqNyqceaN2acfaN1adviDvGUeoRV4ce11M+-qQgeQwzj4xu4zjtvmlgaCBu7vunuyzzm9cbTHwqerAMTw0YXrkj20Ye0-DkzFKjBke-KG+Ux+ah8Mqjxnc4UZ6tMvLe6nzEl-Ga4tO+m191tc4LrwKSW7TCGYSLq2fqxLqt5vsw44Uhk4Yct0SjRLwbxwB8vTQfaDqrswpjTq8mzbLhAaBnehpzlw4GqPeNGMKkEEMSOtHZBEUbGIxuT0dRj5hEoIbMXx3KvtoYS0MJVLmNI4lMKkH5hIOL5sUxoETicSHEUOclQWspHLO2iD-m+YQ4lwqQWYwYTuDp3T4ORHaUWZyjSVc6lCZpqQeZJ7lPH4QA
13:38:12: [INFO] Add Net-(D65-A) net
13:38:12: [INFO] Add Net-(D66-A) net
13:38:12: [INFO] Add Net-(D67-A) net
13:38:12: [INFO] Add Net-(D68-A) net
13:38:12: [INFO] Add Net-(D69-A) net
13:38:12: [INFO] Add Net-(D7-A) net
13:38:12: [INFO] Add Net-(D70-A) net
13:38:12: [INFO] Add Net-(D71-A) net
13:38:12: [INFO] Add Net-(D72-A) net
13:38:12: [INFO] Add Net-(D73-A) net
13:38:12: [INFO] Add Net-(D74-A) net
13:38:12: [INFO] Add Net-(D75-A) net
13:38:12: [INFO] Add Net-(D76-A) net
13:38:12: [INFO] Add Net-(D77-A) net
13:38:12: [INFO] Add Net-(D78-A) net
13:38:12: [INFO] Add Net-(D79-A) net
13:38:12: [INFO] Add Net-(D8-A) net
13:38:12: [INFO] Add Net-(D80-A) net
13:38:12: [INFO] Add Net-(D81-A) net
13:38:12: [INFO] Add Net-(D82-A) net
13:38:12: [INFO] Add Net-(D83-A) net
13:38:12: [INFO] Add Net-(D84-A) net
13:38:12: [INFO] Add Net-(D85-A) net
13:38:12: [INFO] Add Net-(D86-A) net
13:38:12: [INFO] Add Net-(D87-A) net
13:38:12: [INFO] Add Net-(D88-A) net
13:38:12: [INFO] Add Net-(D89-A) net
13:38:12: [INFO] Add Net-(D9-A) net
13:38:12: [INFO] Add Net-(D90-A) net
13:38:12: [INFO] Add Net-(D91-A) net
13:38:12: [INFO] Add Net-(D92-A) net
13:38:12: [INFO] Add Net-(D93-A) net
13:38:12: [INFO] Add Net-(D94-A) net
13:38:12: [INFO] Add Net-(D95-A) net
13:38:12: [INFO] Add Net-(D96-A) net
13:38:12: [INFO] Add Net-(D97-A) net
13:38:12: [INFO] Add Net-(D98-A) net
13:38:12: [INFO] Add Net-(D99-A) net
13:38:12: [INFO] Add ROW0 net
13:38:12: [INFO] Add ROW1 net
13:38:12: [INFO] Add ROW10 net
13:38:12: [INFO] Add ROW11 net
13:38:12: [INFO] Add ROW12 net
13:38:12: [INFO] Add ROW13 net
13:38:12: [INFO] Add ROW2 net
13:38:12: [INFO] Add ROW3 net
13:38:12: [INFO] Add ROW4 net
13:38:12: [INFO] Add ROW5 net
13:38:12: [INFO] Add ROW6 net
13:38:12: [INFO] Add ROW7 net
13:38:12: [INFO] Add ROW8 net
13:38:12: [INFO] Add ROW9 net
13:38:12: [INFO] Add SW1 footprint
13:38:12: [INFO] Add D1 footprint
13:38:12: [INFO] Add SW2 footprint
13:38:12: [INFO] Add D2 footprint
13:38:12: [INFO] Add SW3 footprint
13:38:12: [INFO] Add D3 footprint
13:38:12: [INFO] Add SW4 footprint
13:38:12: [INFO] Add D4 footprint
13:38:12: [INFO] Add SW5 footprint
13:38:12: [INFO] Add D5 footprint
13:38:12: [INFO] Add SW6 footprint
13:38:12: [INFO] Add D6 footprint
13:38:12: [INFO] Add SW7 footprint
13:38:12: [INFO] Add D7 footprint
13:38:12: [INFO] Add SW8 footprint
13:38:12: [INFO] Add D8 footprint
13:38:12: [INFO] Add SW9 footprint
13:38:12: [INFO] Add D9 footprint
13:38:12: [INFO] Add SW10 footprint
13:38:13: [INFO] Add D10 footprint
13:38:13: [INFO] Add SW11 footprint
13:38:13: [INFO] Add D11 footprint
13:38:13: [INFO] Add SW12 footprint
13:38:13: [INFO] Add D12 footprint
13:38:13: [INFO] Add SW13 footprint
13:38:13: [INFO] Add D13 footprint
13:38:13: [INFO] Add SW14 footprint
13:38:13: [INFO] Add D14 footprint
13:38:13: [INFO] Add SW15 footprint
13:38:13: [INFO] Add D15 footprint
13:38:13: [INFO] Add SW16 footprint
13:38:13: [INFO] Add D16 footprint
13:38:13: [INFO] Add SW17 footprint
13:38:13: [INFO] Add D17 footprint
13:38:13: [INFO] Add SW18 footprint
13:38:13: [INFO] Add D18 footprint
13:38:13: [INFO] Add SW19 footprint
13:38:13: [INFO] Add D19 footprint
13:38:13: [INFO] Add SW20 footprint
13:38:13: [INFO] Add D20 footprint
13:38:13: [INFO] Add SW21 footprint
13:38:13: [INFO] Add D21 footprint
13:38:13: [INFO] Add SW22 footprint
13:38:13: [INFO] Add D22 footprint
13:38:13: [INFO] Add SW23 footprint
13:38:13: [INFO] Add D23 footprint
13:38:13: [INFO] Add SW24 footprint
13:38:13: [INFO] Add D24 footprint
13:38:13: [INFO] Add SW25 footprint
13:38:13: [INFO] Add D25 footprint
13:38:13: [INFO] Add SW26 footprint
13:38:13: [INFO] Add D26 footprint
13:38:13: [INFO] Add SW27 footprint
13:38:13: [INFO] Add D27 footprint
13:38:13: [INFO] Add SW28 footprint
13:38:13: [INFO] Add D28 footprint
13:38:13: [INFO] Add SW29 footprint
13:38:13: [INFO] Add D29 footprint
13:38:14: [INFO] Add SW30 footprint
13:38:14: [INFO] Add D30 footprint
13:38:14: [INFO] Add SW31 footprint
13:38:14: [INFO] Add D31 footprint
13:38:14: [INFO] Add SW32 footprint
13:38:14: [INFO] Add D32 footprint
13:38:14: [INFO] Add SW33 footprint
13:38:14: [INFO] Add D33 footprint
13:38:14: [INFO] Add SW34 footprint
13:38:14: [INFO] Add D34 footprint
13:38:14: [INFO] Add SW35 footprint
13:38:14: [INFO] Add D35 footprint
13:38:14: [INFO] Add SW36 footprint
13:38:14: [INFO] Add D36 footprint
13:38:14: [INFO] Add SW37 footprint
13:38:14: [INFO] Add D37 footprint
13:38:14: [INFO] Add SW38 footprint
13:38:14: [INFO] Add D38 footprint
13:38:14: [INFO] Add SW39 footprint
13:38:14: [INFO] Add D39 footprint
13:38:14: [INFO] Add SW40 footprint
13:38:14: [INFO] Add D40 footprint
13:38:14: [INFO] Add SW41 footprint
13:38:14: [INFO] Add D41 footprint
13:38:14: [INFO] Add SW42 footprint
13:38:14: [INFO] Add D42 footprint
13:38:14: [INFO] Add SW43 footprint
13:38:14: [INFO] Add D43 footprint
13:38:14: [INFO] Add SW44 footprint
13:38:14: [INFO] Add D44 footprint
13:38:14: [INFO] Add SW45 footprint
13:38:14: [INFO] Add D45 footprint
13:38:14: [INFO] Add SW46 footprint
13:38:14: [INFO] Add D46 footprint
13:38:14: [INFO] Add SW47 footprint
13:38:14: [INFO] Add D47 footprint
13:38:14: [INFO] Add SW48 footprint
13:38:14: [INFO] Add D48 footprint
13:38:15: [INFO] Add SW49 footprint
13:38:15: [INFO] Add D49 footprint
13:38:15: [INFO] Add SW50 footprint
13:38:15: [INFO] Add D50 footprint
13:38:15: [INFO] Add ST50 footprint
13:38:15: [INFO] Add SW50a footprint
13:38:15: [INFO] Add SW51 footprint
13:38:15: [INFO] Add D51 footprint
13:38:15: [INFO] Add SW52 footprint
13:38:15: [INFO] Add D52 footprint
13:38:15: [INFO] Add SW53 footprint
13:38:15: [INFO] Add D53 footprint
13:38:15: [INFO] Add SW54 footprint
13:38:15: [INFO] Add D54 footprint
13:38:15: [INFO] Add SW55 footprint
13:38:15: [INFO] Add D55 footprint
13:38:15: [INFO] Add SW56 footprint
13:38:15: [INFO] Add D56 footprint
13:38:15: [INFO] Add SW57 footprint
13:38:15: [INFO] Add D57 footprint
13:38:15: [INFO] Add SW58 footprint
13:38:15: [INFO] Add D58 footprint
13:38:15: [INFO] Add SW59 footprint
13:38:15: [INFO] Add D59 footprint
13:38:15: [INFO] Add SW60 footprint
13:38:15: [INFO] Add D60 footprint
13:38:15: [INFO] Add SW61 footprint
13:38:15: [INFO] Add D61 footprint
13:38:15: [INFO] Add SW62 footprint
13:38:15: [INFO] Add D62 footprint
13:38:15: [INFO] Add SW63 footprint
13:38:15: [INFO] Add D63 footprint
13:38:15: [INFO] Add SW64 footprint
13:38:15: [INFO] Add D64 footprint
13:38:15: [INFO] Add SW65 footprint
13:38:15: [INFO] Add D65 footprint
13:38:15: [INFO] Add SW66 footprint
13:38:16: [INFO] Add D66 footprint
13:38:16: [INFO] Add SW67 footprint
13:38:16: [INFO] Add D67 footprint
13:38:16: [INFO] Add SW68 footprint
13:38:16: [INFO] Add D68 footprint
13:38:16: [INFO] Add SW69 footprint
13:38:16: [INFO] Add D69 footprint
13:38:16: [INFO] Add SW70 footprint
13:38:16: [INFO] Add D70 footprint
13:38:16: [INFO] Add ST70 footprint
13:38:16: [INFO] Add SW70a footprint
13:38:16: [INFO] Add SW71 footprint
13:38:16: [INFO] Add D71 footprint
13:38:16: [INFO] Add SW72 footprint
13:38:16: [INFO] Add D72 footprint
13:38:16: [INFO] Add SW73 footprint
13:38:16: [INFO] Add D73 footprint
13:38:16: [INFO] Add SW74 footprint
13:38:16: [INFO] Add D74 footprint
13:38:16: [INFO] Add SW75 footprint
13:38:16: [INFO] Add D75 footprint
13:38:16: [INFO] Add SW76 footprint
13:38:16: [INFO] Add D76 footprint
13:38:16: [INFO] Add SW77 footprint
13:38:16: [INFO] Add D77 footprint
