=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:48: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0yA0dwGNZYMQCGxJ4AvpuAuggMwA6Adk0wAw3iXsIAsLzjbuAC66AFBgoeViiRJKAT2koelXPHD4A7Dt3ku6ViPGTo8Wii2K8AWhkBOeVnUFsb9-qztanOBDNwABwqSBReNABMxhL+eAiW1vB2KI5qeJokpGHgQpgQLpruHtnsUXlS8AgyPKEGdL756USZhL7gAO54ESU0fAJshg0ViCgAbD3IbdyjUzRa0abKtE7gSkky1M5NunrZ1EaiMcN0iXDJqVsa+EVunlQ0CAuxlbKn5ysFzZltnS+1WNRHuVPjdcHt0GU-McZKxwQhIeAIjQfOVfiN-vdeEMAvEIh8mi1WnCkG1ATNKID5odFvANis1mcNmkrjsdHckQcTM8RrQ3g5mQRCT84pYMUigVCQTd2RDsXh7ChltlxRLEZEhp9WfNKGiIig8crenKXpscASWjLJpRxeSsOKqVzjihWCtdfqMbyJY0rqC7rzIdzgoFsp7VZ6A2arkKdV1RSHkfwmBzjXAHPGrVhPbbwJ6HUccc7XSKMaovcc9XJsqWUVC0fES0bygXkFWaCTKKXs6W8zTEKhTQyZEWXloPQn+oxxW1PX1+FPqRAAE5xJFYAKoF1vLSvS6uaU9HizdvhbPsHvcnhjcE1+6HinoY-3GYL4aXwJi9A3pF3u0PtpI59HXXRV4xvXkfxzP9KF5QD8zwUYxhjeA9QNDsH0TRh9g1c1vlbUYMKwl9gM3LAGXeJD0VbHwiPgxDSKWfEfWlCjujQpACI4YEcNICjcQbfCJ0BJ5wGXJJ4UoAJghqN49UCAVCn3AxAlmexZiqNTHho+BghdcFtQBdBlPvVT73UrSgn1Q19LVIzfxM38zKAvBt1HeNrN5WzIPsyDHLg+AXOHOA9VctDlPMqpZHpWwHEYwULV42RWzM4QgA
13:29:49: [INFO] Add Net-(D71-A) net
13:29:49: [INFO] Add Net-(D72-A) net
13:29:49: [INFO] Add Net-(D73-A) net
13:29:49: [INFO] Add Net-(D74-A) net
13:29:49: [INFO] Add Net-(D75-A) net
13:29:49: [INFO] Add Net-(D76-A) net
13:29:49: [INFO] Add Net-(D77-A) net
13:29:49: [INFO] Add Net-(D78-A) net
13:29:49: [INFO] Add Net-(D79-A) net
13:29:49: [INFO] Add Net-(D8-A) net
13:29:49: [INFO] Add Net-(D80-A) net
13:29:49: [INFO] Add Net-(D81-A) net
13:29:49: [INFO] Add Net-(D82-A) net
13:29:49: [INFO] Add Net-(D9-A) net
13:29:49: [INFO] Add ROW0 net
13:29:49: [INFO] Add ROW1 net
13:29:49: [INFO] Add ROW2 net
13:29:49: [INFO] Add ROW3 net
13:29:49: [INFO] Add ROW4 net
13:29:49: [INFO] Add SW1 footprint
13:29:49: [INFO] Add D1 footprint
13:29:49: [INFO] Add SW2 footprint
13:29:49: [INFO] Add D2 footprint
13:29:49: [INFO] Add SW3 footprint
13:29:49: [INFO] Add D3 footprint
13:29:49: [INFO] Add SW4 footprint
13:29:49: [INFO] Add D4 footprint
13:29:49: [INFO] Add SW5 footprint
13:29:49: [INFO] Add D5 footprint
13:29:49: [INFO] Add SW6 footprint
13:29:49: [INFO] Add D6 footprint
13:29:49: [INFO] Add SW7 footprint
13:29:49: [INFO] Add D7 footprint
13:29:49: [INFO] Add SW8 footprint
13:29:49: [INFO] Add D8 footprint
13:29:49: [INFO] Add SW9 footprint
13:29:49: [INFO] Add D9 footprint
13:29:49: [INFO] Add SW10 footprint
13:29:49: [INFO] Add D10 footprint
13:29:49: [INFO] Add SW11 footprint
13:29:50: [INFO] Add D11 footprint
13:29:50: [INFO] Add SW12 footprint
13:29:50: [INFO] Add D12 footprint
13:29:50: [INFO] Add SW13 footprint
