=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:28: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoDsBWANHcBPWcAGJBADgF8twCMAmcLCaeE1NC7agRk-AF0MAUGCj5OrSnngBaIiRKUAxvnABiAIYbN4dlQwF6cCEviqFZ89spcDjUUXQ6udBuGPZ1mjQfAB3fDUcMTgQAHQA7cPDqfRcmODEaNisggBZvLjR0oIA2GxF4eySOINCIsutKGhLI8qC+QWE44KREiXwZJE4q7DdTczNLbE4g-X4hW3gxTGxJOA65RWUPT28-SaQi8GGYw1cl-oGdYZ5YuxbN45OhoOddtfiNo5K8pqRqHqXPLyfONMpjzL-HL1cb5B6tbD3MQOSp6PK9FQHJQ6KpXCZwACcrBRI28qLRexMKhQJNJq385xxXRBjVEiyJXzU5PgNEplAQcJcCKRg3AHIJcSxiR0-J2fKCBIRjOZcFZMOw-JoNXC2xeoke7KCgN2r3QlCh2M1XWVYWO3n5pRqZrGtMm+vVmxSnJ1ohS53t60dNzVBQ12Cdv28Ae14ADuRtEAATqJuuBI3E3XrsJHZlM2tIxO9Ce4eYEEFk-sUQ9Rww10R0LrRvMN80DC1sMJkI2COsLYbdwFVa9gqvWqk2y2CiG2FVXNd3xfWOQPQa9pr4KSPQxhC0ZPl9eU6Z8JZvN5JCHTonXRm9GM7H467KCn1RCW2757vM-ScwdedQUFkSFkMVlOKNBziKRK1yIFPyBb8gV-ZsgMTTYqlAnsMHApDIKQ6DAPaNA2VHRDxRQ8U0PFDDZyw90DxZQ1-WQmly1ZR92lkFAX1UaUPQeL1oN4IA
13:37:28: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:37:28: [INFO] Matrix size: 4x16
13:37:28: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:28: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:28: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:37:28: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:28: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:37:28: [INFO] Add COL0 net
13:37:28: [INFO] Add COL1 net
13:37:28: [INFO] Add COL10 net
13:37:28: [INFO] Add COL11 net
13:37:28: [INFO] Add COL12 net
13:37:28: [INFO] Add COL13 net
13:37:28: [INFO] Add COL14 net
13:37:28: [INFO] Add COL15 net
13:37:28: [INFO] Add COL16 net
13:37:28: [INFO] Add COL2 net
13:37:28: [INFO] Add COL3 net
13:37:28: [INFO] Add COL4 net
13:37:28: [INFO] Add COL5 net
13:37:28: [INFO] Add COL6 net
13:37:28: [INFO] Add COL7 net
13:37:28: [INFO] Add COL8 net
13:37:28: [INFO] Add COL9 net
13:37:28: [INFO] Add Net-(D1-A) net
13:37:28: [INFO] Add Net-(D10-A) net
13:37:28: [INFO] Add Net-(D11-A) net
13:37:28: [INFO] Add Net-(D12-A) net
13:37:28: [INFO] Add Net-(D13-A) net
13:37:28: [INFO] Add Net-(D14-A) net
13:37:28: [INFO] Add Net-(D15-A) net
13:37:28: [INFO] Add Net-(D16-A) net
13:37:28: [INFO] Add Net-(D17-A) net
13:37:28: [INFO] Add Net-(D18-A) net
13:37:28: [INFO] Add Net-(D19-A) net
13:37:28: [INFO] Add Net-(D2-A) net
13:37:28: [INFO] Add Net-(D20-A) net
13:37:28: [INFO] Add Net-(D21-A) net
13:37:28: [INFO] Add Net-(D22-A) net
13:37:28: [INFO] Add Net-(D23-A) net
13:37:28: [INFO] Add Net-(D24-A) net
13:37:28: [INFO] Add Net-(D25-A) net
13:37:28: [INFO] Add Net-(D26-A) net
13:37:28: [INFO] Add Net-(D27-A) net
13:37:28: [INFO] Add Net-(D28-A) net
13:37:28: [INFO] Add Net-(D29-A) net
13:37:28: [INFO] Add Net-(D3-A) net
13:37:28: [INFO] Add Net-(D30-A) net
13:37:28: [INFO] Add Net-(D31-A) net
13:37:28: [INFO] Add Net-(D32-A) net
13:37:28: [INFO] Add Net-(D33-A) net
13:37:28: [INFO] Add Net-(D34-A) net
13:37:28: [INFO] Add Net-(D35-A) net
13:37:28: [INFO] Add Net-(D36-A) net
13:37:28: [INFO] Add Net-(D37-A) net
13:37:28: [INFO] Add Net-(D38-A) net
13:37:28: [INFO] Add Net-(D39-A) net
13:37:28: [INFO] Add Net-(D4-A) net
13:37:28: [INFO] Add Net-(D40-A) net
13:37:28: [INFO] Add Net-(D41-A) net
13:37:28: [INFO] Add Net-(D42-A) net
13:37:28: [INFO] Add Net-(D43-A) net
13:37:28: [INFO] Add Net-(D44-A) net
13:37:28: [INFO] Add Net-(D45-A) net
13:37:28: [INFO] Add Net-(D46-A) net
13:37:28: [INFO] Add Net-(D47-A) net
13:37:28: [INFO] Add Net-(D48-A) net
13:37:28: [INFO] Add Net-(D49-A) net
13:37:28: [INFO] Add Net-(D5-A) net
13:37:28: [INFO] Add Net-(D50-A) net
13:37:28: [INFO] Add Net-(D51-A) net
13:37:28: [INFO] Add Net-(D52-A) net
13:37:28: [INFO] Add Net-(D53-A) net
13:37:28: [INFO] Add Net-(D54-A) net
13:37:28: [INFO] Add Net-(D55-A) net
13:37:28: [INFO] Add Net-(D56-A) net
13:37:28: [INFO] Add Net-(D57-A) net
13:37:28: [INFO] Add Net-(D58-A) net
13:37:28: [INFO] Add Net-(D59-A) net
13:37:28: [INFO] Add Net-(D6-A) net
13:37:28: [INFO] Add Net-(D60-A) net
13:37:28: [INFO] Add Net-(D61-A) net
