=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
14:14:08: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwBo7gJ6zgRgHQIKwC+K4WSADOChNPOXkSeRVamVq+MxyWQqzUz4c5Yqmb5OZSUyQA2KfIFRM9AmK5IA7Mtpx6Wxm23gAukgBQYFfCwAOHEfABmE+auD4AFhyGSGeABaejsnVx44TzgHJ2QFd2s9BF98f0xgnABODVdKEmQ8yJtsejClanAAY0xwAGIAQ0amzgB3TAQNVLkAHQA7Pr7mQohq+DrKicnwTvkB-t7uTmQtOcGkDgSo+xS0oLUnVJ1N4qwvXbgMuxnJY6THc4zM1NRR1AamxtbMXAOWCtfxpMJtMSGdhid6KJQeVUFoYRA2rZHBozkdLIlvpkHvsNHC0R5iskCNidi8au8Pl8kYZcX8igDakDgRo5HSoplkSQ4TJUKyFP9yR9PiREYgGCy3OioshUKKiU4seCGUzqho7GzihyoagsTzwOr+fTBUKqdgUhosYaRuSVSDUOr8Rj4DKqsbKSLvpy2GRwXosM57mSxoymXbSGRDaRmDpeGRHRAAE7fZioPRaUnodLppzMfi8JDOMxS4pyBjnUoaZARFxIPOoZB1muF25CXwzatnaupRtnfgt+DCUK06us6twxusvvFvSl5wK9acdXVrGN9VTglpwPgOXi2O15QMoX1MNYXNFjeYVmoAIXehPD1IpynljHJNBZ+pzAc56ZoIBrA-sqoYaMwXiKGB-ZwByZzXqoOBeLESBgSQrjIfWSB6q4NzTl+MyFtCaHgKkhFnNhF7wByc60vhvJIZwcKEayZFOtEWQWgWi50SQWKEeqzHsg+Yo0rwoHnixWC4H4sF7FkJCHiagk-Boz43KYQA
14:14:09: [INFO] Add Net-(D9-A) net
14:14:09: [INFO] Add ROW0 net
14:14:09: [INFO] Add ROW1 net
14:14:09: [INFO] Add ROW10 net
14:14:09: [INFO] Add ROW11 net
14:14:09: [INFO] Add ROW2 net
14:14:09: [INFO] Add ROW3 net
14:14:09: [INFO] Add ROW4 net
14:14:09: [INFO] Add ROW5 net
14:14:09: [INFO] Add ROW6 net
14:14:09: [INFO] Add ROW7 net
14:14:09: [INFO] Add ROW8 net
14:14:09: [INFO] Add ROW9 net
14:14:09: [INFO] Add SW1 footprint
14:14:09: [INFO] Add D1 footprint
14:14:09: [INFO] Add SW2 footprint
14:14:09: [INFO] Add D2 footprint
14:14:09: [INFO] Add SW3 footprint
14:14:09: [INFO] Add D3 footprint
14:14:09: [INFO] Add SW4 footprint
14:14:09: [INFO] Add D4 footprint
14:14:09: [INFO] Add SW5 footprint
14:14:09: [INFO] Add D5 footprint
14:14:09: [INFO] Add SW6 footprint
14:14:09: [INFO] Add D6 footprint
14:14:09: [INFO] Add SW7 footprint
14:14:09: [INFO] Add D7 footprint
14:14:09: [INFO] Add SW8 footprint
14:14:10: [INFO] Add D8 footprint
14:14:10: [INFO] Add SW9 footprint
14:14:10: [INFO] Add D9 footprint
14:14:10: [INFO] Add SW10 footprint
14:14:10: [INFO] Add D10 footprint
14:14:10: [INFO] Add SW11 footprint
14:14:10: [INFO] Add D11 footprint
14:14:10: [INFO] Add SW12 footprint
14:14:10: [INFO] Add D12 footprint
14:14:10: [INFO] Add SW13 footprint
14:14:10: [INFO] Add D13 footprint
14:14:10: [INFO] Add SW14 footprint
14:14:10: [INFO] Add D14 footprint
14:14:10: [INFO] Add SW15 footprint
14:14:10: [INFO] Add D15 footprint
14:14:10: [INFO] Add SW16 footprint
14:14:10: [INFO] Add D16 footprint
14:14:10: [INFO] Add SW17 footprint
14:14:10: [INFO] Add D17 footprint
14:14:10: [INFO] Add SW18 footprint
14:14:10: [INFO] Add D18 footprint
14:14:10: [INFO] Add SW19 footprint
14:14:10: [INFO] Add D19 footprint
14:14:10: [INFO] Add SW20 footprint
14:14:10: [INFO] Add D20 footprint
14:14:10: [INFO] Add SW21 footprint
14:14:10: [INFO] Add D21 footprint
14:14:10: [INFO] Add SW22 footprint
14:14:10: [INFO] Add D22 footprint
14:14:10: [INFO] Add SW23 footprint
14:14:10: [INFO] Add D23 footprint
14:14:10: [INFO] Add SW24 footprint
14:14:10: [INFO] Add D24 footprint
14:14:10: [INFO] Add SW25 footprint
14:14:10: [INFO] Add D25 footprint
14:14:10: [INFO] Add SW26 footprint
14:14:10: [INFO] Add D26 footprint
14:14:10: [INFO] Add SW27 footprint
14:14:10: [INFO] Add D27 footprint
14:14:10: [INFO] Add SW28 footprint
14:14:10: [INFO] Add D28 footprint
14:14:10: [INFO] Add SW29 footprint
14:14:10: [INFO] Add D29 footprint
14:14:10: [INFO] Add SW30 footprint
14:14:10: [INFO] Add D30 footprint
14:14:10: [INFO] Add SW31 footprint
14:14:10: [INFO] Add D31 footprint
14:14:10: [INFO] Add SW32 footprint
14:14:11: [INFO] Add D32 footprint
14:14:11: [INFO] Add SW33 footprint
14:14:11: [INFO] Add D33 footprint
14:14:11: [INFO] Add SW34 footprint
14:14:11: [INFO] Add D34 footprint
14:14:11: [INFO] Add SW35 footprint
14:14:11: [INFO] Add D35 footprint
14:14:11: [INFO] Add SW36 footprint
14:14:11: [INFO] Add D36 footprint
14:14:11: [INFO] Add SW37 footprint
14:14:11: [INFO] Add D37 footprint
14:14:11: [INFO] Add SW38 footprint
14:14:11: [INFO] Add D38 footprint
14:14:11: [INFO] Add SW39 footprint
14:14:11: [INFO] Add D39 footprint
14:14:11: [INFO] Add SW40 footprint
14:14:11: [INFO] Add D40 footprint
14:14:11: [INFO] Add SW41 footprint
14:14:11: [INFO] Add D41 footprint
14:14:11: [INFO] Add SW42 footprint
14:14:11: [INFO] Add D42 footprint
14:14:11: [INFO] Add SW43 footprint
14:14:11: [INFO] Add D43 footprint
14:14:11: [INFO] Add SW44 footprint
14:14:11: [INFO] Add D44 footprint
14:14:11: [INFO] Add ST44 footprint
14:14:11: [INFO] Add SW44a footprint
14:14:11: [INFO] Add SW45 footprint
14:14:11: [INFO] Add D45 footprint
14:14:11: [INFO] Add SW46 footprint
14:14:11: [INFO] Add D46 footprint
14:14:11: [INFO] Add SW47 footprint
14:14:11: [INFO] Add D47 footprint
14:14:11: [INFO] Add SW48 footprint
14:14:11: [INFO] Add D48 footprint
14:14:11: [INFO] Add SW49 footprint
14:14:11: [INFO] Add D49 footprint
14:14:11: [INFO] Add SW50 footprint
14:14:11: [INFO] Add D50 footprint
14:14:11: [INFO] Add SW51 footprint
14:14:11: [INFO] Add D51 footprint
14:14:11: [INFO] Add SW52 footprint
14:14:11: [INFO] Add D52 footprint
14:14:11: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
14:14:11: [INFO] Add ST52 footprint
14:14:11: [INFO] Add SW53 footprint
14:14:11: [INFO] Add D53 footprint
14:14:11: [INFO] Add SW54 footprint
14:14:12: [INFO] Add D54 footprint
14:14:12: [INFO] Add SW55 footprint
14:14:12: [INFO] Add D55 footprint
14:14:12: [INFO] Add SW56 footprint
14:14:12: [INFO] Add D56 footprint
14:14:12: [INFO] Add SW57 footprint
14:14:12: [INFO] Add D57 footprint
14:14:12: [INFO] Add SW58 footprint
14:14:12: [INFO] Add D58 footprint
14:14:12: [INFO] Add SW59 footprint
14:14:12: [INFO] Add D59 footprint
14:14:12: [INFO] Add SW60 footprint
14:14:12: [INFO] Add D60 footprint
14:14:12: [INFO] Add SW61 footprint
14:14:12: [INFO] Add D61 footprint
14:14:12: [INFO] Add SW62 footprint
14:14:12: [INFO] Add D62 footprint
14:14:12: [INFO] Add SW63 footprint
14:14:12: [INFO] Add D63 footprint
14:14:12: [INFO] Add SW64 footprint
14:14:12: [INFO] Add D64 footprint
14:14:12: [INFO] Add SW65 footprint
14:14:12: [INFO] Add D65 footprint
14:14:12: [INFO] Add SW66 footprint
14:14:12: [INFO] Add D66 footprint
