=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:43:23: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBp1SAIKQIywVATKxBmLUAsekArEQGxEDsWSk18otFDtpLkh7u7m8A3qAAeoAFxxwAOnTEAvuxTsYAXUgAoYAIDuouEimyG6aFiMKER3ucjcrnK2yvMr9BNjpY3T0G4feOqLR09SgNXawChHUlpOTCzP2U1DVBtMWDQ0HxjBiz4rMtM8Jz-Yt8sryyXUGJ3BhqvGodAsXR9WOqOAB0AOx6eqBh+SLFojJqzAWE0-QZU3Ta6rt7lqHia7D6V5Aip8QWEGvxN-shLZvmYxY3lk8wVdXO9S4QyaGPu2kG4R-3QV6R3p8InMnhlXuhAdlvikdK1nn9rJCvj94a9iEjgbCJCF2q9KBiGJRIGR3kYvqAieibt0yVgiUdqbShrtRu0iQUifEiYkHqAAJ5RGYIEG-V7gSETGHTVHICWY6Vg05yoZzVo4hiva6bWiSkUyqna7YqrEy-HUnXy+YZIkkxlG6Ei61LTamUD3ZICkZCqUXRXi82nS2g3GygNnH3BjVKsOWsiikiQu5JASevYy-2GmwIgEBrPgyE2c6UEMG5a0XDulOC6SzIISP2Quw-RUQgNNn3FqOlnq0QhKJRAA
13:43:25: [INFO] Add SW16 footprint
13:43:25: [INFO] Add D16 footprint
13:43:25: [INFO] Add SW17 footprint
13:43:25: [INFO] Add D17 footprint
13:43:25: [INFO] Add SW18 footprint
13:43:25: [INFO] Add D18 footprint
13:43:25: [INFO] Add SW19 footprint
13:43:25: [INFO] Add D19 footprint
13:43:25: [INFO] Add SW20 footprint
13:43:25: [INFO] Add D20 footprint
13:43:25: [INFO] Add SW21 footprint
13:43:25: [INFO] Add D21 footprint
13:43:25: [INFO] Add SW22 footprint
13:43:25: [INFO] Add D22 footprint
13:43:25: [INFO] Add SW23 footprint
13:43:25: [INFO] Add D23 footprint
13:43:25: [INFO] Add SW24 footprint
13:43:25: [INFO] Add D24 footprint
13:43:25: [INFO] Add SW25 footprint
13:43:25: [INFO] Add D25 footprint
13:43:25: [INFO] Add SW26 footprint
13:43:25: [INFO] Add D26 footprint
13:43:25: [INFO] Add SW27 footprint
13:43:25: [INFO] Add D27 footprint
13:43:26: [INFO] Add SW28 footprint
13:43:26: [INFO] Add D28 footprint
13:43:26: [INFO] Add SW29 footprint
13:43:26: [INFO] Add D29 footprint
13:43:26: [INFO] Add SW30 footprint
13:43:26: [INFO] Add D30 footprint
13:43:26: [INFO] Add SW31 footprint
13:43:26: [INFO] Add D31 footprint
13:43:26: [INFO] Add SW32 footprint
13:43:26: [INFO] Add D32 footprint
13:43:26: [INFO] Add SW33 footprint
13:43:26: [INFO] Add D33 footprint
13:43:26: [INFO] Add SW34 footprint
13:43:26: [INFO] Add D34 footprint
13:43:26: [INFO] Add SW35 footprint
13:43:26: [INFO] Add D35 footprint
13:43:26: [INFO] Add SW36 footprint
13:43:26: [INFO] Add D36 footprint
13:43:26: [INFO] Add SW37 footprint
13:43:26: [INFO] Add D37 footprint
13:43:26: [INFO] Add SW38 footprint
13:43:26: [INFO] Add D38 footprint
13:43:26: [INFO] Add SW39 footprint
13:43:26: [INFO] Add D39 footprint
13:43:26: [INFO] Add SW40 footprint
13:43:26: [INFO] Add D40 footprint
13:43:26: [INFO] Add SW41 footprint
13:43:26: [INFO] Add D41 footprint
13:43:26: [INFO] Add SW41a footprint
13:43:26: [INFO] Add SW42 footprint
13:43:26: [INFO] Add D42 footprint
13:43:26: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:43:26: [INFO] Add ST42 footprint
13:43:26: [INFO] Add SW42a footprint
13:43:26: [INFO] Add SW42b footprint
13:43:26: [INFO] Add SW43 footprint
13:43:27: [INFO] Add D43 footprint
13:43:27: [INFO] Add SW44 footprint
13:43:27: [INFO] Add D44 footprint
13:43:27: [INFO] Add SW45 footprint
13:43:27: [INFO] Add D45 footprint
13:43:27: [INFO] Add SW46 footprint
13:43:27: [INFO] Add D46 footprint
13:43:27: [INFO] Add SW46a footprint
13:43:27: [INFO] Add SW46b footprint
13:43:27: [INFO] Add SW47 footprint
13:43:27: [INFO] Add D47 footprint
13:43:27: [INFO] Add SW47a footprint
13:43:27: [INFO] Add SW48 footprint
13:43:27: [INFO] Add D48 footprint
13:43:27: [INFO] Add SW48a footprint
13:43:27: [INFO] Add SW48b footprint
13:43:27: [INFO] Add SW49 footprint
13:43:27: [INFO] Add D49 footprint
13:43:27: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:43:27: [INFO] Add ST49 footprint
13:43:27: [INFO] Add SW49a footprint
13:43:27: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:43:27: [INFO] Add ST49a footprint
13:43:27: [INFO] Add SW50 footprint
13:43:27: [INFO] Add D50 footprint
13:43:27: [INFO] Add SW50a footprint
13:43:27: [INFO] Add SW50b footprint
13:43:27: [INFO] Add ST50b footprint
13:43:27: [INFO] Add SW50c footprint
13:43:27: [INFO] Add ST50c footprint
13:43:27: [INFO] Add SW51 footprint
13:43:27: [INFO] Add D51 footprint
13:43:27: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:43:27: [INFO] Add ST51 footprint
13:43:27: [INFO] Add SW51a footprint
13:43:27: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:43:27: [INFO] Add ST51a footprint
13:43:27: [INFO] Add SW52 footprint
13:43:27: [INFO] Add D52 footprint
13:43:27: [INFO] Add SW53 footprint
13:43:27: [INFO] Add D53 footprint
13:43:27: [INFO] Add SW54 footprint
13:43:28: [INFO] Add D54 footprint
13:43:28: [INFO] Add SW55 footprint
13:43:28: [INFO] Add D55 footprint
13:43:28: [INFO] Add SW55a footprint
13:43:28: [INFO] Add SW56 footprint
13:43:28: [INFO] Add D56 footprint
13:43:28: [INFO] Add SW57 footprint
13:43:28: [INFO] Add D57 footprint
13:43:28: [INFO] Add SW57a footprint
13:43:28: [INFO] Detected layout convertible to matrix annotated keyboard
13:43:28: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:43:28: [INFO] Layout offset: (28575000, 28575000)
13:43:28: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:43:28: [INFO] Placing additional elements for SW57a
13:43:28: [INFO] Placing additional elements for SW57
13:43:28: [INFO] Placing additional elements for SW56
13:43:28: [INFO] Placing additional elements for SW55a
13:43:28: [INFO] Placing additional elements for SW55
13:43:28: [INFO] Placing additional elements for SW54
13:43:28: [INFO] Placing additional elements for SW53
13:43:28: [INFO] Placing additional elements for SW52
13:43:28: [INFO] Placing additional elements for SW51a
13:43:28: [INFO] Placing additional elements for SW51
13:43:28: [INFO] Placing additional elements for SW50c
13:43:28: [INFO] Placing additional elements for SW50b
13:43:28: [INFO] Placing additional elements for SW50a
13:43:28: [INFO] Placing additional elements for SW50
13:43:28: [INFO] Placing additional elements for SW49a
13:43:28: [INFO] Placing additional elements for SW49
13:43:28: [INFO] Placing additional elements for SW48b
13:43:28: [INFO] Placing additional elements for SW48a
13:43:28: [INFO] Placing additional elements for SW48
13:43:28: [INFO] Placing additional elements for SW47a
13:43:28: [INFO] Placing additional elements for SW47
13:43:28: [INFO] Placing additional elements for SW46b
13:43:28: [INFO] Placing additional elements for SW46a
13:43:28: [INFO] Placing additional elements for SW46
13:43:28: [INFO] Placing additional elements for SW45
13:43:28: [INFO] Placing additional elements for SW44
13:43:28: [INFO] Placing additional elements for SW43
13:43:28: [INFO] Placing additional elements for SW42b
13:43:28: [INFO] Placing additional elements for SW42a
13:43:28: [INFO] Placing additional elements for SW42
13:43:28: [INFO] Placing additional elements for SW41a
13:43:28: [INFO] Placing additional elements for SW41
13:43:28: [INFO] Placing additional elements for SW40
13:43:28: [INFO] Placing additional elements for SW39
13:43:28: [INFO] Placing additional elements for SW38
13:43:28: [INFO] Placing additional elements for SW37
13:43:28: [INFO] Placing additional elements for SW36
13:43:28: [INFO] Placing additional elements for SW35
13:43:28: [INFO] Placing additional elements for SW34
13:43:28: [INFO] Placing additional elements for SW33
13:43:28: [INFO] Placing additional elements for SW32
13:43:28: [INFO] Placing additional elements for SW31
13:43:28: [INFO] Placing additional elements for SW30
13:43:28: [INFO] Placing additional elements for SW29
13:43:28: [INFO] Placing additional elements for SW28
13:43:28: [INFO] Placing additional elements for SW27
13:43:28: [INFO] Placing additional elements for SW26
13:43:28: [INFO] Placing additional elements for SW25
13:43:28: [INFO] Placing additional elements for SW24
13:43:28: [INFO] Placing additional elements for SW23
13:43:28: [INFO] Placing additional elements for SW22
13:43:28: [INFO] Placing additional elements for SW21
13:43:28: [INFO] Placing additional elements for SW20
13:43:28: [INFO] Placing additional elements for SW19
13:43:28: [INFO] Placing additional elements for SW18
13:43:28: [INFO] Placing additional elements for SW17
13:43:28: [INFO] Placing additional elements for SW16
13:43:28: [INFO] Placing additional elements for SW15
13:43:28: [INFO] Placing additional elements for SW14
13:43:28: [INFO] Placing additional elements for SW13
13:43:28: [INFO] Placing additional elements for SW12
13:43:28: [INFO] Placing additional elements for SW11
13:43:28: [INFO] Placing additional elements for SW10
13:43:28: [INFO] Placing additional elements for SW9
13:43:28: [INFO] Placing additional elements for SW8
13:43:28: [INFO] Placing additional elements for SW7
13:43:28: [INFO] Placing additional elements for SW6
13:43:28: [INFO] Placing additional elements for SW5
13:43:28: [INFO] Placing additional elements for SW4
13:43:28: [INFO] Placing additional elements for SW3
13:43:28: [INFO] Placing additional elements for SW2
13:43:28: [INFO] Placing additional elements for SW1
13:43:28: [INFO] Routing SW57a with D57
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW57a:2' at (235902500, 90170000) with pad 'D57:2' at (233680000, 97850000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Routing SW57 with D57
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW57:2' at (231140000, 90170000) with pad 'D57:2' at (233680000, 97850000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Routing SW56 with D56
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW56:2' at (250190000, 90170000) with pad 'D56:2' at (252730000, 97850000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Adding track segment (B.Cu): [(250190000, 90170000), (250190000, 95310000)]
13:43:28: [INFO] Adding track segment (B.Cu): [(250190000, 95310000), (252730000, 97850000)]
13:43:28: [INFO] Routing SW55a with D55
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW55a:2' at (264477500, 90170000) with pad 'D55:2' at (271780000, 97850000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Routing SW55 with D55
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW55:2' at (269240000, 90170000) with pad 'D55:2' at (271780000, 97850000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Adding track segment (B.Cu): [(269240000, 90170000), (269240000, 95310000)]
13:43:28: [INFO] Adding track segment (B.Cu): [(269240000, 95310000), (271780000, 97850000)]
13:43:28: [INFO] Routing SW54 with D54
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW54:2' at (293052500, 90170000) with pad 'D54:2' at (295592500, 97850000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Adding track segment (B.Cu): [(293052500, 90170000), (293052500, 95310000)]
13:43:28: [INFO] Adding track segment (B.Cu): [(293052500, 95310000), (295592500, 97850000)]
13:43:28: [INFO] Routing SW53 with D53
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW53:2' at (312102500, 90170000) with pad 'D53:2' at (314642500, 97850000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Adding track segment (B.Cu): [(312102500, 90170000), (312102500, 95310000)]
13:43:28: [INFO] Adding track segment (B.Cu): [(312102500, 95310000), (314642500, 97850000)]
13:43:28: [INFO] Routing SW52 with D52
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW52:2' at (331152500, 90170000) with pad 'D52:2' at (333692500, 97850000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Adding track segment (B.Cu): [(331152500, 90170000), (331152500, 95310000)]
13:43:28: [INFO] Adding track segment (B.Cu): [(331152500, 95310000), (333692500, 97850000)]
13:43:28: [INFO] Routing SW51a with D51
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW51a:2' at (200183750, 90170000) with pad 'D51:2' at (197961250, 97850000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Routing SW51 with D51
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW51:2' at (195421250, 90170000) with pad 'D51:2' at (197961250, 97850000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Routing SW50c with D50
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW50c:2' at (154940000, 90170000) with pad 'D50:2' at (159861250, 97850000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Routing SW50b with D50
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW50b:2' at (162083750, 90170000) with pad 'D50:2' at (159861250, 97850000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Routing SW50a with D50
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW50a:2' at (166846250, 90170000) with pad 'D50:2' at (159861250, 97850000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Routing SW50 with D50
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW50:2' at (157321250, 90170000) with pad 'D50:2' at (159861250, 97850000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Routing SW49a with D49
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW49a:2' at (128746250, 90170000) with pad 'D49:2' at (126523750, 97850000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Routing SW49 with D49
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW49:2' at (123983750, 90170000) with pad 'D49:2' at (126523750, 97850000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Routing SW48b with D48
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW48b:2' at (73977500, 90170000) with pad 'D48:2' at (93186250, 97850000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Routing SW48a with D48
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW48a:2' at (78740000, 90170000) with pad 'D48:2' at (93186250, 97850000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Routing SW48 with D48
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW48:2' at (90646250, 90170000) with pad 'D48:2' at (93186250, 97850000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Adding track segment (B.Cu): [(90646250, 90170000), (90646250, 95310000)]
13:43:28: [INFO] Adding track segment (B.Cu): [(90646250, 95310000), (93186250, 97850000)]
13:43:28: [INFO] Routing SW47a with D47
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW47a:2' at (59690000, 90170000) with pad 'D47:2' at (69373750, 97850000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Routing SW47 with D47
13:43:28: [INFO] Using internal autorouter method
13:43:28: [INFO] Routing pad 'SW47:2' at (66833750, 90170000) with pad 'D47:2' at (69373750, 97850000) using coordinate system rotated by 0 degree(s)
13:43:28: [INFO] Routing SW46b with D46
