=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:34:23: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14A2AOgFZV0AWFAJnAF0UAoMKWOGtcAT3YFoMxABwB2Cplq44+dgEZxWSlJnxKZcdVnK28WcQwbsDZqwJxSXXvAHChClKW1ma6rtQzGWEK3BuiuAMbs4ADEAIYRkeD2HnjgQfChAckp0VxYWnFmsoLkbihKcQno4ZERaVQOnqbsCJb8gghCgcEhKaniskZZ7CR56BZ0jF46HPXWgqKdkj2604XSo2r94BaZi9n64hY4wzXwFug+fnZcXY6zHK4DKB573g3CIi2JpWUV4F2xi8VJ7UHTdYqOA5a6rAraX5vKLbKr3UZ1I6PJovEr-AFcTg4S59cSESTw5zjXyTMSYmYbOTiTgLYHLPEoIGjPQGLj43YmYGHHiPISndCcC6U+AuFb4u6cnkTJ6o0JlcrU26Q1roj6cJnZXIM2nxVrysIffGOQm1Yk2JriOrY4VwXFcZ5DSXZPTc46k8TPDkjN3EETcqEiQNBj51b4QKH6kOMpxyLX2iFFVpB4MeuFOuTLYm5WVtf5ScAG+DPdAAE3YABcAE4AVwApuJqhBK9kEL7uZWfNyzHxZHo-Wa9P50BH5fnC3BKJaCZLK3Jmuhm+x2z5W-30N3s0jpZR-Sq81OlPDZ0QsAuzEIyFwO+xqOvHsWpSTiLfwAB3ORg54SkbH3yEU-gIuRBcBuwhmoIL7vroYJ1MaM78LI86AWYACcl4LiubYgY8rqPDuqZaPQ9BAA
13:34:24: [INFO] Add D13 footprint
13:34:24: [INFO] Add SW14 footprint
13:34:24: [INFO] Add D14 footprint
13:34:25: [INFO] Add SW15 footprint
13:34:25: [INFO] Add D15 footprint
13:34:25: [INFO] Add SW16 footprint
13:34:25: [INFO] Add D16 footprint
13:34:25: [INFO] Add SW17 footprint
13:34:25: [INFO] Add D17 footprint
13:34:25: [INFO] Add SW18 footprint
13:34:25: [INFO] Add D18 footprint
13:34:25: [INFO] Add SW19 footprint
13:34:25: [INFO] Add D19 footprint
13:34:25: [INFO] Add SW20 footprint
13:34:25: [INFO] Add D20 footprint
13:34:25: [INFO] Add SW21 footprint
13:34:25: [INFO] Add D21 footprint
13:34:25: [INFO] Add SW22 footprint
13:34:25: [INFO] Add D22 footprint
13:34:25: [INFO] Add SW23 footprint
13:34:25: [INFO] Add D23 footprint
13:34:25: [INFO] Add SW24 footprint
13:34:25: [INFO] Add D24 footprint
13:34:25: [INFO] Add SW25 footprint
13:34:25: [INFO] Add D25 footprint
13:34:25: [INFO] Add SW26 footprint
13:34:25: [INFO] Add D26 footprint
13:34:25: [INFO] Add SW27 footprint
13:34:25: [INFO] Add D27 footprint
13:34:25: [INFO] Add SW28 footprint
13:34:25: [INFO] Add D28 footprint
13:34:25: [INFO] Add SW29 footprint
13:34:25: [INFO] Add D29 footprint
13:34:25: [INFO] Add SW30 footprint
13:34:25: [INFO] Add D30 footprint
13:34:25: [INFO] Add SW31 footprint
13:34:25: [INFO] Add D31 footprint
13:34:26: [INFO] Add SW32 footprint
13:34:26: [INFO] Add D32 footprint
13:34:26: [INFO] Add SW33 footprint
13:34:26: [INFO] Add D33 footprint
13:34:26: [INFO] Add SW34 footprint
13:34:26: [INFO] Add D34 footprint
13:34:26: [INFO] Add SW35 footprint
13:34:26: [INFO] Add D35 footprint
13:34:26: [INFO] Add SW36 footprint
13:34:26: [INFO] Add D36 footprint
13:34:26: [INFO] Add SW37 footprint
13:34:26: [INFO] Add D37 footprint
13:34:26: [INFO] Add SW38 footprint
13:34:26: [INFO] Add D38 footprint
13:34:26: [INFO] Add SW39 footprint
13:34:26: [INFO] Add D39 footprint
13:34:26: [INFO] Add SW40 footprint
13:34:26: [INFO] Add D40 footprint
13:34:26: [INFO] Add SW41 footprint
13:34:26: [INFO] Add D41 footprint
13:34:26: [INFO] Add SW42 footprint
13:34:26: [INFO] Add D42 footprint
13:34:26: [INFO] Add SW43 footprint
13:34:26: [INFO] Add D43 footprint
13:34:26: [INFO] Add SW44 footprint
13:34:26: [INFO] Add D44 footprint
13:34:26: [INFO] Add SW45 footprint
13:34:26: [INFO] Add D45 footprint
13:34:26: [INFO] Add SW46 footprint
13:34:26: [INFO] Add D46 footprint
13:34:26: [INFO] Add SW47 footprint
13:34:26: [INFO] Add D47 footprint
13:34:26: [INFO] Add SW48 footprint
13:34:26: [INFO] Add D48 footprint
13:34:27: [INFO] Detected layout convertible to matrix annotated keyboard
13:34:27: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:34:27: [INFO] Layout offset: (28575000, 28575000)
13:34:27: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:34:27: [INFO] Placing additional elements for SW48
13:34:27: [INFO] Placing additional elements for SW47
13:34:27: [INFO] Placing additional elements for SW46
13:34:27: [INFO] Placing additional elements for SW45
13:34:27: [INFO] Placing additional elements for SW44
13:34:27: [INFO] Placing additional elements for SW43
13:34:27: [INFO] Placing additional elements for SW42
13:34:27: [INFO] Placing additional elements for SW41
13:34:27: [INFO] Placing additional elements for SW40
13:34:27: [INFO] Placing additional elements for SW39
13:34:27: [INFO] Placing additional elements for SW38
