=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:41:56: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14B2VdAFm3AF0UAoMKWOc9AT0YFoMA6QgVhMwpSuOPkb804csOp0x8AEyS28TjwnosCkfLgKBWXjobxkk8kbwm9A8ttn0CiZR24bwARgpWnxSbwoHXS9WV3UDFA9jJ31JL2EfcQEAhNFrWLJIqlp6FTg1PkkAY0ZwAGIAQyrq8AiMaMYQ8BL4cqL2jtq4lG1ExQEvSzSnM3QAod0M8ADe4cbi0srqqq7M+qDrBBdVNwXWso7OgSUcPrg-dAA2QJzg7fzuPgGss6mlVN13a4-05KyNvIFALoFroJbLVaeFD1M5NUFtQ4lY49Br9SRKCabATXTExbEo2F-da3axNQHcBTuJRRWEefFRAFhQogxbLFbImFzeAeUbga7EuTWZjgcnhSRbU7oLY-EYCQhCETgeU4DYje5AgRbWaTPZgxFI8UoXHzFn7NkVSHy41o9Dy+yUIA
13:41:57: [INFO] Add D4 footprint
13:41:57: [INFO] Add SW5 footprint
13:41:57: [INFO] Add D5 footprint
13:41:57: [INFO] Add SW6 footprint
13:41:57: [INFO] Add D6 footprint
13:41:57: [INFO] Add SW7 footprint
13:41:57: [INFO] Add D7 footprint
13:41:57: [INFO] Add SW8 footprint
13:41:57: [INFO] Add D8 footprint
13:41:57: [INFO] Add SW9 footprint
13:41:57: [INFO] Add D9 footprint
13:41:57: [INFO] Add SW10 footprint
13:41:57: [INFO] Add D10 footprint
13:41:57: [INFO] Add SW11 footprint
13:41:57: [INFO] Add D11 footprint
13:41:57: [INFO] Add SW12 footprint
13:41:57: [INFO] Add D12 footprint
13:41:57: [INFO] Add SW13 footprint
13:41:57: [INFO] Add D13 footprint
13:41:57: [INFO] Add SW14 footprint
13:41:57: [INFO] Add D14 footprint
13:41:57: [INFO] Add SW15 footprint
13:41:57: [INFO] Add D15 footprint
13:41:57: [INFO] Add SW16 footprint
13:41:57: [INFO] Add D16 footprint
13:41:57: [INFO] Add SW17 footprint
13:41:57: [INFO] Add D17 footprint
13:41:57: [INFO] Add SW18 footprint
13:41:57: [INFO] Add D18 footprint
13:41:58: [INFO] Add SW19 footprint
13:41:58: [INFO] Add D19 footprint
13:41:58: [INFO] Add SW20 footprint
13:41:58: [INFO] Add D20 footprint
13:41:58: [INFO] Add SW21 footprint
13:41:58: [INFO] Add D21 footprint
13:41:58: [INFO] Add SW22 footprint
13:41:58: [INFO] Add D22 footprint
13:41:58: [INFO] Add SW23 footprint
13:41:58: [INFO] Add D23 footprint
13:41:58: [INFO] Add SW24 footprint
13:41:58: [INFO] Add D24 footprint
13:41:58: [INFO] Add SW25 footprint
13:41:58: [INFO] Add D25 footprint
13:41:58: [INFO] Add SW26 footprint
13:41:58: [INFO] Add D26 footprint
13:41:58: [INFO] Add SW27 footprint
13:41:58: [INFO] Add D27 footprint
13:41:58: [INFO] Add SW28 footprint
13:41:58: [INFO] Add D28 footprint
13:41:58: [INFO] Add SW29 footprint
13:41:58: [INFO] Add D29 footprint
13:41:58: [INFO] Add SW30 footprint
13:41:58: [INFO] Add D30 footprint
13:41:58: [INFO] Add SW31 footprint
13:41:58: [INFO] Add D31 footprint
13:41:58: [INFO] Add SW32 footprint
13:41:58: [INFO] Add D32 footprint
13:41:58: [INFO] Add SW33 footprint
13:41:58: [INFO] Add D33 footprint
13:41:58: [INFO] Add SW34 footprint
13:41:58: [INFO] Add D34 footprint
13:41:58: [INFO] Add SW35 footprint
13:41:58: [INFO] Add D35 footprint
13:41:59: [INFO] Add SW36 footprint
13:41:59: [INFO] Add D36 footprint
13:41:59: [INFO] Add SW37 footprint
13:41:59: [INFO] Add D37 footprint
13:41:59: [INFO] Add SW38 footprint
13:41:59: [INFO] Add D38 footprint
13:41:59: [INFO] Add SW39 footprint
13:41:59: [INFO] Add D39 footprint
13:41:59: [INFO] Add SW40 footprint
13:41:59: [INFO] Add D40 footprint
13:41:59: [INFO] Add SW41 footprint
13:41:59: [INFO] Add D41 footprint
13:41:59: [INFO] Add SW42 footprint
13:41:59: [INFO] Add D42 footprint
13:41:59: [INFO] Add SW43 footprint
13:41:59: [INFO] Add D43 footprint
13:41:59: [INFO] Add SW44 footprint
13:41:59: [INFO] Add D44 footprint
13:41:59: [INFO] Detected layout convertible to matrix annotated keyboard
13:41:59: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:41:59: [INFO] Layout offset: (28575000, 28575000)
13:41:59: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:41:59: [INFO] Placing additional elements for SW44
13:41:59: [INFO] Placing additional elements for SW43
13:41:59: [INFO] Placing additional elements for SW42
13:41:59: [INFO] Placing additional elements for SW41
13:41:59: [INFO] Placing additional elements for SW40
13:41:59: [INFO] Placing additional elements for SW39
13:41:59: [INFO] Placing additional elements for SW38
13:41:59: [INFO] Placing additional elements for SW37
13:41:59: [INFO] Placing additional elements for SW36
13:41:59: [INFO] Placing additional elements for SW35
13:41:59: [INFO] Placing additional elements for SW34
13:41:59: [INFO] Placing additional elements for SW33
13:41:59: [INFO] Placing additional elements for SW32
13:41:59: [INFO] Placing additional elements for SW31
13:41:59: [INFO] Placing additional elements for SW30
13:41:59: [INFO] Placing additional elements for SW29
13:41:59: [INFO] Placing additional elements for SW28
13:41:59: [INFO] Placing additional elements for SW27
13:41:59: [INFO] Placing additional elements for SW26
13:41:59: [INFO] Placing additional elements for SW25
13:41:59: [INFO] Placing additional elements for SW24
13:41:59: [INFO] Placing additional elements for SW23
13:41:59: [INFO] Placing additional elements for SW22
13:41:59: [INFO] Placing additional elements for SW21
13:41:59: [INFO] Placing additional elements for SW20
13:41:59: [INFO] Placing additional elements for SW19
13:41:59: [INFO] Placing additional elements for SW18
13:41:59: [INFO] Placing additional elements for SW17
13:41:59: [INFO] Placing additional elements for SW16
13:41:59: [INFO] Placing additional elements for SW15
13:41:59: [INFO] Placing additional elements for SW14
13:41:59: [INFO] Placing additional elements for SW13
13:41:59: [INFO] Placing additional elements for SW12
13:41:59: [INFO] Placing additional elements for SW11
13:41:59: [INFO] Placing additional elements for SW10
13:41:59: [INFO] Placing additional elements for SW9
13:41:59: [INFO] Placing additional elements for SW8
13:41:59: [INFO] Placing additional elements for SW7
13:41:59: [INFO] Placing additional elements for SW6
13:41:59: [INFO] Placing additional elements for SW5
13:41:59: [INFO] Placing additional elements for SW4
13:41:59: [INFO] Placing additional elements for SW3
13:41:59: [INFO] Placing additional elements for SW2
13:41:59: [INFO] Placing additional elements for SW1
13:41:59: [INFO] Routing SW44 with D44
13:41:59: [INFO] Using internal autorouter method
