=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:27:52: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14AOVdANm3AF0UAoMKWOAFjXAE9GBaDAOkIHYSmFE1xx8jUkPKjqdCfABMrDvG49+AViFZFYhXACMGaSj1z6BOJpVdehYqyyb9DeE1MuLBw7bX3BJxRDVytDRVMQ73Y7DW0gjFDGQw9WckToqwQ-OHUHIV8cPDc4CKDSJKVTCuKrMvR+CkzGFnRVXICCkUq4KVZG2VpLRmU22K0uvVrkk36zKiGDGzH-Pkd0Xxdp9yFGr0WS3xWOvkCN4J7w3Yvo9vUJ1l9E7aNUhpQMg6ycvPXwZSK4hK9XAvhqQLq13BBhBhCaXxaP06rGUohefXQcMG8mBSLiQmUUwhMyEcPMCPgyxiq3yKJQW2JO1YcP2OLCeIEBIuLyuzJuBzuvAe6GUz0Zr1JHwWbMY2WOvyE2UBMK50OBkrVkNYAE54TL3ByzuBsmjxRjwLrscMlHjhcb5jzZuhdeT9dYOX9sgyDG8LfTpdajIbFdzxbznfycYL8axsmKfL7dZ83eR5fZPShNSMhLqKs0lDwqdHDEIWIDwCxTQZ+DwnaCsKb63rA0dqSdtUIbCEeSDDL4ohTmIW8drfSxvSVNLWCs4A9WOa2AM4AW0Y4AATgB7AAuAH0AKYAYz74E7mYAOgA7K8369329X-di0Fgh-39+3-cDt1TouxQhUiua6nqwLBZvACDTo8WB5gKsS+jYRLgDYDLId0joFL4SF9v6jy+FaPhnsqhy9oUVCUEAA
13:27:52: [INFO] Add Net-(D9-A) net
13:27:52: [INFO] Add ROW0 net
13:27:52: [INFO] Add ROW1 net
13:27:52: [INFO] Add ROW10 net
13:27:52: [INFO] Add ROW11 net
13:27:52: [INFO] Add ROW2 net
13:27:52: [INFO] Add ROW3 net
13:27:52: [INFO] Add ROW4 net
13:27:52: [INFO] Add ROW5 net
13:27:52: [INFO] Add ROW6 net
13:27:52: [INFO] Add ROW7 net
13:27:52: [INFO] Add ROW8 net
13:27:52: [INFO] Add ROW9 net
13:27:53: [INFO] Add SW1 footprint
13:27:53: [INFO] Add D1 footprint
13:27:53: [INFO] Add SW2 footprint
13:27:53: [INFO] Add D2 footprint
13:27:53: [INFO] Add SW3 footprint
13:27:53: [INFO] Add D3 footprint
13:27:53: [INFO] Add SW4 footprint
13:27:53: [INFO] Add D4 footprint
13:27:53: [INFO] Add SW5 footprint
13:27:53: [INFO] Add D5 footprint
13:27:53: [INFO] Add SW6 footprint
13:27:53: [INFO] Add D6 footprint
13:27:53: [INFO] Add SW7 footprint
13:27:53: [INFO] Add D7 footprint
13:27:53: [INFO] Add SW8 footprint
13:27:53: [INFO] Add D8 footprint
13:27:53: [INFO] Add SW9 footprint
13:27:53: [INFO] Add D9 footprint
13:27:53: [INFO] Add SW10 footprint
13:27:53: [INFO] Add D10 footprint
13:27:53: [INFO] Add SW11 footprint
13:27:53: [INFO] Add D11 footprint
13:27:53: [INFO] Add SW12 footprint
13:27:53: [INFO] Add D12 footprint
13:27:53: [INFO] Add SW13 footprint
13:27:53: [INFO] Add D13 footprint
13:27:53: [INFO] Add SW14 footprint
13:27:53: [INFO] Add D14 footprint
13:27:53: [INFO] Add SW15 footprint
13:27:53: [INFO] Add D15 footprint
13:27:53: [INFO] Add SW16 footprint
13:27:54: [INFO] Add D16 footprint
13:27:54: [INFO] Add SW17 footprint
13:27:54: [INFO] Add D17 footprint
13:27:54: [INFO] Add SW18 footprint
13:27:54: [INFO] Add D18 footprint
13:27:54: [INFO] Add SW19 footprint
13:27:54: [INFO] Add D19 footprint
13:27:54: [INFO] Add SW20 footprint
13:27:54: [INFO] Add D20 footprint
13:27:54: [INFO] Add SW21 footprint
13:27:54: [INFO] Add D21 footprint
13:27:54: [INFO] Add SW22 footprint
13:27:54: [INFO] Add D22 footprint
13:27:54: [INFO] Add SW23 footprint
13:27:54: [INFO] Add D23 footprint
13:27:54: [INFO] Add SW24 footprint
13:27:54: [INFO] Add D24 footprint
